naics,id,level,parent,industry
,90,4,88,            Health and personal care stores
,91,4,88,            Gasoline stations
,92,4,88,            Clothing and clothing accessories stores
,93,4,88,            Nonstore retailers
,94,4,88,            All other retail
48-49,95,2,2,    Transportation and warehousing
,96,3,95,        Air transportation
,97,3,95,        Rail transportation
,98,3,95,        Water transportation
,99,3,95,        Truck transportation
,100,3,95,        Transit and ground passenger transportation
,101,3,95,        Pipeline transportation
,102,3,95,        Other transportation and support activities
,103,4,102,            Scenic and sightseeing transportation and support activities
,104,4,102,            Couriers and messengers
,105,3,95,        Warehousing and storage
51,106,2,2,    Information
,107,3,106,"        Publishing industries, except internet (includes software)"
,108,4,107,"            Newspaper, periodical, book, and directory publishers"
,109,4,107,            Software publishers
,110,3,106,        Motion picture and sound recording industries
,111,3,106,        Broadcasting and telecommunications
,112,4,111,            Broadcasting (except Internet)
,113,4,111,            Wired telecommunications carriers
,114,4,111,            Wireless telecommunications carriers (except satellites)
,115,4,111,"            Other telecommunications, including satellite"
,116,3,106,"        Data processing, internet publishing, and other information services"
,117,4,116,"            Data processing, hosting, and related services"
,118,4,116,            Other information services
52-53,119,2,2,"    Finance, insurance, real estate, rental, and leasing"
52,120,3,119,        Finance and insurance
,121,4,120,"            Federal Reserve banks, credit intermediation, and related activities"
,122,4,120,"            Securities, commodity contracts, and investments"
,123,4,120,            Insurance carriers and related activities
,124,5,123,                Direct life insurance carriers
,125,5,123,"                Insurance carriers, except direct life insurance"
,126,5,123,"                Agencies, brokerages, and other insurance related activities"
,127,4,120,"            Funds, trusts, and other financial vehicles"
53,128,3,119,        Real estate and rental and leasing
,129,4,128,            Real estate
,130,5,129,                Housing
,131,6,130,                    Owner-occupied housing
,132,6,130,                    Tenant-occupied housing
,133,5,129,                Other real estate
,134,4,128,            Rental and leasing services and lessors of intangible assets
54-56,135,2,2,    Professional and business services
54,136,3,135,"        Professional, scientific, and technical services"
,137,4,136,            Legal services
,138,4,136,            Computer systems design and related services
,139,4,136,"            Miscellaneous professional, scientific, and technical services"
,140,5,139,"                Accounting, tax preparation, bookkeeping, and payroll services"
,141,5,139,"                Architectural, engineering, and related services"
,142,5,139,"                Management, scientific, and technical consulting services"
,143,5,139,                Scientific research and development services
,144,5,139,"                Advertising, public relations, and related services"
,145,5,139,"                Specialized design services and other professional, scientific, and technical services"
55,146,3,135,        Management of companies and enterprises
56,147,3,135,        Administrative and waste management services
,148,4,147,            Administrative and support services
,149,5,148,                    Employment services
,150,5,148,                    Services to buildings and dwellings
,151,5,148,                    Other administrative and support services
,152,4,147,            Waste management and remediation services
61-62,153,2,2,"    Educational services, health care, and social assistance"
61,154,3,153,        Educational services
62,155,3,153,        Health care and social assistance
,156,4,155,            Ambulatory health care services
,157,5,156,                Offices of physicians
,158,5,156,                Offices of dentists
,159,5,156,                Offices of other health practitioners
,160,5,156,                Outpatient care centers
,161,5,156,                Other ambulatory health care services
,162,4,155,            Hospitals
,163,4,155,            Nursing and residential care facilities
,164,4,155,            Social assistance
71-72,165,2,2,"    Arts, entertainment, recreation, accommodation, and food services"
71,166,3,165,"        Arts, entertainment, and recreation"
,167,4,166,"            Performing arts, spectator sports, museums, and related activities"
,168,4,166,"            Amusements, gambling, and recreation industries"
72,169,3,165,        Accommodation and food services
,170,4,169,            Accommodation
,171,4,169,            Food services and drinking places
81,172,2,2,"    Other services, except government"
,173,3,172,        Repair and maintenance
,174,3,172,        Personal and laundry services
,175,3,172,"        Religious, grantmaking, civic, professional, and similar organizations"
,176,3,172,        Private households
92,177,1,1,Government
,178,2,177,    Federal
,179,3,178,        Federal general government
,180,4,179,            National defense
,181,4,179,            Nondefense
,182,3,178,        Federal government enterprises
,183,2,177,    State and local
,184,3,183,        State and local general government
,185,4,184,            State and local government educational services
,186,4,184,            State and local government hospitals and health services
,187,4,184,            State and local government other services
,188,3,183,        State and localovernment enterprises
,189,-1,-1,        Private goods-producing industries 1
,190,-1,-1,        Private services-producing industries 2
,191,-1,-1,        Information-communications-technology-producing industries 3
,,-2,-2,Addenda:
