"codes_1947","names_1947","codes_1948","names_1948","codes_1949","names_1949","codes_1950","names_1950","codes_1951","names_1951","codes_1952","names_1952","codes_1953","names_1953","codes_1954","names_1954","codes_1955","names_1955","codes_1956","names_1956","codes_1957","names_1957","codes_1958","names_1958","codes_1959","names_1959","codes_1960","names_1960","codes_1961","names_1961","codes_1962","names_1962","codes_1963","names_1963","codes_1964","names_1964","codes_1965","names_1965","codes_1966","names_1966","codes_1967","names_1967","codes_1968","names_1968","codes_1969","names_1969","codes_1970","names_1970","codes_1971","names_1971","codes_1972","names_1972","codes_1973","names_1973","codes_1974","names_1974","codes_1975","names_1975","codes_1976","names_1976","codes_1977","names_1977","codes_1978","names_1978","codes_1979","names_1979","codes_1980","names_1980","codes_1981","names_1981","codes_1982","names_1982","codes_1983","names_1983","codes_1984","names_1984","codes_1985","names_1985","codes_1986","names_1986","codes_1987","names_1987","codes_1988","names_1988","codes_1989","names_1989","codes_1990","names_1990","codes_1991","names_1991","codes_1992","names_1992","codes_1993","names_1993","codes_1994","names_1994","codes_1995","names_1995","codes_1996","names_1996","codes_1997","names_1997","codes_1998","names_1998","codes_1999","names_1999","codes_2000","names_2000","codes_2001","names_2001","codes_2002","names_2002","codes_2003","names_2003","codes_2004","names_2004","codes_2005","names_2005","codes_2006","names_2006","codes_2007","names_2007","codes_2008","names_2008","codes_2009","names_2009","codes_2010","names_2010","codes_2011","names_2011","codes_2012","names_2012","codes_2013","names_2013","codes_2014","names_2014","codes_2015","names_2015","codes_2016","names_2016","codes_2017","names_2017","codes_2018","names_2018","codes_2019","names_2019","codes_2020","names_2020","codes_2021","names_2021","codes_2022","names_2022","codes_2023","names_2023","codes_2024","names_2024","codes_2025","names_2025"
"30","Rubber Products","30","Rubber Products","30","Rubber Products","291","Petroleum Refining","29","Petroleum Refining and related Industries","291","Petroleum Refining","291","Petroleum Refining","291","Petroleum Refining","291","Petroleum Refining","28.100000000000001","Industrial Chemicals","281-2","Basic Chemicals","281-2","Basic Chemicals","28.120000000000001","Basic Chemicals","28.120000000000001","Basic Chemicals","27","Printing and Publishing, except newspapers","27","Printing and Publishing, except newspapers","27","Printing and Publishing, except newspapers","27","Printing and Publishing, except newspapers","27","Printing and Publishing, except newspapers","27","Printing and Publishing, except newspapers","27","Printing and Publishing, except newspapers","27","Printing and Publishing, except newspapers","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","27","Printing and Publishing","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","33","Primary Metal Industries","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","29","Petroleum and Coal Products","29","Petroleum and Coal Products","29","Petroleum and Coal Products","29","Petroleum and Coal Products","29","Petroleum and Coal Products","29","Petroleum and Coal Products","29","Petroleum and Coal Products","29","Petroleum and Coal Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products","327","Nonmetallic Mineral Products"
"31","Leather and Leather Products","31","Leather and Leather Products","31","Leather and Leather Products","30","Rubber Products","291","Petroleum Refining","30","Rubber Products","30","Rubber Products","30","Rubber Products","30","Rubber Products","28.300000000000001","Drugs and Medicines","283","Drugs","283","Drugs","28.300000000000001","Drugs","28.300000000000001","Drugs","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","28","Chemicals and Allied Products","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","34","Fabricated Metal Products","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries","331","Foundries"
"32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","31","Leather and Leather Products","30","Rubber and Misc. Plastics Products","31","Leather & Leather Products","31","Leather & Leather Products","31","Leather and Leather Products","31","Leather and Leather Products","29","Products of Petroleum and Coal (Except Petroleum Refining)","29","Petroleum Refining and Related Industries","29","Petroleum Refining and Related Industries","29","Petroleum Refining and related Industries","29","Petroleum Refining and related Industries","281-2","Basic Chemicals","281-2","Basic Chemicals","281-2","Basic Chemicals","281-2","Basic Chemicals","281-2","Basic Chemicals","281-2","Basic Chemicals","281-2","Basic Chemicals","281-2","Basic Chemicals","28.100000000000001","Basic Chemicals","281","Basic Chemicals","281","Basic Chemicals","281","Basic Chemicals","281","Basic Chemicals","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","35","Machinery, Except Electrical","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products","332","Fabricated Metal Products"
"34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","32","Stone, Clay, and Glass Products","31","Leather and Leather Products","32","Stone, Clay, & Glass Products","32","Stone, Clay, & Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","291","Petroleum Refining","291","Petroleum Refining","291","Petroleum Refining","291","Petroleum Refining","291","Petroleum Refining","283","Drugs","283","Drugs","283","Drugs","283","Drugs","283","Drugs","283","Drugs","283","Drugs","283","Drugs","28.300000000000001","Drugs","283","Drugs","283","Drugs","283","Drugs","283","Drugs","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","36","Electrical and Electronic Equipment","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery","333","Machinery"
"35","Machinery","35","Machinery","35","Machinery","34","Fabricated Metal Products","32","Stone, Clay, and Glass Products","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","30","Rubber Products","30","Rubber and Miscellaneous Plastics Products","30","Rubber Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","29","Petroleum Refining and related Industries","29","Petroleum Refining and related Industries","29","Petroleum Refining and related Industries","29","Petroleum Refining and related Industries","29","Petroleum Refining and related Industries","29","Petroleum Refining and related Industries","29","Petroleum Refining and related Industries","29","Petroleum Refining and related Industries","29","Petroleum Refining and related Industries","29","Petroleum Refining and related industries","29","Petroleum Refining and related industries","29","Petroleum Refining and related industries","29","Petroleum Refining and related industries","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","37","Transportation Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products","334","All Other Electronic Products"
"36","Electrical Machinery","36","Electrical Machinery","36","Electrical Machinery","35","Machinery","33","Primary Metal Industries","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","31","Leather and Leather Products","31","Leather and Leather Products","31","Leather and Leather Products","31","Leather and Leather Products","31","Leather and Leather Products","291","Petroleum Refining","291","Petroleum Refining","291","Petroleum Refining","291","Petroleum Refining","291","Petroleum Refining","291","Petroleum Refining","291","Petroleum Refining","291","Petroleum Refining","291","Petroleum Refining","291","Petroleum Refining","291","Petroleum Refining","291","Petroleum Refining","291","Petroleum Refining","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37.100000000000001","Motor Vehicles and Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","35","Machinery, Except Electrical","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components","335","Electrical Equipment, Appliances, and Components"
"37","Transportation Equipment(except motor vehicles and parts)","37","Transportation Equipment(except motor vehicles and parts)","37","Transportation Equipment(except motor vehicles and parts)","36","Electrical Machinery","34","Fabricated Metal Products","36","Electrical Machinery, Equipment, & Supplies","36","Electrical Machinery, Equipment, & Supplies","36","Electrical Machinery, Equipment, and Supplies","36","Electrical Machinery, Equipment, and Supplies","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","30","Rubber and Misc. Plastics Products","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","36","Electrical and Electronic Equipment","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products","337","Furniture and Related Products"
"37.100000000000001","Motor Vehicles and parts","37.100000000000001","Motor Vehicles and parts","37.100000000000001","Motor Vehicles and parts","37","Transportation Equipment(except motor vehicles and parts)","35","Machinery, Except Electrical","37","Transportation Equipment (except motor vehicles & parts)","37","Transportation Equipment (except motor vehicles & parts)","37","Other Transportation Equipment","37","Other Transportation Equipment","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","31","Leather and Leather Products","31","Leather and Leather Products","31","Leather and Leather Products","31","Leather and Leather Products","31","Leather and Leather Products","31","Leather and Leather Products","31","Leather and Leather Products","31","Leather and Leather Products","31","Leather and Leather Products","31","Leather and Leather Products","31","Leather and Leather Products","31","Leather and Leather Products","31","Leather and Leather Products","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","38","Instruments and Related Products","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","37","Transportation Equipment","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing","339","Miscellaneous Manufacturing"
"38","Instruments; photographic & optical goods;watches & clocks","38","Instruments; photographic & optical goods;watches & clocks","38","Instruments; photographic & optical goods;watches & clocks","37.100000000000001","Motor Vehicles and parts","36","Electrical and Electronic Equipment","37.100000000000001","Motor Vehicles & Equipment","37.100000000000001","Motor Vehicles & Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","34","Fabricated Metal Products","34","Other Fabricated Metal Products","34","Other Fabricated Metal Products","34","Other Fabricated Metal Products","34","Other Fabricated Metal Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","32","Stone, Clay, and Glass Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","50","Wholesale Trade, Durable Goods","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","50","Wholesale Trade, Durable Goods","50","Wholesale Trade, Durable Goods","50","Wholesale Trade, Durable Goods","50","Wholesale Trade, Durable Goods","50","Wholesale Trade, Durable Goods","50","Wholesale Trade, Durable Goods","50","Wholesale Trade, Durable Goods","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","37.100000000000001","Motor Vehicles and Equipment","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys","371","Iron, Steel, and Ferroalloys"
"39","Miscellaneous manufacturing including ordnance","39","Miscellaneous manufacturing including ordnance","39","Miscellaneous manufacturing including ordnance","38","Instruments; photographic & optical goods;watches & clocks","37","Transportation Equipment","38","Instruments & Related Products","38","Instruments & Related Products","38","Instruments and Related Products","38","Instruments and Related Products","35","Machinery (Except Electrical)","35","Other Machinery","35","Other Machinery","35","Other Machinery","35","Other Machinery","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","33","Primary Metal Industries","98","All Nondurable Manufacturing Corporations","98","All Nondurable Manufacturing Corporations","98","All Nondurable Manufacturing Corporations","98","Nondurable Goods","98","All Nondurable Manufacturing Industries","98","All Nondurable Manufacturing Industries","51","Wholesale Trade, Nondurable Goods","50","Wholesale Trade, Durable Goods","50","Wholesale Trade, Durable Goods","50","Wholesale Trade, Durable Goods","50","Wholesale Trade, Durable Goods","51","Wholesale Trade, Nondurable Goods","51","Wholesale Trade, Nondurable Goods","51","Wholesale Trade, Nondurable Goods","51","Wholesale Trade, Nondurable Goods","51","Wholesale Trade, Nondurable Goods","51","Wholesale Trade, Nondurable Goods","51","Wholesale Trade, Nondurable Goods","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","37.700000000000003","Aircraft, Guided Missiles, and Parts","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment","374","Computer and Peripheral Equipment"
"20.-39.","All Manufacturing, except newspapers","20.-39.","All Manufacturing, except newspapers","20.-39.","All Manufacturing, except newspapers","39","Miscellaneous manufacturing including ordnance","37.100000000000001","Motor Vehicles and Equipment","39","Miscellaneous Manufacturing (Including Ordnance)","39","Miscellaneous Manufacturing (Including Ordnance)","39","Miscellaneous Manufacturing (Including Ordnance)","39","Miscellaneous Manufacturing (Including Ordnance)","354","Metalworking Machinery","354","Metalworking Machinery and Equipment","354","Metalworking Machinery and Equipment","354","Metalworking Machinery and Equipment","354","Metalworking Machinery and Equipment","34","Other Fabricated Metal Products","34","Other Fabricated Metal Products","34","Other Fabricated Metal Products","34","Other Fabricated Metal Products","34","Other Fabricated Metal Products","34","Other Fabricated Metal Products","34","Other Fabricated Metal Products","34","Other Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","34","Fabricated Metal Products","98.099999999999994","Other Nondurable Manufacturing Products","98.099999999999994","Other Nondurable Manufacturing Products","98.099999999999994","Other Nondurable Manufacturing Products","98.099999999999994","Other Nondurable Manufacturing Products","98.099999999999994","Other Nondurable Manufacturing Industries","98.099999999999994","Other Nondurable Manufacturing Industries","53","General Merchandise Stores","51","Wholesale Trade, Nondurable Goods","51","Wholesale Trade, Nondurable Goods","51","Wholesale Trade, Nondurable Goods","51","Wholesale Trade, Nondurable Goods","53","General Merchandise Stores","53","General Merchandise Stores","53","General Merchandise Stores","53","General Merchandise Stores","53","General Merchandise Stores","53","General Merchandise Stores","53","General Merchandise Stores","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","38","Instruments and Related Products","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics","375","Basic Chemicals, Resins, and Synthetics"
