"year","nna_code","industry","item","share_in_output","gross_output","imputed_share"
1963,"521CI","Federal Reserve banks, credit intermediation, and related activities","Intermediate inputs",0.380681818181818,17.6,FALSE
1963,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles","Compensation of employees",0.22863847797846,4.9,TRUE
1963,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles","Gross operating surplus",0.0891757113523027,4.9,TRUE
1963,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles","Taxes on production and imports less subsidies",0.00938691698445292,4.9,TRUE
1963,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles","Intermediate inputs",0.673469387755102,4.9,FALSE
1963,"524","Insurance carriers and related activities","Compensation of employees",0.391385092254867,18.3,TRUE
1963,"524","Insurance carriers and related activities","Gross operating surplus",0.0784066161636405,18.3,TRUE
1963,"524","Insurance carriers and related activities","Taxes on production and imports less subsidies",0.0602629363902361,18.3,TRUE
1963,"524","Insurance carriers and related activities","Intermediate inputs",0.469945355191257,18.3,FALSE
1963,"531","Real estate","Compensation of employees",0.0457778643634868,72,TRUE
1963,"531","Real estate","Gross operating surplus",0.69945883931857,72,TRUE
1963,"531","Real estate","Taxes on production and imports less subsidies",0.118483884234907,72,TRUE
1963,"531","Real estate","Intermediate inputs",0.136111111111111,72,FALSE
1963,"532RL","Rental and leasing services and lessors of intangible assets","Compensation of employees",0.135113946635668,7.1,TRUE
1963,"532RL","Rental and leasing services and lessors of intangible assets","Gross operating surplus",0.539077072801492,7.1,TRUE
1963,"532RL","Rental and leasing services and lessors of intangible assets","Taxes on production and imports less subsidies",0.0441188397177692,7.1,TRUE
1963,"532RL","Rental and leasing services and lessors of intangible assets","Intermediate inputs",0.28169014084507,7.1,FALSE
1963,"5411","Legal services","Compensation of employees",0.306293371620005,7,TRUE
1963,"5411","Legal services","Gross operating surplus",0.230677195501316,7,TRUE
1963,"5411","Legal services","Taxes on production and imports less subsidies",0.0344580043072505,7,TRUE
1963,"5411","Legal services","Intermediate inputs",0.428571428571429,7,FALSE
1963,"5412OP","Miscellaneous professional, scientific, and technical services","Compensation of employees",0.343161693578391,15.1,TRUE
1963,"5412OP","Miscellaneous professional, scientific, and technical services","Gross operating surplus",0.220375399955354,15.1,TRUE
1963,"5412OP","Miscellaneous professional, scientific, and technical services","Taxes on production and imports less subsidies",0.0063992856611355,15.1,TRUE
1963,"5412OP","Miscellaneous professional, scientific, and technical services","Intermediate inputs",0.43046357615894,15.1,FALSE
1963,"55","Management of companies and public relations","Compensation of employees",0.532175770280426,13.1,TRUE
1963,"55","Management of companies and public relations","Gross operating surplus",0.134378831625994,13.1,TRUE
1963,"55","Management of companies and public relations","Taxes on production and imports less subsidies",0.0204682988569394,13.1,TRUE
1963,"55","Management of companies and public relations","Intermediate inputs",0.312977099236641,13.1,FALSE
1963,"56","Administrative, support, and other business services","Compensation of employees",0.467189281641961,8,TRUE
1963,"56","Administrative, support, and other business services","Gross operating surplus",0.191647662485747,8,TRUE
1963,"56","Administrative, support, and other business services","Taxes on production and imports less subsidies",0.0161630558722919,8,TRUE
1963,"56","Administrative, support, and other business services","Intermediate inputs",0.325,8,FALSE
1963,"61","Educational services","Compensation of employees",0.455893832943013,6.1,TRUE
1963,"61","Educational services","Gross operating surplus",0.0468384074941452,6.1,TRUE
1963,"61","Educational services","Taxes on production and imports less subsidies",0.0218579234972678,6.1,TRUE
1963,"61","Educational services","Intermediate inputs",0.475409836065574,6.1,FALSE
1963,"621","Ambulatory health care services","Compensation of employees",0.424265401524848,11.9,TRUE
1963,"621","Ambulatory health care services","Gross operating surplus",0.166446379876454,11.9,TRUE
1963,"621","Ambulatory health care services","Taxes on production and imports less subsidies",0.00592687406088263,11.9,TRUE
1963,"621","Ambulatory health care services","Intermediate inputs",0.403361344537815,11.9,FALSE
1963,"622HO","Hospitals and nursing and residential care facilities","Compensation of employees",0.649759344598054,9,TRUE
1963,"622HO","Hospitals and nursing and residential care facilities","Gross operating surplus",0.0789042498719918,9,TRUE
1963,"622HO","Hospitals and nursing and residential care facilities","Taxes on production and imports less subsidies",0.0164669738863287,9,TRUE
1963,"622HO","Hospitals and nursing and residential care facilities","Intermediate inputs",0.255555555555556,9,FALSE
1963,"624","Social assistance","Compensation of employees",0.658662092624357,1.1,TRUE
1963,"624","Social assistance","Gross operating surplus",0.149228130360206,1.1,TRUE
1963,"624","Social assistance","Taxes on production and imports less subsidies",0.0102915951972556,1.1,TRUE
1963,"624","Social assistance","Intermediate inputs",0.181818181818182,1.1,FALSE
1963,"71","All recreation industries","Compensation of employees",0.32642089093702,6.2,TRUE
1963,"71","All recreation industries","Gross operating surplus",0.261136712749616,6.2,TRUE
1963,"71","All recreation industries","Taxes on production and imports less subsidies",0.0556835637480799,6.2,TRUE
1963,"71","All recreation industries","Intermediate inputs",0.354838709677419,6.2,FALSE
1963,"721","Accomodation","Compensation of employees",0.422111458083113,4.6,TRUE
1963,"721","Accomodation","Gross operating surplus",0.196192649531588,4.6,TRUE
1963,"721","Accomodation","Taxes on production and imports less subsidies",0.0990871967331251,4.6,TRUE
1963,"721","Accomodation","Intermediate inputs",0.282608695652174,4.6,FALSE
1963,"722","Food services and drinking places","Compensation of employees",0.314300975513761,21.3,TRUE
1963,"722","Food services and drinking places","Gross operating surplus",0.095583480925473,21.3,TRUE
1963,"722","Food services and drinking places","Taxes on production and imports less subsidies",0.060161367406033,21.3,TRUE
1963,"722","Food services and drinking places","Intermediate inputs",0.530516431924883,21.3,FALSE
1963,"81","Other services, except government","Compensation of employees",0.389719823046134,28.2,TRUE
1963,"81","Other services, except government","Gross operating surplus",0.225405519275332,28.2,TRUE
1963,"81","Other services, except government","Taxes on production and imports less subsidies",0.0236991784284811,28.2,TRUE
1963,"81","Other services, except government","Intermediate inputs",0.361702127659574,28.2,FALSE
1963,"G","All government","Compensation of employees",0.589967098678758,126.1,TRUE
1963,"G","All government","Gross operating surplus",0.1802707723878,126.1,TRUE
1963,"G","All government","Taxes on production and imports less subsidies",-0.00746099362286694,126.1,TRUE
1963,"G","All government","Intermediate inputs",0.237113402061856,126.1,FALSE
1964,"111CA","Farms","Compensation of employees",0.0698625046451134,37.7,TRUE
1964,"111CA","Farms","Gross operating surplus",0.467484206614641,37.7,TRUE
1964,"111CA","Farms","Taxes on production and imports less subsidies",-0.0758082497212932,37.7,TRUE
1964,"111CA","Farms","Intermediate inputs",0.538461538461538,37.7,FALSE
1964,"113FF","Forestry, fishing, and related activities","Compensation of employees",0.184933201385453,4.7,TRUE
1964,"113FF","Forestry, fishing, and related activities","Gross operating surplus",0.293047996041564,4.7,TRUE
1964,"113FF","Forestry, fishing, and related activities","Taxes on production and imports less subsidies",0.0113805047006432,4.7,TRUE
1964,"113FF","Forestry, fishing, and related activities","Intermediate inputs",0.51063829787234,4.7,FALSE
1964,"211","Oil and gas extraction","Compensation of employees",0.158238453276047,9.8,TRUE
1964,"211","Oil and gas extraction","Gross operating surplus",0.353856068743287,9.8,TRUE
1964,"211","Oil and gas extraction","Taxes on production and imports less subsidies",0.0809881847475833,9.8,TRUE
1964,"211","Oil and gas extraction","Intermediate inputs",0.408163265306122,9.8,FALSE
1964,"212","Mining, except oil and gas","Compensation of employees",0.311364815775817,8.2,TRUE
1964,"212","Mining, except oil and gas","Gross operating surplus",0.119356512714063,8.2,TRUE
1964,"212","Mining, except oil and gas","Taxes on production and imports less subsidies",0.0570835495588999,8.2,TRUE
1964,"212","Mining, except oil and gas","Intermediate inputs",0.51219512195122,8.2,FALSE
1964,"23","Construction","Compensation of employees",0.288264932656646,75.2,TRUE
1964,"23","Construction","Gross operating surplus",0.124499804801874,75.2,TRUE
1964,"23","Construction","Taxes on production and imports less subsidies",0.004405377708374,75.2,TRUE
1964,"23","Construction","Intermediate inputs",0.582446808510638,75.2,FALSE
1964,"22","Utilities","Compensation of employees",0.159460835931424,23.1,TRUE
1964,"22","Utilities","Gross operating surplus",0.392755628049746,23.1,TRUE
1964,"22","Utilities","Taxes on production and imports less subsidies",0.0928051810404752,23.1,TRUE
1964,"22","Utilities","Intermediate inputs",0.354978354978355,23.1,FALSE
1964,"321","Wood products","Compensation of employees",0.246521349656614,8.5,TRUE
1964,"321","Wood products","Gross operating surplus",0.124216183935503,8.5,TRUE
1964,"321","Wood products","Taxes on production and imports less subsidies",0.00573305464317707,8.5,TRUE
1964,"321","Wood products","Intermediate inputs",0.623529411764706,8.5,FALSE
1964,"327","Nonmetallic mineral products","Compensation of employees",0.33737090399082,12.4,TRUE
1964,"327","Nonmetallic mineral products","Gross operating surplus",0.1606528114242,12.4,TRUE
1964,"327","Nonmetallic mineral products","Taxes on production and imports less subsidies",0.0100408007140125,12.4,TRUE
1964,"327","Nonmetallic mineral products","Intermediate inputs",0.491935483870968,12.4,FALSE
1964,"331","Primary metals","Compensation of employees",0.297340425531915,37.6,TRUE
1964,"331","Primary metals","Gross operating surplus",0.0691489361702128,37.6,TRUE
1964,"331","Primary metals","Taxes on production and imports less subsidies",0.0138297872340426,37.6,TRUE
1964,"331","Primary metals","Intermediate inputs",0.61968085106383,37.6,FALSE
1964,"332","Fabricated metal products","Compensation of employees",0.317258560642652,28.3,TRUE
1964,"332","Fabricated metal products","Gross operating surplus",0.135495843607799,28.3,TRUE
1964,"332","Fabricated metal products","Taxes on production and imports less subsidies",0.00660955334672191,28.3,TRUE
1964,"332","Fabricated metal products","Intermediate inputs",0.540636042402827,28.3,FALSE
1964,"333","Machinery","Compensation of employees",0.388953743614304,28.8,TRUE
1964,"333","Machinery","Gross operating surplus",0.140734754150702,28.8,TRUE
1964,"333","Machinery","Taxes on production and imports less subsidies",0.00850594667943806,28.8,TRUE
1964,"333","Machinery","Intermediate inputs",0.461805555555556,28.8,FALSE
1964,"334","Computer and electronic products","Compensation of employees",0.305360490342692,24.1,TRUE
1964,"334","Computer and electronic products","Gross operating surplus",0.120041283147629,24.1,TRUE
1964,"334","Computer and electronic products","Taxes on production and imports less subsidies",0.00613349621922194,24.1,TRUE
1964,"334","Computer and electronic products","Intermediate inputs",0.568464730290456,24.1,FALSE
1964,"335","Electrical equipment, appliances, and components","Compensation of employees",0.291233766233766,15.4,TRUE
1964,"335","Electrical equipment, appliances, and components","Gross operating surplus",0.151839826839827,15.4,TRUE
1964,"335","Electrical equipment, appliances, and components","Taxes on production and imports less subsidies",0.00622294372294372,15.4,TRUE
1964,"335","Electrical equipment, appliances, and components","Intermediate inputs",0.551948051948052,15.4,FALSE
1964,"3361MV","Motor vehicles, bodies and trailers, and parts","Compensation of employees",0.232999318451928,49.8,TRUE
1964,"3361MV","Motor vehicles, bodies and trailers, and parts","Gross operating surplus",0.108506959112748,49.8,TRUE
1964,"3361MV","Motor vehicles, bodies and trailers, and parts","Taxes on production and imports less subsidies",0.00435965460720864,49.8,TRUE
1964,"3361MV","Motor vehicles, bodies and trailers, and parts","Intermediate inputs",0.654618473895582,49.8,FALSE
1964,"3364OT","Other transportation equipment","Compensation of employees",0.318729707792208,22,TRUE
1964,"3364OT","Other transportation equipment","Gross operating surplus",0.190320616883117,22,TRUE
1964,"3364OT","Other transportation equipment","Taxes on production and imports less subsidies",0.00535037878787879,22,TRUE
1964,"3364OT","Other transportation equipment","Intermediate inputs",0.486363636363636,22,FALSE
1964,"337","Furniture and related products","Compensation of employees",0.370348087666523,6.5,TRUE
1964,"337","Furniture and related products","Gross operating surplus",0.101246239793726,6.5,TRUE
1964,"337","Furniture and related products","Taxes on production and imports less subsidies",0.00266437473141384,6.5,TRUE
1964,"337","Furniture and related products","Intermediate inputs",0.523076923076923,6.5,FALSE
1964,"339","Miscellaneous manufacturing","Compensation of employees",0.238735494197679,10.2,TRUE
1964,"339","Miscellaneous manufacturing","Gross operating surplus",0.126210484193677,10.2,TRUE
1964,"339","Miscellaneous manufacturing","Taxes on production and imports less subsidies",0.00608243297318928,10.2,TRUE
1964,"339","Miscellaneous manufacturing","Intermediate inputs",0.627450980392157,10.2,FALSE
1964,"311FT","Food and beverage and tobacco products","Compensation of employees",0.143457401295685,79.2,TRUE
1964,"311FT","Food and beverage and tobacco products","Gross operating surplus",0.110058228045027,79.2,TRUE
1964,"311FT","Food and beverage and tobacco products","Taxes on production and imports less subsidies",0.0353076974364103,79.2,TRUE
1964,"311FT","Food and beverage and tobacco products","Intermediate inputs",0.710858585858586,79.2,FALSE
1964,"313TT","Textile mills and textile product mills","Compensation of employees",0.232262185534591,19.2,TRUE
1964,"313TT","Textile mills and textile product mills","Gross operating surplus",0.0626965408805031,19.2,TRUE
1964,"313TT","Textile mills and textile product mills","Taxes on production and imports less subsidies",0.00569968553459119,19.2,TRUE
1964,"313TT","Textile mills and textile product mills","Intermediate inputs",0.697916666666667,19.2,FALSE
1964,"315AL","Apparel and leather and allied products","Compensation of employees",0.239331954339998,22.9,TRUE
1964,"315AL","Apparel and leather and allied products","Gross operating surplus",0.0679920324829541,22.9,TRUE
1964,"315AL","Apparel and leather and allied products","Taxes on production and imports less subsidies",0.00271968129931816,22.9,TRUE
1964,"315AL","Apparel and leather and allied products","Intermediate inputs",0.689956331877729,22.9,FALSE
1964,"322","Paper products","Compensation of employees",0.235376127195064,17.2,TRUE
1964,"322","Paper products","Gross operating surplus",0.157599667774086,17.2,TRUE
1964,"322","Paper products","Taxes on production and imports less subsidies",0.00818699572852397,17.2,TRUE
1964,"322","Paper products","Intermediate inputs",0.598837209302326,17.2,FALSE
1964,"323PPI","Printing, publishing, and related","Compensation of employees",0.333378997518913,18.3,TRUE
1964,"323PPI","Printing, publishing, and related","Gross operating surplus",0.173843554500205,18.3,TRUE
1964,"323PPI","Printing, publishing, and related","Taxes on production and imports less subsidies",0.00572324459259936,18.3,TRUE
1964,"323PPI","Printing, publishing, and related","Intermediate inputs",0.486338797814208,18.3,FALSE
1964,"324","Petroleum and coal products","Compensation of employees",0.0482192472846679,18.5,TRUE
1964,"324","Petroleum and coal products","Gross operating surplus",0.0691336196009094,18.5,TRUE
1964,"324","Petroleum and coal products","Taxes on production and imports less subsidies",0.0063905026521849,18.5,TRUE
1964,"324","Petroleum and coal products","Intermediate inputs",0.875675675675676,18.5,FALSE
