"year","code_industry","industry","aggregate","value"
1963,"212","Mining, except oil and gas","Total Value Added",3759
1963,"23","Construction","Total Value Added",28735
1963,"22","Utilities","Total Value Added",14027
1963,"321","Wood products","Total Value Added",2879
1963,"327","Nonmetallic mineral products","Total Value Added",5849
1963,"331","Primary metals","Total Value Added",12479
1963,"332","Fabricated metal products","Total Value Added",11915
1963,"333","Machinery","Total Value Added",13566
1963,"334","Computer and electronic products","Total Value Added",9850
1963,"335","Electrical equipment, appliances, and components","Total Value Added",6630
1963,"3361MV","Motor vehicles, bodies and trailers, and parts","Total Value Added",16434
1963,"3364OT","Other transportation equipment","Total Value Added",10883
1963,"337","Furniture and related products","Total Value Added",2775
1963,"339","Miscellaneous manufacturing","Total Value Added",3603
1963,"311FT","Food and beverage and tobacco products","Total Value Added",21762
1963,"313TT","Textile mills and textile product mills","Total Value Added",5243
1963,"315AL","Apparel and leather and allied products","Total Value Added",6736
1963,"322","Paper products","Total Value Added",6445
1963,"323PPI","Printing, publishing, and related","Total Value Added",8663
1963,"324","Petroleum and coal products","Total Value Added",2108
1963,"325","Chemical products","Total Value Added",13588
1963,"326","Plastics and rubber products","Total Value Added",4798
1963,"42","Wholesale trade","Total Value Added",39834
1963,"44RT","Retail trade","Total Value Added",47613
1963,"481","Air transportation","Total Value Added",1750
1963,"482","Rail transportation","Total Value Added",7986
1963,"483","Water transportation","Total Value Added",945
1963,"484","Truck transportation","Total Value Added",6308
1963,"485","Transit and ground passenger transportation","Total Value Added",2091
1963,"486","Pipeline transportation","Total Value Added",762
1963,"487OS","Other transportation and support activities","Total Value Added",4521
1963,"493","Warehousing and storage","Total Value Added",1501
1963,"512","Theaters, motion pictures, and sound recording","Total Value Added",3022
1963,"513","Broadcasting and telecommunications","Total Value Added",14154
1963,"51C54","Computer, data processing, internet publishing, and other information services","Total Value Added",1918
1963,"521CI","Federal Reserve banks, credit intermediation, and related activities","Total Value Added",10911
1963,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles","Total Value Added",1643
1963,"524","Insurance carriers and related activities","Total Value Added",9736
1963,"531","Real estate","Total Value Added",62156
1963,"532RL","Rental and leasing services and lessors of intangible assets","Total Value Added",5100
1963,"5411","Legal services","Total Value Added",3958
1963,"5412OP","Miscellaneous professional, scientific, and technical services","Total Value Added",8602
1963,"55","Management of companies and public relations","Total Value Added",9066
1963,"56","Administrative, support, and other business services","Total Value Added",5536
1963,"61","Educational services","Total Value Added",3246
1963,"621","Ambulatory health care services","Total Value Added",7119
1963,"622HO","Hospitals and nursing and residential care facilities","Total Value Added",6697
1963,"624","Social assistance","Total Value Added",873
1963,"71","All recreation industries","Total Value Added",4055
1963,"721","Accomodation","Total Value Added",3286
1963,"722","Food services and drinking places","Total Value Added",9999
1963,"81","Other services, except government","Total Value Added",17951
1963,"G","All government","Total Value Added",96139
1963,"111CA","Farms","Total Industry Output",39210
1963,"113FF","Forestry, fishing, and related activities","Total Industry Output",4255
1963,"211","Oil and gas extraction","Total Industry Output",9628
1963,"212","Mining, except oil and gas","Total Industry Output",7523
1963,"23","Construction","Total Industry Output",69217
1963,"22","Utilities","Total Industry Output",22363
1963,"321","Wood products","Total Industry Output",7873
1963,"327","Nonmetallic mineral products","Total Industry Output",11809
1963,"331","Primary metals","Total Industry Output",33297
1963,"332","Fabricated metal products","Total Industry Output",25937
1963,"333","Machinery","Total Industry Output",25465
1963,"334","Computer and electronic products","Total Industry Output",23682
1963,"335","Electrical equipment, appliances, and components","Total Industry Output",14351
1963,"3361MV","Motor vehicles, bodies and trailers, and parts","Total Industry Output",46009
1963,"3364OT","Other transportation equipment","Total Industry Output",21462
1963,"337","Furniture and related products","Total Industry Output",6050
1963,"339","Miscellaneous manufacturing","Total Industry Output",9685
1963,"311FT","Food and beverage and tobacco products","Total Industry Output",76136
1963,"313TT","Textile mills and textile product mills","Total Industry Output",17841
1963,"315AL","Apparel and leather and allied products","Total Industry Output",21858
1963,"322","Paper products","Total Industry Output",16445
1963,"323PPI","Printing, publishing, and related","Total Industry Output",17469
1963,"324","Petroleum and coal products","Total Industry Output",18003
1963,"325","Chemical products","Total Industry Output",31334
1963,"326","Plastics and rubber products","Total Industry Output",9090
1963,"42","Wholesale trade","Total Industry Output",47628
1963,"44RT","Retail trade","Total Industry Output",81182
1963,"481","Air transportation","Total Industry Output",4204
1963,"482","Rail transportation","Total Industry Output",11383
1963,"483","Water transportation","Total Industry Output",2745
1963,"484","Truck transportation","Total Industry Output",11610
1963,"485","Transit and ground passenger transportation","Total Industry Output",3752
1963,"486","Pipeline transportation","Total Industry Output",1420
1963,"487OS","Other transportation and support activities","Total Industry Output",6722
1963,"493","Warehousing and storage","Total Industry Output",1755
1963,"512","Theaters, motion pictures, and sound recording","Total Industry Output",4303
1963,"513","Broadcasting and telecommunications","Total Industry Output",19486
1963,"51C54","Computer, data processing, internet publishing, and other information services","Total Industry Output",3148
1963,"521CI","Federal Reserve banks, credit intermediation, and related activities","Total Industry Output",17583
1963,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles","Total Industry Output",4941
1963,"524","Insurance carriers and related activities","Total Industry Output",18293
1963,"531","Real estate","Total Industry Output",71985
1963,"532RL","Rental and leasing services and lessors of intangible assets","Total Industry Output",7148
1963,"5411","Legal services","Total Industry Output",6978
1963,"5412OP","Miscellaneous professional, scientific, and technical services","Total Industry Output",15091
1963,"55","Management of companies and public relations","Total Industry Output",13145
1963,"56","Administrative, support, and other business services","Total Industry Output",8072
1963,"61","Educational services","Total Industry Output",6128
1963,"621","Ambulatory health care services","Total Industry Output",11898
1963,"622HO","Hospitals and nursing and residential care facilities","Total Industry Output",9026
1963,"624","Social assistance","Total Industry Output",1050
1963,"71","All recreation industries","Total Industry Output",6188
1963,"721","Accomodation","Total Industry Output",4586
1963,"722","Food services and drinking places","Total Industry Output",21309
1963,"81","Other services, except government","Total Industry Output",28159
1963,"G","All government","Total Industry Output",126103
1964,"111CA","Farms","Total Intermediate",20320
1964,"113FF","Forestry, fishing, and related activities","Total Intermediate",2416
1964,"211","Oil and gas extraction","Total Intermediate",3970
1964,"212","Mining, except oil and gas","Total Intermediate",4180
1964,"23","Construction","Total Intermediate",43807
1964,"22","Utilities","Total Intermediate",8208
1964,"321","Wood products","Total Intermediate",5302
1964,"327","Nonmetallic mineral products","Total Intermediate",6148
1964,"331","Primary metals","Total Intermediate",23277
1964,"332","Fabricated metal products","Total Intermediate",15293
1964,"333","Machinery","Total Intermediate",13335
1964,"334","Computer and electronic products","Total Intermediate",13718
1964,"335","Electrical equipment, appliances, and components","Total Intermediate",8472
1964,"3361MV","Motor vehicles, bodies and trailers, and parts","Total Intermediate",32633
1964,"3364OT","Other transportation equipment","Total Intermediate",10739
1964,"337","Furniture and related products","Total Intermediate",3441
1964,"339","Miscellaneous manufacturing","Total Intermediate",6358
1964,"311FT","Food and beverage and tobacco products","Total Intermediate",56333
1964,"313TT","Textile mills and textile product mills","Total Intermediate",13407
1964,"315AL","Apparel and leather and allied products","Total Intermediate",15769
1964,"322","Paper products","Total Intermediate",10304
1964,"323PPI","Printing, publishing, and related","Total Intermediate",8858
1964,"324","Petroleum and coal products","Total Intermediate",16236
1964,"325","Chemical products","Total Intermediate",19201
1964,"326","Plastics and rubber products","Total Intermediate",4503
1964,"42","Wholesale trade","Total Intermediate",9457
1964,"44RT","Retail trade","Total Intermediate",32969
1964,"481","Air transportation","Total Intermediate",2769
1964,"482","Rail transportation","Total Intermediate",3581
1964,"483","Water transportation","Total Intermediate",1997
1964,"484","Truck transportation","Total Intermediate",5897
1964,"485","Transit and ground passenger transportation","Total Intermediate",1699
1964,"486","Pipeline transportation","Total Intermediate",762
1964,"487OS","Other transportation and support activities","Total Intermediate",2344
1964,"493","Warehousing and storage","Total Intermediate",301
1964,"512","Theaters, motion pictures, and sound recording","Total Intermediate",1276
1964,"513","Broadcasting and telecommunications","Total Intermediate",5752
1964,"51C54","Computer, data processing, internet publishing, and other information services","Total Intermediate",1342
1964,"521CI","Federal Reserve banks, credit intermediation, and related activities","Total Intermediate",8299
1964,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles","Total Intermediate",3533
1964,"524","Insurance carriers and related activities","Total Intermediate",9706
1964,"531","Real estate","Total Intermediate",11595
1964,"532RL","Rental and leasing services and lessors of intangible assets","Total Intermediate",1749
1964,"5411","Legal services","Total Intermediate",3063
1964,"5412OP","Miscellaneous professional, scientific, and technical services","Total Intermediate",7024
1964,"55","Management of companies and public relations","Total Intermediate",4400
1964,"56","Administrative, support, and other business services","Total Intermediate",2992
1964,"61","Educational services","Total Intermediate",3103
1964,"621","Ambulatory health care services","Total Intermediate",6035
1964,"622HO","Hospitals and nursing and residential care facilities","Total Intermediate",2676
1964,"624","Social assistance","Total Intermediate",231
1964,"71","All recreation industries","Total Intermediate",2248
1964,"721","Accomodation","Total Intermediate",1691
1964,"722","Food services and drinking places","Total Intermediate",11674
1964,"81","Other services, except government","Total Intermediate",10949
1964,"G","All government","Total Intermediate",30859
1964,"111CA","Farms","Total Value Added",17341
1964,"113FF","Forestry, fishing, and related activities","Total Value Added",2271
1964,"211","Oil and gas extraction","Total Value Added",5821
1964,"212","Mining, except oil and gas","Total Value Added",4015
1964,"23","Construction","Total Value Added",31418
1964,"22","Utilities","Total Value Added",14934
1964,"321","Wood products","Total Value Added",3161
1964,"327","Nonmetallic mineral products","Total Value Added",6289
1964,"331","Primary metals","Total Value Added",14300
1964,"332","Fabricated metal products","Total Value Added",12963
1964,"333","Machinery","Total Value Added",15483
1964,"334","Computer and electronic products","Total Value Added",10393
1964,"335","Electrical equipment, appliances, and components","Total Value Added",6940
1964,"3361MV","Motor vehicles, bodies and trailers, and parts","Total Value Added",17164
1964,"3364OT","Other transportation equipment","Total Value Added",11237
1964,"337","Furniture and related products","Total Value Added",3045
1964,"339","Miscellaneous manufacturing","Total Value Added",3837
1964,"311FT","Food and beverage and tobacco products","Total Value Added",22840
1964,"313TT","Textile mills and textile product mills","Total Value Added",5786
1964,"315AL","Apparel and leather and allied products","Total Value Added",7096
1964,"322","Paper products","Total Value Added",6902
1964,"323PPI","Printing, publishing, and related","Total Value Added",9504
1964,"324","Petroleum and coal products","Total Value Added",2229
1964,"325","Chemical products","Total Value Added",14447
1964,"326","Plastics and rubber products","Total Value Added",5172
1964,"42","Wholesale trade","Total Value Added",42971
1964,"44RT","Retail trade","Total Value Added",52356
1964,"481","Air transportation","Total Value Added",2002
1964,"482","Rail transportation","Total Value Added",8207
1964,"483","Water transportation","Total Value Added",1012
1964,"484","Truck transportation","Total Value Added",6757
1964,"485","Transit and ground passenger transportation","Total Value Added",2178
1964,"486","Pipeline transportation","Total Value Added",800
1964,"487OS","Other transportation and support activities","Total Value Added",4850
1964,"493","Warehousing and storage","Total Value Added",1609
1964,"512","Theaters, motion pictures, and sound recording","Total Value Added",3098
1964,"513","Broadcasting and telecommunications","Total Value Added",15235
1964,"51C54","Computer, data processing, internet publishing, and other information services","Total Value Added",2123
1964,"521CI","Federal Reserve banks, credit intermediation, and related activities","Total Value Added",11872
1964,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles","Total Value Added",1840
1964,"524","Insurance carriers and related activities","Total Value Added",10731
1964,"531","Real estate","Total Value Added",65963
1964,"532RL","Rental and leasing services and lessors of intangible assets","Total Value Added",5507
1964,"5411","Legal services","Total Value Added",4321
1964,"5412OP","Miscellaneous professional, scientific, and technical services","Total Value Added",9549
1964,"55","Management of companies and public relations","Total Value Added",9787
1964,"56","Administrative, support, and other business services","Total Value Added",6081
1964,"61","Educational services","Total Value Added",3603
1964,"621","Ambulatory health care services","Total Value Added",7917
1964,"622HO","Hospitals and nursing and residential care facilities","Total Value Added",7442
1964,"624","Social assistance","Total Value Added",922
1964,"71","All recreation industries","Total Value Added",4385
1964,"721","Accomodation","Total Value Added",3461
1964,"722","Food services and drinking places","Total Value Added",11006
1964,"81","Other services, except government","Total Value Added",19212
1964,"G","All government","Total Value Added",103070
1964,"111CA","Farms","Total Industry Output",37660
1964,"113FF","Forestry, fishing, and related activities","Total Industry Output",4687
1964,"211","Oil and gas extraction","Total Industry Output",9792
1964,"212","Mining, except oil and gas","Total Industry Output",8195
1964,"23","Construction","Total Industry Output",75225
1964,"22","Utilities","Total Industry Output",23142
1964,"321","Wood products","Total Industry Output",8463
1964,"327","Nonmetallic mineral products","Total Industry Output",12437
1964,"331","Primary metals","Total Industry Output",37578
1964,"332","Fabricated metal products","Total Industry Output",28256
1964,"333","Machinery","Total Industry Output",28819
1964,"334","Computer and electronic products","Total Industry Output",24111
1964,"335","Electrical equipment, appliances, and components","Total Industry Output",15412
1964,"3361MV","Motor vehicles, bodies and trailers, and parts","Total Industry Output",49797
1964,"3364OT","Other transportation equipment","Total Industry Output",21976
1964,"337","Furniture and related products","Total Industry Output",6487
1964,"339","Miscellaneous manufacturing","Total Industry Output",10195
1964,"311FT","Food and beverage and tobacco products","Total Industry Output",79173
1964,"313TT","Textile mills and textile product mills","Total Industry Output",19193
1964,"315AL","Apparel and leather and allied products","Total Industry Output",22864
1964,"322","Paper products","Total Industry Output",17207
1964,"323PPI","Printing, publishing, and related","Total Industry Output",18362
1964,"324","Petroleum and coal products","Total Industry Output",18465
1964,"325","Chemical products","Total Industry Output",33648
1964,"326","Plastics and rubber products","Total Industry Output",9675
1964,"42","Wholesale trade","Total Industry Output",52428
1964,"44RT","Retail trade","Total Industry Output",85326
1964,"481","Air transportation","Total Industry Output",4771
1964,"482","Rail transportation","Total Industry Output",11787
1964,"483","Water transportation","Total Industry Output",3009
1964,"484","Truck transportation","Total Industry Output",12654
1964,"485","Transit and ground passenger transportation","Total Industry Output",3877
1964,"486","Pipeline transportation","Total Industry Output",1562
1964,"487OS","Other transportation and support activities","Total Industry Output",7195
1964,"493","Warehousing and storage","Total Industry Output",1911
1964,"512","Theaters, motion pictures, and sound recording","Total Industry Output",4375
1964,"513","Broadcasting and telecommunications","Total Industry Output",20987
1964,"51C54","Computer, data processing, internet publishing, and other information services","Total Industry Output",3465
1964,"521CI","Federal Reserve banks, credit intermediation, and related activities","Total Industry Output",20172
1964,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles","Total Industry Output",5373
1964,"524","Insurance carriers and related activities","Total Industry Output",20438
1964,"531","Real estate","Total Industry Output",77558
1964,"532RL","Rental and leasing services and lessors of intangible assets","Total Industry Output",7256
1964,"5411","Legal services","Total Industry Output",7384
1964,"5412OP","Miscellaneous professional, scientific, and technical services","Total Industry Output",16573
1964,"55","Management of companies and public relations","Total Industry Output",14187
1964,"56","Administrative, support, and other business services","Total Industry Output",9073
1964,"61","Educational services","Total Industry Output",6706
1964,"621","Ambulatory health care services","Total Industry Output",13952
1964,"622HO","Hospitals and nursing and residential care facilities","Total Industry Output",10118
1964,"624","Social assistance","Total Industry Output",1153
1964,"71","All recreation industries","Total Industry Output",6634
1964,"721","Accomodation","Total Industry Output",5152
1964,"722","Food services and drinking places","Total Industry Output",22680
1964,"81","Other services, except government","Total Industry Output",30161
1964,"G","All government","Total Industry Output",133929
1965,"111CA","Farms","Total Intermediate",21647
1965,"113FF","Forestry, fishing, and related activities","Total Intermediate",2598
1965,"211","Oil and gas extraction","Total Intermediate",4295
1965,"212","Mining, except oil and gas","Total Intermediate",4773
1965,"23","Construction","Total Intermediate",47340
1965,"22","Utilities","Total Intermediate",8749
1965,"321","Wood products","Total Intermediate",5459
1965,"327","Nonmetallic mineral products","Total Intermediate",6850
1965,"331","Primary metals","Total Intermediate",26146
1965,"332","Fabricated metal products","Total Intermediate",17160
1965,"333","Machinery","Total Intermediate",15176
1965,"334","Computer and electronic products","Total Intermediate",15799
1965,"335","Electrical equipment, appliances, and components","Total Intermediate",9388
1965,"3361MV","Motor vehicles, bodies and trailers, and parts","Total Intermediate",39680
1965,"3364OT","Other transportation equipment","Total Intermediate",11823
1965,"337","Furniture and related products","Total Intermediate",3613
1965,"339","Miscellaneous manufacturing","Total Intermediate",6859
1965,"311FT","Food and beverage and tobacco products","Total Intermediate",58037
1965,"313TT","Textile mills and textile product mills","Total Intermediate",13983
1965,"315AL","Apparel and leather and allied products","Total Intermediate",16422
1965,"322","Paper products","Total Intermediate",11242
1965,"323PPI","Printing, publishing, and related","Total Intermediate",9609
1965,"324","Petroleum and coal products","Total Intermediate",16477
1965,"325","Chemical products","Total Intermediate",21127
1965,"326","Plastics and rubber products","Total Intermediate",5144
1965,"42","Wholesale trade","Total Intermediate",14302
1965,"44RT","Retail trade","Total Intermediate",35551
1965,"481","Air transportation","Total Intermediate",3230
1965,"482","Rail transportation","Total Intermediate",3758
1965,"483","Water transportation","Total Intermediate",2088
1965,"484","Truck transportation","Total Intermediate",6282
1965,"485","Transit and ground passenger transportation","Total Intermediate",1714
1965,"486","Pipeline transportation","Total Intermediate",898
1965,"487OS","Other transportation and support activities","Total Intermediate",2519
1965,"493","Warehousing and storage","Total Intermediate",321
1965,"512","Theaters, motion pictures, and sound recording","Total Intermediate",1358
1965,"513","Broadcasting and telecommunications","Total Intermediate",6509
1965,"51C54","Computer, data processing, internet publishing, and other information services","Total Intermediate",1433
1965,"521CI","Federal Reserve banks, credit intermediation, and related activities","Total Intermediate",8781
1965,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles","Total Intermediate",3756
1965,"524","Insurance carriers and related activities","Total Intermediate",11113
1965,"531","Real estate","Total Intermediate",13743
1965,"532RL","Rental and leasing services and lessors of intangible assets","Total Intermediate",1379
1965,"5411","Legal services","Total Intermediate",3300
1965,"5412OP","Miscellaneous professional, scientific, and technical services","Total Intermediate",7577
1965,"55","Management of companies and public relations","Total Intermediate",4778
1965,"56","Administrative, support, and other business services","Total Intermediate",3485
1965,"61","Educational services","Total Intermediate",3511
1965,"621","Ambulatory health care services","Total Intermediate",6313
1965,"622HO","Hospitals and nursing and residential care facilities","Total Intermediate",2914
1965,"624","Social assistance","Total Intermediate",344
1965,"71","All recreation industries","Total Intermediate",2169
1965,"721","Accomodation","Total Intermediate",2172
1965,"722","Food services and drinking places","Total Intermediate",12820
1965,"81","Other services, except government","Total Intermediate",12283
1965,"G","All government","Total Intermediate",33889
1965,"111CA","Farms","Total Value Added",19939
1965,"113FF","Forestry, fishing, and related activities","Total Value Added",2480
1965,"211","Oil and gas extraction","Total Value Added",5960
1965,"212","Mining, except oil and gas","Total Value Added",4023
1965,"23","Construction","Total Value Added",34406
1965,"22","Utilities","Total Value Added",15571
1965,"321","Wood products","Total Value Added",3492
1965,"327","Nonmetallic mineral products","Total Value Added",6533
1965,"331","Primary metals","Total Value Added",15906
1965,"332","Fabricated metal products","Total Value Added",14627
1965,"333","Machinery","Total Value Added",17340
1965,"334","Computer and electronic products","Total Value Added",11934
1965,"335","Electrical equipment, appliances, and components","Total Value Added",7962
1965,"3361MV","Motor vehicles, bodies and trailers, and parts","Total Value Added",20302
1965,"3364OT","Other transportation equipment","Total Value Added",11902
1965,"337","Furniture and related products","Total Value Added",3438
1965,"339","Miscellaneous manufacturing","Total Value Added",4239
1965,"311FT","Food and beverage and tobacco products","Total Value Added",23678
1965,"313TT","Textile mills and textile product mills","Total Value Added",6491
1965,"315AL","Apparel and leather and allied products","Total Value Added",7728
1965,"322","Paper products","Total Value Added",7376
1965,"323PPI","Printing, publishing, and related","Total Value Added",10211
1965,"324","Petroleum and coal products","Total Value Added",2811
1965,"325","Chemical products","Total Value Added",15757
1965,"326","Plastics and rubber products","Total Value Added",5694
1965,"42","Wholesale trade","Total Value Added",46428
1965,"44RT","Retail trade","Total Value Added",56087
1965,"481","Air transportation","Total Value Added",2365
1965,"482","Rail transportation","Total Value Added",8628
1965,"483","Water transportation","Total Value Added",1026
1965,"484","Truck transportation","Total Value Added",7496
1965,"485","Transit and ground passenger transportation","Total Value Added",2304
1965,"486","Pipeline transportation","Total Value Added",817
1965,"487OS","Other transportation and support activities","Total Value Added",5282
1965,"493","Warehousing and storage","Total Value Added",1773
1965,"512","Theaters, motion pictures, and sound recording","Total Value Added",3598
1965,"513","Broadcasting and telecommunications","Total Value Added",16456
1965,"51C54","Computer, data processing, internet publishing, and other information services","Total Value Added",2348
1965,"521CI","Federal Reserve banks, credit intermediation, and related activities","Total Value Added",12876
1965,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles","Total Value Added",2223
1965,"524","Insurance carriers and related activities","Total Value Added",11581
1965,"531","Real estate","Total Value Added",70303
1965,"532RL","Rental and leasing services and lessors of intangible assets","Total Value Added",5893
1965,"5411","Legal services","Total Value Added",4719
1965,"5412OP","Miscellaneous professional, scientific, and technical services","Total Value Added",10552
1965,"55","Management of companies and public relations","Total Value Added",10605
1965,"56","Administrative, support, and other business services","Total Value Added",6685
1965,"61","Educational services","Total Value Added",4058
1965,"621","Ambulatory health care services","Total Value Added",8559
1965,"622HO","Hospitals and nursing and residential care facilities","Total Value Added",8050
1965,"624","Social assistance","Total Value Added",1003
1965,"71","All recreation industries","Total Value Added",4623
1965,"721","Accomodation","Total Value Added",3873
1965,"722","Food services and drinking places","Total Value Added",11785
1965,"81","Other services, except government","Total Value Added",20119
1965,"G","All government","Total Value Added",110373
1965,"111CA","Farms","Total Industry Output",41586
1965,"113FF","Forestry, fishing, and related activities","Total Industry Output",5078
1965,"211","Oil and gas extraction","Total Industry Output",10255
1965,"212","Mining, except oil and gas","Total Industry Output",8796
1965,"23","Construction","Total Industry Output",81746
1965,"22","Utilities","Total Industry Output",24320
1965,"321","Wood products","Total Industry Output",8951
1965,"327","Nonmetallic mineral products","Total Industry Output",13384
1965,"331","Primary metals","Total Industry Output",42052
1965,"332","Fabricated metal products","Total Industry Output",31787
1965,"333","Machinery","Total Industry Output",32516
1965,"334","Computer and electronic products","Total Industry Output",27734
1965,"335","Electrical equipment, appliances, and components","Total Industry Output",17350
1965,"3361MV","Motor vehicles, bodies and trailers, and parts","Total Industry Output",59983
1965,"3364OT","Other transportation equipment","Total Industry Output",23725
1965,"337","Furniture and related products","Total Industry Output",7051
1965,"339","Miscellaneous manufacturing","Total Industry Output",11098
1965,"311FT","Food and beverage and tobacco products","Total Industry Output",81715
1965,"313TT","Textile mills and textile product mills","Total Industry Output",20474
1965,"315AL","Apparel and leather and allied products","Total Industry Output",24150
1965,"322","Paper products","Total Industry Output",18618
1965,"323PPI","Printing, publishing, and related","Total Industry Output",19820
1965,"324","Petroleum and coal products","Total Industry Output",19289
1965,"325","Chemical products","Total Industry Output",36884
1965,"326","Plastics and rubber products","Total Industry Output",10838
1965,"42","Wholesale trade","Total Industry Output",60730
1965,"44RT","Retail trade","Total Industry Output",91638
1965,"481","Air transportation","Total Industry Output",5595
1965,"482","Rail transportation","Total Industry Output",12385
1965,"483","Water transportation","Total Industry Output",3114
1965,"484","Truck transportation","Total Industry Output",13778
1965,"485","Transit and ground passenger transportation","Total Industry Output",4018
1965,"486","Pipeline transportation","Total Industry Output",1716
1965,"487OS","Other transportation and support activities","Total Industry Output",7801
1965,"493","Warehousing and storage","Total Industry Output",2094
1965,"512","Theaters, motion pictures, and sound recording","Total Industry Output",4956
1965,"513","Broadcasting and telecommunications","Total Industry Output",22965
1965,"51C54","Computer, data processing, internet publishing, and other information services","Total Industry Output",3781
1965,"521CI","Federal Reserve banks, credit intermediation, and related activities","Total Industry Output",21658
1965,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles","Total Industry Output",5979
1965,"524","Insurance carriers and related activities","Total Industry Output",22694
1965,"531","Real estate","Total Industry Output",84047
1965,"532RL","Rental and leasing services and lessors of intangible assets","Total Industry Output",7272
1965,"5411","Legal services","Total Industry Output",8019
1965,"5412OP","Miscellaneous professional, scientific, and technical services","Total Industry Output",18128
1965,"55","Management of companies and public relations","Total Industry Output",15383
1965,"56","Administrative, support, and other business services","Total Industry Output",10170
1965,"61","Educational services","Total Industry Output",7569
1965,"621","Ambulatory health care services","Total Industry Output",14872
1965,"622HO","Hospitals and nursing and residential care facilities","Total Industry Output",10964
1965,"624","Social assistance","Total Industry Output",1347
1965,"71","All recreation industries","Total Industry Output",6793
1965,"721","Accomodation","Total Industry Output",6045
1965,"722","Food services and drinking places","Total Industry Output",24605
1965,"81","Other services, except government","Total Industry Output",32402
1965,"G","All government","Total Industry Output",144262
1966,"111CA","Farms","Total Intermediate",23803
1966,"113FF","Forestry, fishing, and related activities","Total Intermediate",2936
1966,"211","Oil and gas extraction","Total Intermediate",5007
