"year","NNA_code","NNA_industry","abs_eigenvec"
1964,"44RT","Retail trade",0.0685485743987558
1964,"481","Air transportation",0.0182635867614646
1964,"482","Rail transportation",0.107159922264402
1964,"483","Water transportation",0.0177506964193148
1964,"484","Truck transportation",0.101156934075473
1964,"485","Transit and ground passenger transportation",0.0184389943031315
1964,"486","Pipeline transportation",0.0146151766482799
1964,"487OS","Other transportation and support activities",0.0769382597386448
1964,"493","Warehousing and storage",0.0171568820099054
1964,"512","Theaters, motion pictures, and sound recording",0.0042907781836968
1964,"513","Broadcasting and telecommunications",0.0709593534687885
1964,"51C54","Computer, data processing, internet publishing, and other information services",0.0403750272224004
1964,"521CI","Federal Reserve banks, credit intermediation, and related activities",0.143210232140822
1964,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles",0.0350439893397351
1964,"524","Insurance carriers and related activities",0.0990855465584939
1964,"531","Real estate",0.100457717629885
1964,"532RL","Rental and leasing services and lessors of intangible assets",0.0996125834869649
1964,"5411","Legal services",0.0372305346615299
1964,"5412OP","Miscellaneous professional, scientific, and technical services",0.179860714873027
1964,"55","Management of companies and public relations",0.121224975293615
1964,"56","Administrative, support, and other business services",0.0682355219271427
1964,"61","Educational services",0.000550473976749247
1964,"621","Ambulatory health care services",0.000365077388990654
1964,"622HO","Hospitals and nursing and residential care facilities",1.47499631780084e-05
1964,"624","Social assistance",0
1964,"71","All recreation industries",0.00867997109813686
1964,"721","Accomodation",0.0171020821886106
1964,"722","Food services and drinking places",0.04906890285472
1964,"81","Other services, except government",0.094237672486475
1964,"G","All government",0.0367899676926289
1965,"111CA","Farms",0.221198967853017
1965,"113FF","Forestry, fishing, and related activities",0.123774757854042
1965,"211","Oil and gas extraction",0.0941037727915006
1965,"212","Mining, except oil and gas",0.177913562548508
1965,"22","Utilities",0.126726847212821
1965,"23","Construction",0.049399619323141
1965,"311FT","Food and beverage and tobacco products",0.199498727290906
1965,"313TT","Textile mills and textile product mills",0.155726328521883
1965,"315AL","Apparel and leather and allied products",0.0250887205993394
1965,"321","Wood products",0.0524380339182719
1965,"322","Paper products",0.190807013013652
1965,"323PPI","Printing, publishing, and related",0.0446387520537545
1965,"324","Petroleum and coal products",0.0731700377060125
1965,"325","Chemical products",0.333807719826852
1965,"326","Plastics and rubber products",0.0743187051682963
1965,"327","Nonmetallic mineral products",0.061481429837186
1965,"331","Primary metals",0.593356234745631
1965,"332","Fabricated metal products",0.205151671471814
1965,"333","Machinery",0.090134723281314
1965,"334","Computer and electronic products",0.057893433987156
1965,"335","Electrical equipment, appliances, and components",0.0542472260643175
1965,"3361MV","Motor vehicles, bodies and trailers, and parts",0.160606727075257
1965,"3364OT","Other transportation equipment",0.0197315363742325
1965,"337","Furniture and related products",0.00584177843541958
1965,"339","Miscellaneous manufacturing",0.0322804576365844
1965,"42","Wholesale trade",0.248688100672382
1965,"44RT","Retail trade",0.0645790840108963
1965,"481","Air transportation",0.0176600135366265
1965,"482","Rail transportation",0.103287061096802
1965,"483","Water transportation",0.0177853247593474
1965,"484","Truck transportation",0.0984081346775372
1965,"485","Transit and ground passenger transportation",0.0173262180788591
1965,"486","Pipeline transportation",0.0140564087588245
1965,"487OS","Other transportation and support activities",0.0755527900170689
1965,"493","Warehousing and storage",0.0153996328679181
1965,"512","Theaters, motion pictures, and sound recording",0.00414234864542727
1965,"513","Broadcasting and telecommunications",0.0679211044820295
1965,"51C54","Computer, data processing, internet publishing, and other information services",0.0356037472959611
1965,"521CI","Federal Reserve banks, credit intermediation, and related activities",0.135037794124951
1965,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles",0.0322070042996711
1965,"524","Insurance carriers and related activities",0.0939176151430652
1965,"531","Real estate",0.103208487649221
1965,"532RL","Rental and leasing services and lessors of intangible assets",0.0851411590170953
1965,"5411","Legal services",0.0350564186147815
1965,"5412OP","Miscellaneous professional, scientific, and technical services",0.17583749956665
1965,"55","Management of companies and public relations",0.118696076864592
1965,"56","Administrative, support, and other business services",0.0686465240419298
1965,"61","Educational services",0.000532245231722867
1965,"621","Ambulatory health care services",0.000292909836266828
1965,"622HO","Hospitals and nursing and residential care facilities",7.4312926832019e-06
1965,"624","Social assistance",0
1965,"71","All recreation industries",0.0078166707037188
1965,"721","Accomodation",0.0186824038608266
1965,"722","Food services and drinking places",0.046403511881964
1965,"81","Other services, except government",0.0945344083677664
1965,"G","All government",0.0347682134788362
1966,"111CA","Farms",0.221854718765429
1966,"113FF","Forestry, fishing, and related activities",0.122252890965629
1966,"211","Oil and gas extraction",0.0886988481689168
1966,"212","Mining, except oil and gas",0.172083798882018
1966,"22","Utilities",0.124838820382461
1966,"23","Construction",0.0533356529193496
1966,"311FT","Food and beverage and tobacco products",0.182549861477326
1966,"313TT","Textile mills and textile product mills",0.145108484091636
1966,"315AL","Apparel and leather and allied products",0.0196139540032991
1966,"321","Wood products",0.0534384712418088
1966,"322","Paper products",0.183542066372858
1966,"323PPI","Printing, publishing, and related",0.0436134650078274
1966,"324","Petroleum and coal products",0.0683304595629605
1966,"325","Chemical products",0.331988826667852
1966,"326","Plastics and rubber products",0.074970848363485
1966,"327","Nonmetallic mineral products",0.0623496754432284
1966,"331","Primary metals",0.596396507130759
1966,"332","Fabricated metal products",0.221603166046207
1966,"333","Machinery",0.0957738057362487
1966,"334","Computer and electronic products",0.06510295230273
1966,"335","Electrical equipment, appliances, and components",0.0587325496338981
1966,"3361MV","Motor vehicles, bodies and trailers, and parts",0.152958020483584
1966,"3364OT","Other transportation equipment",0.0193887561555104
1966,"337","Furniture and related products",0.00568179418773144
1966,"339","Miscellaneous manufacturing",0.0288486312180663
1966,"42","Wholesale trade",0.25824979371489
1966,"44RT","Retail trade",0.0576319453984788
1966,"481","Air transportation",0.0194050401548388
1966,"482","Rail transportation",0.0990917209942848
1966,"483","Water transportation",0.0184707431788404
1966,"484","Truck transportation",0.0990691933963846
1966,"485","Transit and ground passenger transportation",0.0170308231710549
1966,"486","Pipeline transportation",0.0137256281310206
1966,"487OS","Other transportation and support activities",0.0764734931137618
1966,"493","Warehousing and storage",0.0158277965062925
1966,"512","Theaters, motion pictures, and sound recording",0.00404933891798386
1966,"513","Broadcasting and telecommunications",0.0658341727397366
1966,"51C54","Computer, data processing, internet publishing, and other information services",0.0369296902909087
1966,"521CI","Federal Reserve banks, credit intermediation, and related activities",0.13813187164405
1966,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles",0.032036698130705
1966,"524","Insurance carriers and related activities",0.0875515333016161
1966,"531","Real estate",0.110465342726732
1966,"532RL","Rental and leasing services and lessors of intangible assets",0.0781532614880335
1966,"5411","Legal services",0.0368412515123085
1966,"5412OP","Miscellaneous professional, scientific, and technical services",0.183993538738232
1966,"55","Management of companies and public relations",0.11910434672198
1966,"56","Administrative, support, and other business services",0.071579931041363
1966,"61","Educational services",0.00044514034700249
1966,"621","Ambulatory health care services",0.000230556584319786
1966,"622HO","Hospitals and nursing and residential care facilities",3.79976591273958e-06
1966,"624","Social assistance",0
1966,"71","All recreation industries",0.007669648235808
1966,"721","Accomodation",0.0196200352869745
1966,"722","Food services and drinking places",0.0448961650783116
1966,"81","Other services, except government",0.0959574400512048
1966,"G","All government",0.0331393232516163
1967,"111CA","Farms",0.213467247088624
1967,"113FF","Forestry, fishing, and related activities",0.117381503290851
1967,"211","Oil and gas extraction",0.0936065429717722
1967,"212","Mining, except oil and gas",0.162447928050508
1967,"22","Utilities",0.130797900724812
1967,"23","Construction",0.0585207842314322
1967,"311FT","Food and beverage and tobacco products",0.191420654784191
1967,"313TT","Textile mills and textile product mills",0.146431517769648
1967,"315AL","Apparel and leather and allied products",0.0212428244682853
1967,"321","Wood products",0.0543135586727016
1967,"322","Paper products",0.189303003925961
1967,"323PPI","Printing, publishing, and related",0.0439551675435089
1967,"324","Petroleum and coal products",0.0734441472254794
1967,"325","Chemical products",0.341115933102262
1967,"326","Plastics and rubber products",0.0800571722493039
1967,"327","Nonmetallic mineral products",0.0635256619201984
1967,"331","Primary metals",0.568425179330149
1967,"332","Fabricated metal products",0.245340718086179
1967,"333","Machinery",0.104518928340275
1967,"334","Computer and electronic products",0.0649385278953839
1967,"335","Electrical equipment, appliances, and components",0.0618046421215054
1967,"3361MV","Motor vehicles, bodies and trailers, and parts",0.116630595709296
1967,"3364OT","Other transportation equipment",0.0239563718041081
1967,"337","Furniture and related products",0.00586352881300093
1967,"339","Miscellaneous manufacturing",0.0302825682478942
1967,"42","Wholesale trade",0.272739015258812
1967,"44RT","Retail trade",0.0551508351576632
1967,"481","Air transportation",0.0216958013428741
1967,"482","Rail transportation",0.0938135358522523
1967,"483","Water transportation",0.0188574006185946
1967,"484","Truck transportation",0.102649090241512
1967,"485","Transit and ground passenger transportation",0.0175528737145277
1967,"486","Pipeline transportation",0.014835886725015
1967,"487OS","Other transportation and support activities",0.0808457073268045
1967,"493","Warehousing and storage",0.0163749844389792
1967,"512","Theaters, motion pictures, and sound recording",0.00488320056724866
1967,"513","Broadcasting and telecommunications",0.0700610307752701
1967,"51C54","Computer, data processing, internet publishing, and other information services",0.026436499900674
1967,"521CI","Federal Reserve banks, credit intermediation, and related activities",0.148564055453111
1967,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles",0.0328209261347222
1967,"524","Insurance carriers and related activities",0.0797378321580178
1967,"531","Real estate",0.126418408378228
1967,"532RL","Rental and leasing services and lessors of intangible assets",0.0782401801472528
1967,"5411","Legal services",0.0367103314123344
1967,"5412OP","Miscellaneous professional, scientific, and technical services",0.193564825638662
1967,"55","Management of companies and public relations",0.124328664642221
1967,"56","Administrative, support, and other business services",0.075499165984153
1967,"61","Educational services",0.00042156146182074
1967,"621","Ambulatory health care services",0.000191372811713773
1967,"622HO","Hospitals and nursing and residential care facilities",3.5366638715071e-06
1967,"624","Social assistance",0
1967,"71","All recreation industries",0.00753857345921092
1967,"721","Accomodation",0.0220200036455168
1967,"722","Food services and drinking places",0.0453513649422949
1967,"81","Other services, except government",0.100973512931852
1967,"G","All government",0.0345862552776442
1968,"111CA","Farms",0.157512343541701
1968,"113FF","Forestry, fishing, and related activities",0.105585652332657
1968,"211","Oil and gas extraction",0.0976857381494692
1968,"212","Mining, except oil and gas",0.178875777933535
1968,"22","Utilities",0.137248762364744
1968,"23","Construction",0.0584698588428453
1968,"311FT","Food and beverage and tobacco products",0.142414717258754
1968,"313TT","Textile mills and textile product mills",0.137413442915209
1968,"315AL","Apparel and leather and allied products",0.0176294796557254
1968,"321","Wood products",0.0538984781946647
1968,"322","Paper products",0.178820206077947
1968,"323PPI","Printing, publishing, and related",0.0439052353915023
1968,"324","Petroleum and coal products",0.0731851110919292
1968,"325","Chemical products",0.3164784207421
1968,"326","Plastics and rubber products",0.0823982218914311
1968,"327","Nonmetallic mineral products",0.0627795015350735
1968,"331","Primary metals",0.618548734802678
1968,"332","Fabricated metal products",0.246030800062875
1968,"333","Machinery",0.115666581055401
1968,"334","Computer and electronic products",0.0729569676203757
1968,"335","Electrical equipment, appliances, and components",0.0653139376234239
1968,"3361MV","Motor vehicles, bodies and trailers, and parts",0.122875500207083
1968,"3364OT","Other transportation equipment",0.0304350986834133
1968,"337","Furniture and related products",0.00610295933712155
1968,"339","Miscellaneous manufacturing",0.029387777038901
1968,"42","Wholesale trade",0.256684875188252
1968,"44RT","Retail trade",0.0499374187624631
1968,"481","Air transportation",0.0293292543574066
1968,"482","Rail transportation",0.0916199630223149
1968,"483","Water transportation",0.0195530730375224
1968,"484","Truck transportation",0.0994071593370317
1968,"485","Transit and ground passenger transportation",0.0188509003060095
1968,"486","Pipeline transportation",0.0160055020280222
1968,"487OS","Other transportation and support activities",0.085399552243432
1968,"493","Warehousing and storage",0.0137027169201626
1968,"512","Theaters, motion pictures, and sound recording",0.00474363442547063
1968,"513","Broadcasting and telecommunications",0.0717940659641385
1968,"51C54","Computer, data processing, internet publishing, and other information services",0.0279059736419062
1968,"521CI","Federal Reserve banks, credit intermediation, and related activities",0.14173094737139
1968,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles",0.0418658710265929
1968,"524","Insurance carriers and related activities",0.0873949473185834
1968,"531","Real estate",0.121949975989956
1968,"532RL","Rental and leasing services and lessors of intangible assets",0.0833554375290921
1968,"5411","Legal services",0.0331307080696695
1968,"5412OP","Miscellaneous professional, scientific, and technical services",0.19081079251388
1968,"55","Management of companies and public relations",0.123228644869671
1968,"56","Administrative, support, and other business services",0.077531048691897
1968,"61","Educational services",0.00106780024068519
1968,"621","Ambulatory health care services",0.000206722154375742
1968,"622HO","Hospitals and nursing and residential care facilities",1.3807045561274e-05
1968,"624","Social assistance",0
1968,"71","All recreation industries",0.00888293506273235
1968,"721","Accomodation",0.0227308973723834
1968,"722","Food services and drinking places",0.0458983873140469
1968,"81","Other services, except government",0.0929801524994066
1968,"G","All government",0.0373198141702341
1969,"111CA","Farms",0.165659668500217
1969,"113FF","Forestry, fishing, and related activities",0.108638100541011
1969,"211","Oil and gas extraction",0.10742516137197
1969,"212","Mining, except oil and gas",0.183247495288971
1969,"22","Utilities",0.141383459572016
1969,"23","Construction",0.0608040127422147
1969,"311FT","Food and beverage and tobacco products",0.141421667660322
1969,"313TT","Textile mills and textile product mills",0.118674498153414
1969,"315AL","Apparel and leather and allied products",0.015835906289585
1969,"321","Wood products",0.0536025992814139
1969,"322","Paper products",0.191302834340949
1969,"323PPI","Printing, publishing, and related",0.0475292956059693
1969,"324","Petroleum and coal products",0.0778012219049043
1969,"325","Chemical products",0.303952265135644
1969,"326","Plastics and rubber products",0.086411609756172
1969,"327","Nonmetallic mineral products",0.0626336077643366
1969,"331","Primary metals",0.596212031899524
1969,"332","Fabricated metal products",0.24267955694371
1969,"333","Machinery",0.115791744457577
1969,"334","Computer and electronic products",0.0733082764619256
1969,"335","Electrical equipment, appliances, and components",0.0674668356647854
1969,"3361MV","Motor vehicles, bodies and trailers, and parts",0.115075162553621
1969,"3364OT","Other transportation equipment",0.0398393217154758
1969,"337","Furniture and related products",0.0061404482213205
1969,"339","Miscellaneous manufacturing",0.0301930938733663
1969,"42","Wholesale trade",0.255805818406906
1969,"44RT","Retail trade",0.0475505650988768
1969,"481","Air transportation",0.034652324870716
1969,"482","Rail transportation",0.0898985320327546
1969,"483","Water transportation",0.0193365326755233
1969,"484","Truck transportation",0.118605370724724
1969,"485","Transit and ground passenger transportation",0.0210061145293005
1969,"486","Pipeline transportation",0.0186382405109185
1969,"487OS","Other transportation and support activities",0.104158863021975
1969,"493","Warehousing and storage",0.0153045747970964
1969,"512","Theaters, motion pictures, and sound recording",0.00557676930713051
1969,"513","Broadcasting and telecommunications",0.0773069245437504
1969,"51C54","Computer, data processing, internet publishing, and other information services",0.0361216916183753
1969,"521CI","Federal Reserve banks, credit intermediation, and related activities",0.167094865789013
1969,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles",0.0407905850708448
1969,"524","Insurance carriers and related activities",0.0887314895516637
1969,"531","Real estate",0.126189300916179
1969,"532RL","Rental and leasing services and lessors of intangible assets",0.0969343414291492
1969,"5411","Legal services",0.033789790927845
1969,"5412OP","Miscellaneous professional, scientific, and technical services",0.205322615855833
1969,"55","Management of companies and public relations",0.122817874340377
1969,"56","Administrative, support, and other business services",0.0860055186854653
1969,"61","Educational services",0.00178055125272807
1969,"621","Ambulatory health care services",0.000222915570621414
1969,"622HO","Hospitals and nursing and residential care facilities",1.66242120463428e-05
1969,"624","Social assistance",0
1969,"71","All recreation industries",0.0105478636713421
1969,"721","Accomodation",0.0239434967134119
1969,"722","Food services and drinking places",0.0473470255916383
1969,"81","Other services, except government",0.0943530708496824
1969,"G","All government",0.0398081637629877
1970,"111CA","Farms",0.16037969319562
1970,"113FF","Forestry, fishing, and related activities",0.0959255487935291
1970,"211","Oil and gas extraction",0.12485205393036
1970,"212","Mining, except oil and gas",0.207553268393808
1970,"22","Utilities",0.151679380676429
1970,"23","Construction",0.0629925317115526
1970,"311FT","Food and beverage and tobacco products",0.137153062735934
1970,"313TT","Textile mills and textile product mills",0.114506222990131
1970,"315AL","Apparel and leather and allied products",0.0152235713987588
1970,"321","Wood products",0.0531312633546856
1970,"322","Paper products",0.185469726925971
1970,"323PPI","Printing, publishing, and related",0.0506643831918551
1970,"324","Petroleum and coal products",0.0849508355278924
1970,"325","Chemical products",0.29364586903202
1970,"326","Plastics and rubber products",0.0880790856783082
1970,"327","Nonmetallic mineral products",0.0630364095477103
1970,"331","Primary metals",0.568466576554079
1970,"332","Fabricated metal products",0.229719567126567
1970,"333","Machinery",0.104391239265255
1970,"334","Computer and electronic products",0.07313692707168
1970,"335","Electrical equipment, appliances, and components",0.0687454455097459
1970,"3361MV","Motor vehicles, bodies and trailers, and parts",0.112306781494838
1970,"3364OT","Other transportation equipment",0.0482325622230871
1970,"337","Furniture and related products",0.00598886332036781
1970,"339","Miscellaneous manufacturing",0.0309748840557658
1970,"42","Wholesale trade",0.263835714303216
1970,"44RT","Retail trade",0.0470788884549293
1970,"481","Air transportation",0.0406082296816712
1970,"482","Rail transportation",0.0921465939171818
1970,"483","Water transportation",0.0197889229661844
1970,"484","Truck transportation",0.1273819830232
1970,"485","Transit and ground passenger transportation",0.0241262370274047
1970,"486","Pipeline transportation",0.0232877138933037
1970,"487OS","Other transportation and support activities",0.112918910783469
1970,"493","Warehousing and storage",0.0150260245395844
1970,"512","Theaters, motion pictures, and sound recording",0.00621332972693112
1970,"513","Broadcasting and telecommunications",0.0845622436556652
1970,"51C54","Computer, data processing, internet publishing, and other information services",0.0464304918828233
1970,"521CI","Federal Reserve banks, credit intermediation, and related activities",0.186772083826454
1970,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles",0.0391001047009313
1970,"524","Insurance carriers and related activities",0.0938818209931148
1970,"531","Real estate",0.132475357999427
1970,"532RL","Rental and leasing services and lessors of intangible assets",0.119770857106945
1970,"5411","Legal services",0.039309136415306
1970,"5412OP","Miscellaneous professional, scientific, and technical services",0.223044932079714
1970,"55","Management of companies and public relations",0.121933906601487
1970,"56","Administrative, support, and other business services",0.0966139883540995
1970,"61","Educational services",0.0028213196216623
1970,"621","Ambulatory health care services",0.000237690431423659
1970,"622HO","Hospitals and nursing and residential care facilities",1.79954900762392e-05
1970,"624","Social assistance",0
1970,"71","All recreation industries",0.0127381329877656
1970,"721","Accomodation",0.0268850131100487
1970,"722","Food services and drinking places",0.0516765323846477
1970,"81","Other services, except government",0.0974431330982132
1970,"G","All government",0.0421679794640703
1971,"111CA","Farms",0.155857309223966
1971,"113FF","Forestry, fishing, and related activities",0.104566035928819
1971,"211","Oil and gas extraction",0.141833084348403
1971,"212","Mining, except oil and gas",0.196305974937979
1971,"22","Utilities",0.161002376947362
1971,"23","Construction",0.0662764407739523
1971,"311FT","Food and beverage and tobacco products",0.139940965361359
1971,"313TT","Textile mills and textile product mills",0.113523732888239
1971,"315AL","Apparel and leather and allied products",0.0133750461024023
1971,"321","Wood products",0.0491721477771551
1971,"322","Paper products",0.189089789848797
1971,"323PPI","Printing, publishing, and related",0.0515308010022253
1971,"324","Petroleum and coal products",0.09261476944871
1971,"325","Chemical products",0.296099871712163
1971,"326","Plastics and rubber products",0.0930707690765097
1971,"327","Nonmetallic mineral products",0.0611176474412521
1971,"331","Primary metals",0.533087892990616
1971,"332","Fabricated metal products",0.211647700828746
1971,"333","Machinery",0.105442536280957
1971,"334","Computer and electronic products",0.0846430637584665
1971,"335","Electrical equipment, appliances, and components",0.0635654985409624
1971,"3361MV","Motor vehicles, bodies and trailers, and parts",0.150892624804555
1971,"3364OT","Other transportation equipment",0.0603429076550764
1971,"337","Furniture and related products",0.00656410170381991
1971,"339","Miscellaneous manufacturing",0.0294194876017696
1971,"42","Wholesale trade",0.271090908968129
1971,"44RT","Retail trade",0.0477812949650941
1971,"481","Air transportation",0.0461923612627729
1971,"482","Rail transportation",0.090456157457817
1971,"483","Water transportation",0.0192323343130049
1971,"484","Truck transportation",0.131830539235867
1971,"485","Transit and ground passenger transportation",0.0270775225114966
1971,"486","Pipeline transportation",0.0270878550503688
1971,"487OS","Other transportation and support activities",0.122940495140031
1971,"493","Warehousing and storage",0.0146073127701715
1971,"512","Theaters, motion pictures, and sound recording",0.00769578768659447
1971,"513","Broadcasting and telecommunications",0.0944416380077547
1971,"51C54","Computer, data processing, internet publishing, and other information services",0.0469527933084136
1971,"521CI","Federal Reserve banks, credit intermediation, and related activities",0.188399921693021
1971,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles",0.050515706061574
1971,"524","Insurance carriers and related activities",0.0928322541369215
1971,"531","Real estate",0.141082652342338
1971,"532RL","Rental and leasing services and lessors of intangible assets",0.143713334692049
1971,"5411","Legal services",0.0377861854873582
1971,"5412OP","Miscellaneous professional, scientific, and technical services",0.229588366902204
1971,"55","Management of companies and public relations",0.12623532638601
1971,"56","Administrative, support, and other business services",0.102423642135278
1971,"61","Educational services",0.00397079993512136
1971,"621","Ambulatory health care services",0.000254671980773494
1971,"622HO","Hospitals and nursing and residential care facilities",1.14917487685274e-05
1971,"624","Social assistance",0
1971,"71","All recreation industries",0.014370811654839
1971,"721","Accomodation",0.0266622194935065
1971,"722","Food services and drinking places",0.0538544948884753
1971,"81","Other services, except government",0.0981856435153707
1971,"G","All government",0.0445326150992772
1972,"111CA","Farms",0.182612651424126
1972,"113FF","Forestry, fishing, and related activities",0.122678032741315
1972,"211","Oil and gas extraction",0.14050173814928
1972,"212","Mining, except oil and gas",0.176313281282601
1972,"22","Utilities",0.164271857401096
1972,"23","Construction",0.0719211728799096
1972,"311FT","Food and beverage and tobacco products",0.160561780891805
1972,"313TT","Textile mills and textile product mills",0.124845021622947
1972,"315AL","Apparel and leather and allied products",0.0118924205948041
1972,"321","Wood products",0.0565689557747401
1972,"322","Paper products",0.193840829415683
1972,"323PPI","Printing, publishing, and related",0.0545623334957878
1972,"324","Petroleum and coal products",0.0958917101420255
1972,"325","Chemical products",0.312156521650773
1972,"326","Plastics and rubber products",0.102838773693797
1972,"327","Nonmetallic mineral products",0.0636099515148137
1972,"331","Primary metals",0.50845833568715
1972,"332","Fabricated metal products",0.206572577099885
1972,"333","Machinery",0.113384627070183
1972,"334","Computer and electronic products",0.0910474411955595
1972,"335","Electrical equipment, appliances, and components",0.0659087018109012
1972,"3361MV","Motor vehicles, bodies and trailers, and parts",0.136390478252443
1972,"3364OT","Other transportation equipment",0.0558960762642317
1972,"337","Furniture and related products",0.00758021105593383
1972,"339","Miscellaneous manufacturing",0.0352338243604915
1972,"42","Wholesale trade",0.277150070923543
1972,"44RT","Retail trade",0.0462479983325938
1972,"481","Air transportation",0.046354476450926
1972,"482","Rail transportation",0.0831101844980548
1972,"483","Water transportation",0.018764225801519
1972,"484","Truck transportation",0.129556106297316
1972,"485","Transit and ground passenger transportation",0.0281347027803148
1972,"486","Pipeline transportation",0.0295405652678542
1972,"487OS","Other transportation and support activities",0.115241968169686
1972,"493","Warehousing and storage",0.0129998383909549
1972,"512","Theaters, motion pictures, and sound recording",0.00899604962144412
1972,"513","Broadcasting and telecommunications",0.0978124846676155
1972,"51C54","Computer, data processing, internet publishing, and other information services",0.0449196695711627
1972,"521CI","Federal Reserve banks, credit intermediation, and related activities",0.180284098779434
1972,"523O","Securities, commodity contracts, investments, funds, trusts, and other financial vehicles",0.0524294645404092
1972,"524","Insurance carriers and related activities",0.0939654034329146
1972,"531","Real estate",0.138907359250445
1972,"532RL","Rental and leasing services and lessors of intangible assets",0.146139910132321
1972,"5411","Legal services",0.0351163971875296
