Table 6.5D. Full-Time Equivalent Employees by Industry
Table 6.5D. Full-Time Equivalent Employees by Industry
"Last Revised on: September 27, 2024"
Line,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
38,"        Retail trade",12280,12633,12994,13416,13251,13145,13220,13438,13556,13675,13421,12623,12451,12615,12857,13034,13253,13598,13794,13852,13809,13722,13044,13566,13684,13668
39,"            Motor vehicle and parts dealers",1478,1525,1577,1646,1659,1658,1674,1690,1686,1685,1607,1423,1406,1451,1505,1551,1607,1680,1725,1749,1762,1783,1671,1722,1741,1754
40,"            Food and beverage stores",2481,2524,2545,2617,2557,2513,2483,2483,2490,2516,2515,2459,2421,2433,2481,2540,2592,2665,2688,2702,2689,2695,2732,2750,2753,2778
41,"            General merchandise stores",2223,2274,2360,2457,2444,2449,2475,2559,2581,2638,2650,2588,2552,2644,2665,2643,2682,2748,2785,2712,2697,2643,2577,2686,2709,2721
42,"            Other retail3",6097,6310,6511,6696,6591,6524,6588,6706,6800,6836,6649,6153,6072,6086,6206,6299,6372,6505,6596,6689,6661,6601,6064,6408,6482,6414
43,"        Transportation and warehousing",4051,4133,4215,4196,4060,4016,4079,4181,4263,4325,4298,3979,3930,4042,4188,4249,4420,4635,4725,4902,5138,5419,5433,5802,6238,6296
44,"            Air transportation",530,552,575,586,536,504,490,478,460,467,466,436,424,431,438,426,427,439,450,468,482,485,443,439,486,529
45,"            Rail transportation",212,207,198,191,184,180,180,188,192,190,189,177,175,183,188,188,193,196,179,173,172,166,147,139,142,150
46,"            Water transportation",49,49,49,50,51,52,53,58,59,62,64,60,60,60,62,63,65,65,62,61,61,63,56,55,60,63
47,"            Truck transportation",1316,1345,1369,1352,1308,1295,1324,1361,1391,1396,1350,1213,1197,1247,1301,1320,1367,1402,1387,1397,1435,1470,1410,1440,1497,1491
48,"            Transit and ground passenger transportation",366,377,373,369,371,371,377,384,391,399,409,405,406,417,428,432,451,462,458,462,465,476,350,367,394,427
49,"            Pipeline transportation",48,45,44,42,40,38,36,36,37,38,39,39,40,40,42,41,44,46,46,47,47,48,48,46,47,50
50,"            Other transportation and support activities4",1073,1090,1121,1114,1071,1065,1075,1101,1125,1141,1143,1049,1032,1055,1086,1106,1165,1234,1265,1322,1397,1531,1594,1727,1819,1827
51,"            Warehousing and storage",456,468,487,491,500,511,545,575,608,631,639,600,595,608,643,672,708,791,878,972,1080,1180,1386,1589,1792,1758
52,"        Information",3035,3187,3410,3410,3154,2971,2883,2857,2859,2853,2799,2627,2512,2519,2511,2533,2569,2576,2632,2613,2628,2642,2536,2649,2869,2833
53,"            Publishing industries (includes software)",906,929,962,926,873,840,814,818,832,839,807,728,690,692,680,670,680,671,681,676,680,698,712,735,830,837
54,"            Motion picture and sound recording industries",309,319,308,345,330,322,323,320,312,316,328,314,309,318,317,330,326,349,384,370,368,389,270,324,401,342
55,"            Broadcasting and telecommunications",1391,1462,1566,1603,1477,1371,1323,1289,1270,1331,1299,1235,1163,1141,1116,1107,1110,1064,1054,1026,1000,963,914,888,875,860
56,"            Information and data processing services",429,478,573,536,475,438,423,430,445,368,366,350,350,368,397,426,453,492,514,541,580,592,640,701,763,795
57,"        Finance and insurance",5318,5408,5403,5591,5592,5697,5733,5819,5952,5929,5814,5559,5506,5580,5662,5714,5774,5897,5964,6103,6171,6296,6347,6413,6559,6578
58,"            Federal Reserve banks, credit intermediation, and related activities",2413,2452,2412,2533,2590,2692,2735,2793,2842,2789,2660,2529,2478,2483,2522,2553,2510,2518,2547,2601,2598,2615,2625,2671,2658,2586
59,"            Securities, commodity contracts, and investments",754,785,841,842,793,763,774,803,831,868,886,828,816,830,830,841,859,883,893,901,922,929,928,950,1015,1052
60,"            Insurance carriers and related activities",2137,2156,2136,2201,2195,2228,2210,2208,2264,2265,2262,2196,2208,2262,2307,2316,2400,2490,2513,2588,2636,2736,2776,2771,2859,2911
61,"            Funds, trusts, and other financial vehicles",14,14,14,15,14,14,14,15,15,7,7,6,5,4,3,3,6,7,10,12,14,16,18,21,27,30
62,"        Real estate and rental and leasing",1765,1806,1827,1924,1918,1931,1961,1996,2028,2011,1996,1846,1788,1793,1824,1873,1906,1955,2000,2051,2106,2185,2062,2146,2235,2296
63,"            Real estate",1181,1209,1219,1287,1316,1335,1359,1392,1416,1407,1399,1319,1302,1305,1328,1369,1394,1429,1462,1501,1552,1621,1586,1665,1707,1743
64,"            Rental and leasing services and lessors of intangible assets5",585,597,608,638,602,596,602,604,612,604,596,526,486,488,496,504,512,527,538,550,554,564,476,480,527,553
65,"        Professional, scientific, and technical services",5776,6099,6462,6623,6415,6373,6504,6782,7092,7336,7515,7145,7157,7332,7532,7794,7994,8273,8496,8655,8948,9233,9111,9576,10198,10412
66,"            Legal services",985,1008,1022,1053,1074,1098,1111,1122,1126,1130,1119,1078,1071,1065,1071,1088,1074,1077,1084,1095,1104,1120,1094,1122,1142,1151
67,"            Computer systems design and related services",982,1100,1219,1235,1095,1061,1089,1142,1213,1301,1374,1339,1380,1465,1540,1626,1705,1821,1891,1958,2034,2108,2112,2217,2381,2375
68,"            Miscellaneous professional, scientific, and technical services6",3809,3991,4221,4335,4246,4214,4304,4519,4753,4905,5022,4729,4706,4802,4922,5080,5215,5375,5521,5602,5810,6005,5905,6237,6676,6886
69,"        Management of companies and enterprises7",1581,1614,1626,1635,1626,1663,1672,1745,1771,1811,1821,1798,1793,1826,1885,1978,2004,2071,2130,2182,2240,2251,2255,2275,2475,2531
70,"        Administrative and waste management services",6815,7216,7564,7093,6972,6892,7180,7425,7607,7760,7436,6614,6827,7128,7356,7607,7901,8183,8322,8459,8615,8671,8000,8438,8927,8704
71,"            Administrative and support services",6524,6922,7267,6783,6661,6582,6865,7098,7274,7417,7087,6277,6485,6777,7000,7246,7525,7795,7933,8058,8193,8235,7567,7997,8465,8223
72,"            Waste management and remediation services",291,295,297,311,311,311,316,327,333,343,349,337,342,351,356,362,376,387,389,402,422,435,433,441,462,481
73,"        Educational services",2025,2100,2179,2264,2374,2420,2490,2542,2611,2682,2773,2807,2870,2932,2978,3043,3083,3153,3205,3279,3336,3368,3269,3281,3405,3537
74,"        Health care and social assistance",11146,11376,11636,11955,12338,12657,12914,13257,13687,14017,14423,14648,14903,15093,15733,16129,16441,16901,17362,17822,18255,18617,18182,18525,18894,19758
75,"            Ambulatory health care services",3803,3831,3929,4054,4189,4340,4472,4647,4835,4959,5116,5216,5368,5524,5691,5831,6004,6189,6388,6615,6826,7002,6839,7203,7428,7733
76,"            Hospitals",3440,3499,3527,3758,3875,3935,3983,4061,4150,4245,4347,4393,4398,4425,4489,4502,4499,4630,4722,4806,4856,4911,4871,4864,4880,5060
77,"            Nursing and residential care facilities",2289,2326,2374,2452,2496,2536,2558,2589,2636,2671,2741,2787,2838,2865,2898,2925,2968,2978,3038,3037,3079,3067,2932,2814,2745,2907
78,"            Social assistance",1614,1719,1806,1691,1777,1847,1901,1960,2066,2143,2219,2253,2299,2279,2654,2871,2970,3104,3214,3364,3494,3638,3539,3644,3840,4058
79,"        Arts, entertainment, and recreation",1327,1388,1478,1526,1538,1514,1550,1597,1615,1672,1657,1600,1596,1590,1631,1689,1784,1800,1866,1910,1993,2040,1446,1669,1892,2104
80,"            Performing arts, spectator sports, museums, and related activities",375,387,413,429,427,418,423,433,443,462,458,441,440,441,453,474,504,509,524,540,565,578,393,445,539,602
81,"            Amusements, gambling, and recreation industries",952,1001,1064,1097,1111,1096,1127,1165,1172,1210,1199,1160,1156,1149,1177,1215,1280,1292,1342,1370,1428,1462,1053,1225,1353,1501
82,"        Accommodation and food services",7946,8207,8412,8309,8344,8460,8484,8934,9197,9365,9359,8898,8880,9153,9544,9822,10115,10566,10920,11163,11342,11591,8986,9897,10948,11378
83,"            Accommodation",1566,1612,1654,1674,1629,1620,1448,1672,1687,1717,1730,1570,1559,1611,1639,1686,1709,1753,1778,1804,1839,1890,1265,1372,1626,1740
84,"            Food services and drinking places",6379,6594,6757,6635,6715,6840,7037,7262,7511,7649,7628,7328,7320,7543,7905,8135,8407,8813,9142,9358,9502,9701,7722,8525,9322,9638
85,"        Other services, except government",5471,5571,5649,5646,5778,5797,5851,5812,5841,5945,5972,5695,5551,5553,5681,5670,5897,5993,6003,6004,6173,6315,5696,5816,6079,6160
86,"    Government",18701,18844,19101,19431,19816,19921,19957,19998,20031,20259,20571,20608,20564,20275,20035,19920,20031,19993,20276,20375,20538,20788,20256,20277,20590,21157
87,"        Federal",4205,4162,4171,4134,4196,4253,4210,4165,4155,4207,4284,4339,4400,4340,4279,4201,4135,4137,4167,4149,4165,4219,4290,4322,4341,4295
88,"            General government",3417,3370,3391,3356,3409,3486,3474,3439,3437,3444,3525,3660,3780,3749,3705,3654,3590,3576,3574,3588,3608,3666,3745,3748,3728,3753
89,"                Civilian",1846,1821,1844,1808,1832,1884,1882,1889,1890,1902,1959,2075,2181,2158,2140,2108,2091,2102,2114,2121,2132,2167,2240,2242,2257,2314
90,"                Military8",1571,1549,1547,1548,1577,1602,1592,1550,1547,1542,1566,1585,1599,1591,1565,1546,1499,1474,1460,1467,1476,1499,1505,1507,1471,1438
91,"            Government enterprises",788,792,780,778,787,767,736,726,718,763,759,679,620,591,574,547,545,562,592,562,557,552,545,574,613,542
92,"        State and local",14496,14682,14930,15297,15620,15668,15747,15833,15876,16052,16287,16269,16164,15935,15756,15719,15896,15856,16109,16226,16373,16569,15966,15955,16249,16862
93,"            General government",13548,13726,13961,14279,14550,14590,14650,14731,14770,14937,15159,15145,15038,14828,14668,14657,14812,14790,15025,15139,15273,15459,14907,14898,15162,15703
94,"                Education",7234,7372,7572,7742,7925,7959,7954,8038,8049,8138,8250,8266,8178,8123,8024,8166,8252,8250,8392,8466,8530,8648,8223,8205,8349,8496
95,"                Other9",6314,6354,6389,6537,6625,6631,6696,6693,6721,6799,6909,6879,6860,6705,6644,6491,6560,6540,6633,6673,6743,6811,6684,6693,6813,7207
96,"            Government enterprises9",948,956,969,1018,1070,1078,1097,1102,1106,1115,1128,1124,1126,1107,1088,1062,1084,1066,1084,1087,1100,1110,1059,1057,1087,1159
97,Rest of the world10,-401,-441,-396,-541,-549,-592,-628,-665,-686,-725,-1100,-802,-822,-826,-979,-1066,-1196,-1255,-1404,-1463,-1436,-1485,-977,-1388,-1867,-2082

Legend/Footnotes
1. Full-time equivalent employees equals the number of employees on full-time schedules plus the number of employees on part-time schedules converted to a full-time basis. The number of full-time equivalent employees in each industry is the product of the total number of employees and the ratio of average weekly hours per employee for all employees to the average weekly hours per employee on full-time schedules.
2. NAICS crop and animal production.
"3. Consists of furniture and home furnishings stores; electronics and appliance stores; building material and garden equipment and supplies dealers; health and personal care stores; gasoline stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music stores; miscellaneous store retailers; and nonstore retailers."
4. Consists of scenic and sightseeing transportation; transportation support activities; and couriers and messengers.
"5. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights."
"6. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural, engineering, and related services; specialized design services; management, scientific, and technical consulting services; scientific research and development services; advertising and related services; and other professional, scientific, and technical services."
"7. Consists of offices of bank and other holding companies and of corporate, subsidiary, and regional managing offices."
8. Includes Coast Guard.
9. Employees of Indian tribal governments are classified in state and local government.
10. Includes estimates of foreign professional workers and undocumented Mexican migratory workers employed temporarily in the United States.
Note. Estimates in this table are based on the 2017 North American Industry Classification System (NAICS).
