1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1994:Q3,159733,62367,49879,9158,20516,6797,14174,-766,39922,27434,98784,47325,34045,4694,5203,3382,16723,-3,0,15437,-0,1287,3,-34737,0,-34736,-0,-1418,5836766
1994:Q4,165953,105019,66511,14508,24426,7124,20847,-395,128320,89812,62661,43340,35045,-4255,7650,4901,-782,-4,-11805,-2808,14213,-382,4,-20103,-11548,-8556,1,-1727,6002719
1995:Q1,137854,14588,69839,10899,27852,7797,23683,-393,20326,75576,125012,34888,9985,5559,12271,7073,35803,11,0,33301,0,2502,-11,-54321,0,-54320,-1,-1746,6140573
1995:Q2,174631,55210,70874,17414,27101,8408,17825,128,83101,98765,121657,21193,112,17994,2069,1018,37853,16,0,35332,0,2521,-16,-62612,0,-62612,-0,-2237,6315204
1995:Q3,157560,29623,67013,15858,26017,9106,9389,6643,94178,131568,136658,38489,26985,8023,6643,-3162,34517,1,0,31764,0,2753,-1,-63652,0,-63653,1,-8721,6472764
1995:Q4,273135,43202,52099,10232,27054,9371,5885,-442,149797,158694,232240,31579,31245,3224,-3977,1088,164856,10,-5892,25203,143362,2183,-9,-35804,0,-35802,-1,-2307,6745899
1996:Q1,112267,33000,58265,19292,27624,10571,842,-65,108397,133661,82269,17990,15666,-3353,5402,276,25933,-20,0,23606,1,2327,20,-38346,0,-38346,1,-3002,6858166
1996:Q2,96714,42825,48870,4330,28418,11240,5054,-172,98517,104563,57174,-796,1574,-5878,3553,-45,22269,-7,0,20321,1,1947,7,-35702,0,-35703,-0,-3285,6954880
1996:Q3,87040,48114,66722,16474,31098,11893,7184,74,96217,114825,42845,-5624,-13786,6259,697,1207,14915,0,0,13659,1,1255,0,-33554,0,-33555,0,-3919,7041920
1996:Q4,475116,47636,71091,18739,31050,12352,5370,3580,89764,113219,435294,202032,193563,4434,-1623,5659,178498,11,1,44308,131908,2282,-11,-54764,-2,-54761,-1,-7814,7517036
1997:Q1,270671,15338,62404,10091,31201,14170,6851,91,51900,98966,258208,252531,254273,-7778,7168,-1131,13715,-18,0,13752,-1,-37,19,8038,0,8038,-0,-2876,7787707
1997:Q2,242998,-17194,76285,5660,33034,14799,16106,6686,-15086,78394,269318,8366,12251,-5291,5949,-4542,117106,15,0,110836,-1,6271,-16,-143846,0,-143845,0,-9125,8030706
1997:Q3,301193,44276,91842,29117,36727,15143,10063,791,75247,122813,259801,115007,113002,-2683,3767,921,59961,21,0,55426,-1,4536,-21,-84833,0,-84832,0,-2884,8331898
1997:Q4,522421,31062,85540,22354,33157,14693,15044,293,45858,100336,493398,321816,335532,-9423,-4257,-36,170327,10,-8,21256,149653,-572,-11,-1255,-1148,-107,0,-2039,8854320
1998:Q1,250446,-47320,89009,19721,35064,14611,19254,359,72988,209316,317244,55727,77195,-15039,2283,-8712,130506,2,0,124001,-1,6505,-2,-131011,0,-131011,-0,-19478,9104766
1998:Q2,171133,9036,76792,19543,34687,14530,5660,2372,139113,206870,183688,165866,178204,-9504,-1260,-1574,31135,9,0,31226,-1,-91,-8,13314,0,13314,0,-21591,9275898
1998:Q3,-170155,105213,83096,25752,33581,14997,7083,1683,177079,154962,-254364,162,8075,-4788,536,-3661,-125914,15,0,-117096,-1,-8818,-15,128612,0,128612,0,-21004,9105744
1998:Q4,737473,16821,78614,17172,36558,15572,9409,-97,354296,416089,739977,86553,82799,-4880,9552,-917,443012,-10,-37,218830,213239,10981,10,-210412,-1,-210411,-1,-19325,9843216
1999:Q1,-35048,25311,95373,29379,38350,16066,12018,-439,217204,287267,-50773,-149083,-155276,-658,3818,3033,62597,-20,0,60578,-0,2018,21,-35713,0,-35714,1,-9585,9808169
1999:Q2,269695,86680,91852,27538,40236,17350,7040,-312,236539,241710,192701,5961,1153,-10168,8119,6857,105179,-27,0,99137,-0,6042,27,-81560,0,-81560,0,-9686,10077863
1999:Q3,143462,115229,70911,-4054,41743,18306,14582,334,321036,276718,39891,236353,238446,-11058,212,8754,-115096,-12,0,-111256,-0,-3839,11,81366,0,81367,-0,-11658,10221326
1999:Q4,883096,22417,109135,24863,38580,18614,27508,-430,183673,270391,879592,86346,64442,2109,15389,4407,592136,-14,-615,247030,330104,15617,14,-201110,0,-201109,-1,-18914,11104421
2000:Q1,-24782,62488,102583,28055,42161,19334,13390,-357,238796,278890,-82340,-212479,-229241,2719,6428,7615,46893,-20,0,41423,-1,5472,19,-83245,0,-83245,-0,-4930,11079639
2000:Q2,341475,115966,114728,26115,45385,19027,24521,-319,388031,386793,230705,327879,322452,-299,6794,-1067,-65506,-10,0,-60888,-1,-4617,10,31669,0,31668,0,-5196,11421114
2000:Q3,434388,110714,110852,32194,44414,19000,15404,-161,365418,365557,329257,337891,326833,1441,6547,3071,-24496,21,0,-24541,-1,44,-20,-15862,0,-15862,0,-5583,11855502
2000:Q4,242884,288187,96780,21315,42366,19626,13810,-337,491811,300403,-439667,100684,101827,-9454,3588,4723,-433612,21,-1,-154441,-268648,-10521,-22,106740,1,106741,-1,394365,12098386
2001:Q1,-327693,124185,81188,28754,37274,17861,-3321,620,203267,160270,-429281,-83049,-58369,-21332,-1918,-1428,-220949,42,0,-208078,1,-12871,-42,125283,0,125282,1,-22597,11770694
2001:Q2,164905,-13679,66968,24120,29113,15881,-1748,-398,24230,104876,200475,46161,61916,-3478,-3331,-8946,85527,-10,0,80488,1,5039,10,-68786,0,-68787,0,-21891,11935598
2001:Q3,-204708,213474,61341,36039,23197,13867,-11270,-491,183120,30987,-388231,18921,41221,-6478,-7436,-8387,-236338,28,0,-222162,1,-14177,-28,170814,0,170815,-0,-29951,11730890
2001:Q4,-526593,-43909,32789,28188,19527,11667,-25974,-618,-42048,34651,-463319,-270082,-262513,-680,-935,-5954,-328406,-10,-3543,124904,-458391,8624,11,-135169,0,-135169,0,-19365,11204297
2002:Q1,109984,-15899,35010,13681,14454,10139,-2539,-725,34833,85742,123899,128409,150871,-8235,-1926,-12300,-577,-23,0,-773,-1,198,23,3933,0,3933,-1,1984,11314282
2002:Q2,-164629,173159,30825,19714,11671,9839,-9654,-746,174512,32179,-339713,-42137,-60241,-5291,-1371,24766,-185728,20,0,-176520,-1,-9207,-19,111847,0,111847,0,1925,11149653
2002:Q3,-71597,185740,46590,5599,10628,9639,21337,-614,134566,-4584,-259051,77494,102074,-26683,3078,-975,-207509,36,0,-195445,-1,-12063,-36,129035,0,129035,0,1714,11078056
2002:Q4,-51463,-37651,33074,14372,8915,8668,1676,-556,33769,104493,-15391,225097,210918,851,-4094,17422,-342622,16,-23,72238,-418044,3206,-15,-102134,-7075,-95058,-1,1579,11026593
2003:Q1,262406,117031,68642,17056,9014,9044,34088,-560,48280,-110,140412,213174,233057,-21119,-261,1496,-37953,7,0,-35398,1,-2554,-8,34810,0,34809,1,4963,11288999
2003:Q2,241503,-52671,19455,13853,12900,9561,-16435,-424,-90310,-18184,288993,-39161,-43164,-12666,8562,8106,147025,24,0,137419,1,9605,-24,-181129,0,-181129,-0,5182,11530502
2003:Q3,-49739,12623,42202,10903,15470,10471,5897,-538,-7548,22031,-68015,-157260,-144705,-19790,8453,-1217,25560,-12,0,22693,1,2867,12,-63685,0,-63684,-0,5653,11480763
2003:Q4,846762,-5350,30968,621,16921,10637,3457,-668,-24100,12218,845976,126253,99935,5811,4702,15805,580293,-10,4181,118970,448891,8252,9,-139430,-816,-138616,1,6137,12327525
2004:Q1,507352,90730,74080,15674,14283,9906,34783,-567,172759,156110,437031,374527,359050,13344,2880,-746,17572,17,1,14221,-1,3351,-17,-44933,0,-44933,-0,-20409,12834877
2004:Q2,522540,115346,57916,12460,18593,9769,17577,-483,180249,122819,428082,396694,345728,31197,1615,18155,15132,-56,1,14582,-1,549,57,-16257,0,-16257,0,-20888,13357418
2004:Q3,467102,118509,70261,11933,21552,11169,26130,-522,186403,138156,378420,416195,405334,3591,-170,7440,-27486,31,1,-26217,-1,-1269,-31,10290,0,10290,0,-29826,13824520
2004:Q4,549574,47536,63934,15094,24809,11895,12577,-440,182067,198465,523762,54012,8365,25386,6478,13785,352486,-7,-7218,97337,253057,9310,7,-117264,-2653,-114611,-1,-21724,14374094
2005:Q1,319117,70664,108620,17891,25883,13670,51208,-33,215457,253412,253700,288448,262155,28245,5128,-7079,-33044,-34,-0,-31380,0,-1663,34,1704,1,1704,-0,-5247,14693211
2005:Q2,291433,57036,62782,20453,28339,14707,-749,33,251536,257281,239150,173369,142393,10437,9529,11012,11821,14,-0,10345,0,1476,-14,-53960,1,-53961,1,-4753,14984644
2005:Q3,558267,125509,101145,23833,31500,15340,29690,782,228297,203934,457591,342964,346458,-14312,4879,5939,39970,-18,-0,34664,0,5307,17,-74658,1,-74659,-0,-24833,15542911
2005:Q4,652764,112152,75973,23321,31681,13963,7006,2,239625,203445,546101,286143,248266,-420,10236,28061,223581,-12,9977,17270,193315,3019,12,-36378,12705,-49083,-0,-5489,16195675
2006:Q1,538489,87208,119659,19244,36933,14530,48840,112,118929,151380,530888,246713,255426,10898,8691,-28301,238003,-70,12774,39476,179557,6196,70,-46172,11659,-57831,0,-79607,16734164
2006:Q2,415394,119555,107207,29123,37595,15238,25116,135,242326,229978,308855,392017,360203,9453,1451,20910,-44534,-46,1,-19854,-22181,-2499,46,38628,-1,38628,1,-13016,17149558
2006:Q3,545828,83950,111320,25461,37802,17087,30623,348,121525,148895,475489,264940,240355,29033,2269,-6716,147657,71,1,50155,93800,3701,-71,-62892,0,-62892,-0,-13611,17695386
2006:Q4,692988,59057,87381,28767,36269,18293,-8608,12661,140797,169121,660240,271248,219096,25444,7233,19476,303183,-8,-5398,59516,241286,7779,8,-85809,-8082,-77728,-0,-26310,18388374
2007:Q1,458432,76791,113982,21905,35965,17789,38426,-102,230300,267490,398100,282686,256925,18573,14900,-7712,95098,3,12804,1741,77742,2810,-2,-20316,-2494,-17822,0,-16459,18846806
2007:Q2,833847,75007,121307,57935,35956,17538,9772,107,265410,311710,775356,433602,382850,14717,8867,27169,268253,-64,0,56564,203382,8309,63,-73501,69,-73569,-1,-16516,19680652
2007:Q3,366359,54410,100553,26992,35105,16792,22171,-506,240662,286804,327703,186060,194065,-8077,4723,-4651,111857,14,-58,16185,92651,3077,-13,-29787,-90,-29697,1,-15755,20047011
2007:Q4,-119479,162979,95234,37934,35549,18024,3063,666,314622,246877,-265683,-70926,-108581,-13769,3799,47626,-121304,12,8328,-40737,-84410,-4485,-12,73453,23785,49667,0,-16776,19927532
2008:Q1,-1522266,-40835,165362,44369,34216,18955,65804,2019,-88220,117978,-1474411,-776861,-765887,-19634,10537,-1878,-550913,-39,4709,-102495,-440376,-12750,38,146636,5270,141368,-1,-7020,18405266
2008:Q2,-150368,-84432,121623,48406,32078,19128,17182,4830,-70480,135575,-55839,190297,129214,-17583,5346,73322,-197892,-49,5652,-31890,-170138,-1516,49,48244,10131,38113,1,-10097,18254898
2008:Q3,-1274785,-36216,96800,41793,26835,15727,10607,1838,-109021,23995,-1225484,-234970,-230502,29000,6000,-39469,-844482,-196,5121,-89778,-744294,-15530,196,146032,-1235,147267,-1,-13086,16980113
2008:Q4,-1744110,-235853,-44022,8530,10327,12473,-84566,9214,-63466,128365,-1493240,-280666,-272422,91500,-8815,-90928,-947709,27,2005,-219224,-705103,-25387,-27,264865,212,264653,0,-15017,15236003
2009:Q1,-827940,181291,-8479,24195,-5693,7497,-40846,6369,14295,-175475,-1006049,-556403,-528874,10152,-10726,-26956,-348139,-40,2786,-92353,-252005,-6567,40,101507,-6783,108291,-0,-3182,14408063
2009:Q2,-717447,1294,-58446,6704,-10769,9155,-64182,645,923,-58818,-721277,-1401656,-1424402,-894,-10208,33848,538209,454,968,103330,421874,12037,-454,-142171,1247,-143417,0,2536,13690617
2009:Q3,650037,79582,-4719,15217,-8330,9916,-21367,-155,43837,-40465,567128,-194093,-177549,-13848,3831,-6527,596243,334,-1,113683,468947,13614,-334,-164977,-0,-164977,1,3327,14340654
2009:Q4,-77267,207114,15278,12463,-3783,13248,-6403,-247,178352,-13484,-287792,-478997,-495913,-26827,15171,28573,144186,-18,-1672,46396,98107,1354,18,-47019,2,-47020,-0,3411,14263387
2010:Q1,330638,76748,22935,-15357,3644,11170,23801,-323,110723,56910,295607,188173,210840,-35427,1262,11496,52256,57,-6890,42055,12683,4408,-56,-55179,7825,-63004,0,-41717,14594025
2010:Q2,40264,271830,139458,108351,12045,10834,8309,-81,199021,66649,-188995,527603,502531,10483,11614,2977,-596400,89,374,-105826,-478560,-12388,-89,120198,-74,120273,-1,-42571,14634289
2010:Q3,578561,34858,55289,-27163,19765,12144,50765,-222,129242,149673,586747,-45538,-64788,23876,-3376,-1251,503154,144,-0,83054,405588,14512,-144,-129131,419,-129550,1,-43044,15212850
2010:Q4,-1202512,140313,49421,-4746,21840,13627,19154,-454,115574,24682,594167,175265,95819,22339,14066,43040,311874,-3563,11092,86223,208839,9114,170,-107028,473,-107501,-0,-1936991,14010338
2011:Q1,603146,74928,131103,22748,24327,13927,70531,-429,115322,171498,543933,253303,217315,9726,18445,7818,210926,-716,-9621,49732,164392,7101,38,-79704,-8579,-71125,1,-15715,14613484
2011:Q2,-45211,128310,59270,5493,25758,14368,13959,-307,161800,92760,-157627,-73117,-143978,25465,10718,34679,-86890,1728,1453,-3810,-86497,276,-39,-2379,9,-2388,-0,-15894,14568273
2011:Q3,-1109344,143868,82186,4250,33458,15139,29416,-76,183781,122099,-1237029,-87189,-71460,7682,4666,-28077,-958318,3786,-2489,-139758,-798458,-21357,-42,191522,-144,191666,-0,-16182,13458929
2011:Q4,528484,-305974,70785,23574,35795,16048,-4429,-203,-84200,292558,850570,469485,438808,16905,-2759,16531,258600,250,1041,93783,155488,8057,-19,-122485,-3720,-118766,1,-16113,13987413
2012:Q1,476393,-97333,133717,23975,39108,14975,55721,-62,10283,241333,583663,8750,5349,7055,14263,-17917,409957,-824,9837,112948,273036,15003,-43,-164956,-19062,-145894,-0,-9937,14463806
2012:Q2,-198628,202953,71871,20685,41979,14848,-5507,-134,320098,189016,-390211,-9643,-15629,-5654,5664,5977,-340574,1279,13077,-34422,-315212,-5242,-54,39995,-120,40115,0,-11369,14265179
2012:Q3,516389,-45621,125238,18056,39078,13935,54275,-105,72351,243210,574911,206847,193839,8239,8353,-3583,288884,491,-99,57991,222709,7910,-118,-79181,363,-79544,-1,-12901,14781568
2012:Q4,36584,-213439,57447,22935,39405,14074,-19513,548,-81326,189560,272169,179299,150875,9770,-10318,28973,92239,-535,-127,-10628,102065,1439,26,-630,-5856,5226,1,-22146,14818152
2013:Q1,369633,33026,103768,14736,39091,16088,33645,208,117099,187841,436563,81252,80166,-3259,-4503,8848,230886,-605,-1957,104289,119706,9385,68,-124426,516,-124942,-1,-99956,15187784
2013:Q2,196560,-43782,49548,12240,34733,14370,-12263,468,81708,175038,343117,456793,428514,-6696,12726,22249,-114190,-2442,633,27109,-138680,-985,175,-514,68,-582,-0,-102775,15384344
2013:Q3,1013988,104852,134214,30990,33334,15970,53285,634,296851,326213,1014636,508720,527749,-2054,11899,-28874,425662,-664,639,55133,361445,9092,17,-80253,-973,-79280,0,-105500,16398332
2013:Q4,632725,124274,79049,26060,40346,17213,-4636,66,232146,186922,615940,102684,60357,-13774,22719,33382,392841,-861,-360,122450,261219,10376,16,-120416,171,-120587,0,-107490,17031057
2014:Q1,-72694,-23487,149612,34157,42445,18020,54882,109,44479,217579,-42672,-158634,-162575,-8799,12428,311,74406,1233,2157,17641,50374,3079,-79,-41557,-8256,-33301,0,-6536,16958362
2014:Q2,836043,48356,103691,33905,48461,20459,676,190,167894,223230,793816,471635,444925,-379,-965,28054,250814,916,4458,65075,173287,7149,-71,-71367,625,-71992,0,-6129,17794405
2014:Q3,-81345,107023,153764,34668,53105,21521,43146,1324,263929,310669,-178094,140576,180600,-7053,6002,-38973,-301902,327,1,8986,-307716,-3558,59,16769,-89,16859,-0,-10274,17713060
2014:Q4,31118,-219813,76048,30736,49247,21943,-25842,-36,209845,505706,257880,288590,294070,-1278,3097,-7300,-95959,899,0,64950,-163676,1876,-8,-65249,-564,-64685,-0,-6949,17744178
2015:Q1,541230,14802,135704,28405,48268,19065,40108,-142,196458,317360,525015,423892,461660,-9423,20231,-48575,67899,654,-4176,6784,59875,4823,-61,-33224,-2822,-30402,1,1413,18285408
2015:Q2,232742,106460,132114,23092,46311,17628,15046,30039,473714,499369,156210,234753,217331,-14476,7229,24669,-54587,-1635,3247,-3583,-51997,-858,239,23955,2779,21176,-0,-29928,18518150
2015:Q3,-649987,223305,134414,30857,46683,18313,38740,-178,510737,421845,-872423,-84107,-3234,-24485,-10018,-46370,-675867,629,3630,-106487,-557399,-16274,35,112450,1136,111314,0,-869,17868163
2015:Q4,-14582,-158961,57776,26192,42910,21083,-32163,-246,-37635,179102,146341,-107230,-83826,-17100,-25492,19188,195896,-505,1013,91575,97853,5873,87,-57674,871,-58545,0,-1961,17853581
2016:Q1,-252581,13862,134513,43085,40766,24577,26361,-276,53375,174026,-251551,-284223,-234632,-12313,-14796,-22482,-46563,1395,-10512,11595,-49387,508,-162,-79236,-42599,-36637,-0,-14893,17601000
2016:Q2,521908,158382,91868,18492,35910,28245,1392,7829,431189,364674,386365,429144,376112,-10102,18889,44245,-84631,1748,5,29014,-119526,4237,-108,-41851,4311,-46162,0,-22839,18122908
2016:Q3,851219,138581,105882,19034,34902,29342,22556,48,289188,256488,727534,384664,413135,-5404,278,-23345,290088,-588,-4037,52021,233989,8710,-7,-52783,2177,-54959,-1,-14896,18974127
2016:Q4,96783,-53739,66480,21501,35758,28491,-18932,-338,186580,306798,169457,137642,56045,-972,25632,56937,25088,-3240,-21,53434,-24997,-296,208,-6727,-2214,-4513,0,-18935,19070910
2017:Q1,396838,155311,117352,34902,37511,28134,17120,-314,19367,-18592,260799,-207852,-241040,14607,7679,10903,397350,159,9156,94789,281714,11549,-17,-71300,7837,-79137,0,-19272,19467748
2017:Q2,1270782,146214,91771,17700,41133,25949,7374,-385,132547,78104,1144295,869424,848840,3302,20686,-3404,227060,685,-158,45887,173638,7087,-79,-47811,1460,-49271,0,-19726,20738530
2017:Q3,432856,258469,148578,21857,43358,26362,55687,1315,425540,315649,216027,-231920,-213016,2498,17395,-38797,385986,44,1,71683,305016,9255,-13,-61960,-157,-61802,-1,-41640,21171386
2017:Q4,782633,155835,93603,19490,47892,27919,-1249,-450,1393,-60839,647508,265240,198801,2385,17422,46632,306499,-280,-142,113846,184378,8696,1,-75769,4105,-79874,0,-20710,21954019
2018:Q1,35992,162267,162438,36101,50068,30688,46148,-568,296769,296939,-114645,216309,181730,8081,24539,1960,-284417,-2154,-589,-23870,-256089,-1954,240,46538,5639,40899,-0,-11630,21990011
2018:Q2,72616,33637,125568,38166,48619,34084,5175,-476,192310,284241,50464,12762,-29922,11057,12675,18952,7155,-549,-125,56211,-51738,3200,156,-30546,902,-31449,1,-11485,22062627
2018:Q3,241839,-68608,177253,39612,46745,33825,57638,-567,172785,418646,323401,91814,80737,34274,1919,-25117,143427,-1010,19,141140,-5477,8753,2,-88160,1169,-89329,-0,-12954,22304466
2018:Q4,-1154396,-2277,114903,39641,45169,34465,-4960,588,193210,310391,-1536293,-128580,-153520,4002,-7301,28238,-1174286,1299,-50,-292223,-851634,-31787,109,233427,1431,231996,-0,384175,21150070
2019:Q1,1231671,-152397,170541,35248,41837,33149,59632,674,371125,694063,1461267,458875,448872,16328,21546,-27871,785740,1926,-18236,233867,542757,25837,-411,-216652,-6715,-209937,-0,-77199,22381741
2019:Q2,1165037,319292,136215,61420,39550,33620,2058,-433,664917,481840,888692,574590,545275,9539,15318,4459,231946,2541,-2124,76745,146773,8332,-321,-82156,900,-83056,0,-42947,23546778
2019:Q3,152458,309735,162968,60425,33787,34090,35012,-346,717473,570706,-113954,-68509,-38288,-3855,507,-26873,-75153,1596,-2020,25035,-99891,328,-200,-29708,-2781,-26927,-0,-43323,23699237
2019:Q4,654699,174904,87003,49017,28171,35391,-25023,-553,652838,564936,523197,-174645,-200548,-13901,-9016,48819,583147,-1009,-1804,182030,387770,16181,-21,-114695,-78,-114617,-0,-43402,24353935
2020:Q1,-1730200,194470,70256,10191,16324,36108,8128,-494,529872,405658,-2092432,231329,261368,21729,21796,-73565,-1993422,5096,-6104,-457935,-1485608,-49424,553,330340,1787,328552,0,167763,22623736
2020:Q2,940835,-277752,-55219,-630,-5491,30981,-79437,-641,-212145,10389,1225660,-234972,-309479,27548,50620,-3661,1153803,206,0,365606,749211,39728,-948,-306830,-2032,-304798,-1,-7073,23564571
2020:Q3,1238050,428152,83905,-14059,13047,33808,49290,1820,184917,-159329,819419,260087,213591,1269,14948,30279,445338,-1303,-1,183458,245778,17456,-50,-113994,2331,-116325,1,-9521,24802620
2020:Q4,1796788,24256,78836,3365,19986,38476,17647,-638,-66412,-11831,1779580,433220,321531,-13885,51708,73865,1120510,-1517,-1,270317,822393,29554,-237,-225851,-7866,-217985,-0,-7048,26599409
2021:Q1,954366,185919,171738,31367,25203,41681,69381,4106,258239,244058,796529,272827,132889,82970,3893,53076,492350,-5526,-11705,171148,326695,11000,738,-31352,1322,-32674,0,-28082,27553774
2021:Q2,1412695,148136,123200,31618,27457,44890,19793,-558,239785,214849,1289207,457776,349148,12197,13740,82692,665299,1481,-2,219880,423557,20726,-344,-166133,-10267,-155866,0,-24649,28966469
2021:Q3,1774964,612025,185352,11424,21609,46032,102394,3894,556995,130322,1209957,1351772,1211265,122070,24865,-6427,-120887,-885,-9172,6742,-115102,-2665,195,20928,522,20406,0,-47018,30741433
2021:Q4,1527225,42231,185228,33846,20548,49480,81948,-595,286627,429623,1530479,773580,549986,123502,17330,82762,632242,-564,-1347,305307,313783,14890,172,-124658,1662,-126320,-0,-45486,32268657
2022:Q1,-908748,171093,357507,44526,28073,53227,151018,80662,658085,844499,-1109016,-151051,-306797,88394,34341,33012,-780753,-9639,-2156,-159031,-585316,-26279,1668,177212,-21949,199161,0,29175,31359909
2022:Q2,-1371275,193382,178657,20450,28678,58128,67499,3901,670060,655335,-1685830,443155,212113,108243,31149,91650,-1793989,-6653,14899,-484583,-1270147,-49291,1786,334996,-5313,340310,-1,121173,29988634
2022:Q3,-594926,120069,240546,54803,31989,59376,72172,22207,725944,846421,-790672,122464,116225,74521,13434,-81717,-776237,-7380,19241,-128200,-642858,-18190,1150,136899,8140,128759,0,75678,29393708
2022:Q4,1015991,8657,119263,43256,33329,58947,-15953,-315,629476,740082,895566,-126406,-194985,69693,7459,-8574,918405,1682,2149,160736,736694,17635,-491,-103567,1211,-104778,-0,111768,30409700
2023:Q1,869649,-31258,182049,54028,33951,58465,36079,-474,267811,481118,924278,79748,18458,99185,22533,-60428,695085,3976,-6877,194016,488524,15951,-505,-149444,1610,-151054,0,-23371,31279349
2023:Q2,1003621,101891,118434,48967,38888,57663,-26577,-506,373469,390012,925497,454081,440718,-5856,21310,-2091,368834,-2372,-3432,213419,147523,13511,184,-102583,-4886,-97697,-0,-23767,32282969
2023:Q3,-745399,247532,205233,69567,38102,56519,40628,417,464202,421904,-967813,-292420,-328847,31902,13725,-9200,-596269,-6224,-1337,-100772,-477161,-11410,635,79124,-3744,82868,-0,-25118,31537570
2023:Q4,285607,132686,111889,62538,36746,56158,-43088,-465,352555,331758,177584,-1030900,-1096306,10129,18664,36612,991746,9759,1,296698,657197,29341,-1250,-216739,3456,-220195,0,-24663,31823178
2024:Q1,495270,-77489,201760,62037,36462,59220,44360,-319,-317054,-37806,572440,-346614,-411461,62133,23874,-21160,788139,-2133,11643,295989,462349,20143,148,-130915,7072,-137987,-0,319,32318447
2024:Q2,353193,101977,142470,47626,40134,58510,-3706,-95,67737,108230,245388,134354,72443,28071,26879,6961,77342,-482,-2584,122447,-46337,4146,152,-33693,5160,-38855,1,5828,32671640
2024:Q3,727594,143884,195527,53478,45038,60069,37288,-346,160322,211965,583365,-152510,-206502,41119,31934,-19061,588772,6230,-7114,174306,396526,19492,-668,-147104,-2630,-144473,-1,345,33399234
2024:Q4,-41459,303423,140267,68139,36203,58204,-21850,-429,460871,297715,-345311,195909,93329,16492,38624,47464,-536730,-6308,1,66761,-591311,-6398,526,4489,-100,4589,-0,429,33357775
2025:Q1,294185,188410,253047,51105,49465,58483,94344,-350,196756,261393,105424,-120937,-147846,12017,23584,-8691,296882,3407,-1,-146613,447379,-7102,-188,70521,1,70522,0,351,33651960
