date,FA893065603.Q,FA183165603.Q,FA233165605.Q,FA893065603.Q,FA153065605.Q,FA113065603.Q,FA313065605.Q,FA213065603.Q,FA763065633.Q,FA753065603.Q,FA473065603.Q,FA543065633.Q,FA223065643.Q,FA403065605.Q,FA413065605.Q
1960:Q1,680,88,592,680,204,0,52,12,12,0,0,128,12,256,4
1960:Q2,1152,56,1096,1152,428,0,12,8,220,0,0,212,12,252,8
1960:Q3,552,24,528,552,188,0,72,12,-12,0,0,136,12,152,-8
1960:Q4,564,48,516,564,172,0,56,16,20,0,0,144,12,156,-12
1961:Q1,900,32,868,900,296,0,40,20,116,0,0,92,12,328,-4
1961:Q2,1496,72,1424,1496,600,0,92,24,156,0,0,296,12,328,-12
1961:Q3,1200,80,1120,1200,252,0,240,28,96,0,0,196,16,200,172
1961:Q4,720,64,656,720,-96,0,196,32,28,0,0,168,8,200,184
1962:Q1,1220,40,1180,1220,396,0,-40,40,276,0,0,168,16,280,84
1962:Q2,1808,60,1748,1808,692,0,-52,52,444,0,0,296,4,280,92
1962:Q3,1080,68,1012,1080,196,0,72,48,204,0,0,240,8,168,144
1962:Q4,996,120,876,996,276,0,-32,24,176,0,0,216,12,168,156
1963:Q1,1472,48,1424,1472,236,0,96,4,420,0,0,256,12,292,156
1963:Q2,2360,144,2216,2360,940,0,0,-16,456,0,0,512,12,292,164
1963:Q3,1688,128,1560,1688,668,0,48,-20,244,0,0,484,4,220,40
1963:Q4,996,52,944,996,284,0,28,-20,100,0,0,316,8,224,56
1964:Q1,2048,176,1872,2048,560,0,104,0,340,0,0,516,20,416,92
1964:Q2,2936,152,2784,2936,1076,0,72,4,584,0,0,660,20,412,108
1964:Q3,1872,76,1796,1872,716,0,-4,4,248,0,0,444,16,404,44
1964:Q4,1624,56,1568,1624,680,0,-16,-4,72,0,0,428,16,404,44
1965:Q1,2128,140,1988,2128,492,0,92,0,200,0,0,484,24,680,156
1965:Q2,2840,172,2668,2840,832,0,104,0,424,0,0,612,28,680,160
1965:Q3,2052,120,1932,2052,744,0,60,0,236,0,0,440,24,448,100
1965:Q4,1960,68,1892,1960,552,0,64,0,232,0,0,540,24,444,104
1966:Q1,2040,136,1904,2040,84,0,48,4,308,0,0,580,28,888,100
1966:Q2,2496,104,2392,2496,568,0,-52,12,160,0,0,788,32,888,100
1966:Q3,1816,100,1716,1816,456,0,108,8,324,0,0,248,32,464,176
1966:Q4,1108,132,976,1108,128,0,236,4,16,0,0,52,24,468,180
1967:Q1,1552,92,1460,1552,684,0,-232,0,40,0,0,136,32,692,200
1967:Q2,2212,192,2020,2212,648,0,-72,-12,304,0,0,412,32,692,208
1967:Q3,2212,172,2040,2212,756,0,80,-8,276,0,0,344,8,608,148
1967:Q4,1884,40,1844,1884,516,0,-20,-16,212,0,0,424,8,612,148
1968:Q1,2424,284,2140,2424,820,0,56,12,380,0,0,208,32,736,180
1968:Q2,3056,192,2864,3056,980,0,20,24,660,0,0,440,28,720,184
1968:Q3,1796,76,1720,1796,1104,0,184,28,-96,0,0,176,4,364,32
1968:Q4,1364,36,1328,1364,844,0,188,20,-76,0,0,112,4,248,24
1969:Q1,1880,96,1784,1880,388,0,224,12,496,0,0,-72,12,764,56
1969:Q2,2780,132,2648,2780,428,0,232,0,844,0,0,256,16,960,44
1969:Q3,1640,120,1520,1640,548,0,-224,8,40,0,0,64,332,476,396
1969:Q4,972,168,804,972,1260,0,-228,32,-208,0,0,-368,-72,152,404
1970:Q1,2388,16,2372,2388,1004,0,-204,260,828,0,0,-392,-72,476,488
1970:Q2,1320,100,1220,1320,496,0,168,12,64,0,0,-20,-168,648,120
1970:Q3,1276,156,1120,1276,60,0,-284,24,784,0,0,-12,-40,424,320
1970:Q4,1004,124,880,1004,236,0,-284,36,404,0,0,-72,24,344,316
1971:Q1,1324,128,1196,1324,296,0,-200,16,540,0,0,-416,-76,640,524
1971:Q2,3852,392,3460,3852,1540,0,-224,32,964,0,0,76,-8,928,544
1971:Q3,1316,88,1228,1316,-264,0,-308,56,628,0,0,120,28,752,304
1971:Q4,1064,32,1032,1064,156,0,-308,68,196,0,0,28,-20,600,344
1972:Q1,2860,140,2720,2860,1260,0,-128,40,476,0,0,-264,-44,888,632
1972:Q2,4052,160,3892,4052,1716,0,-196,52,892,0,0,188,0,1164,236
1972:Q3,2984,164,2820,2984,880,0,-12,36,440,0,0,140,28,1260,212
1972:Q4,2024,304,1720,2024,-488,0,-152,48,496,0,0,244,168,1396,312
1973:Q1,4516,112,4404,4516,1532,12,248,16,756,0,0,-140,236,1892,-36
1973:Q2,5884,384,5500,5884,2040,12,-408,16,1080,0,0,376,72,2040,656
1973:Q3,3964,368,3596,3964,824,12,244,56,552,0,0,520,12,1792,-48
1973:Q4,3416,292,3124,3416,612,16,-144,72,256,0,0,516,88,1692,308
1974:Q1,3552,224,3328,3552,1296,0,64,16,660,0,0,12,-4,1404,104
1974:Q2,6496,324,6172,6496,1216,0,616,48,884,0,0,516,-16,3512,-280
1974:Q3,5676,408,5268,5676,1532,0,8,32,716,0,0,476,0,2800,112
1974:Q4,4740,656,4084,4740,1812,-8,236,40,168,0,0,320,-244,2428,-12
1975:Q1,7452,404,7048,7452,1796,8,-96,32,232,0,0,404,-24,4860,240
1975:Q2,6980,644,6336,6980,2272,12,1520,32,540,0,0,580,12,3232,-1220
1975:Q3,2216,444,1772,2216,1112,12,912,56,264,0,0,232,-12,400,-760
1975:Q4,3076,352,2724,3076,1396,20,616,64,252,0,0,488,-944,2036,-852
1976:Q1,3776,576,3200,3776,396,-4,436,72,-72,0,0,248,0,2664,36
1976:Q2,6052,552,5500,6052,1916,0,576,256,40,0,0,760,-4,2812,-304
1976:Q3,6444,472,5972,6444,2008,4,520,80,800,0,0,716,-4,2388,-68
1976:Q4,5964,352,5612,5964,1840,24,728,76,632,0,0,964,0,2244,-544
1977:Q1,7872,788,7084,7872,2304,16,456,16,1108,0,0,880,0,3236,-144
1977:Q2,11832,972,10860,11832,4424,20,956,44,1452,0,0,2004,84,3448,-600
1977:Q3,8112,612,7500,8112,2572,24,1216,24,1024,0,0,1352,-16,2800,-884
1977:Q4,6332,360,5972,6332,1600,48,748,24,536,0,0,1468,28,2436,-556
1978:Q1,8000,764,7236,8000,2328,24,308,100,600,0,0,1416,-4,3044,184
1978:Q2,11172,828,10344,11172,3628,24,1136,76,1236,0,0,2028,-4,3560,-512
1978:Q3,9212,664,8548,9212,2580,24,1480,36,808,0,0,1616,-4,3320,-648
1978:Q4,6848,596,6252,6848,1564,32,376,124,340,0,0,1532,0,3004,-124
1979:Q1,14708,1340,13368,14708,4964,8,2908,200,104,0,0,1656,-4,4672,200
1979:Q2,18004,1684,16320,18004,6280,12,3112,192,560,0,0,2192,0,5580,76
1979:Q3,13592,1164,12428,13592,4356,16,2488,216,212,0,0,1504,20,4744,36
1979:Q4,9688,308,9380,9688,2668,36,788,228,-504,0,0,1224,0,5260,-12
1980:Q1,15308,1872,13436,15308,3840,-12,2820,256,-256,0,0,1160,-4,7484,20
1980:Q2,14212,1180,13032,14212,3016,8,1576,296,-232,0,0,1240,-36,8284,60
1980:Q3,6944,320,6624,6944,132,52,1496,320,116,0,0,300,0,4816,-288
1980:Q4,6464,204,6260,6464,-132,104,1144,156,264,0,0,560,-4,4860,-488
1981:Q1,10440,1180,9260,10440,2024,112,328,152,-336,0,0,68,0,7980,112
1981:Q2,12336,1332,11004,12336,1884,120,1340,120,8,0,0,276,0,8992,-404
1981:Q3,9712,880,8832,9712,1160,152,732,132,-124,0,0,420,0,7368,-128
1981:Q4,6480,84,6396,6480,344,176,28,112,-264,0,0,-196,0,6296,-16
1982:Q1,6888,1036,5852,6888,1296,188,644,16,-36,0,0,-584,0,5848,-484
1982:Q2,5324,448,4876,5324,-1288,152,584,-40,628,0,0,204,0,5156,-72
1982:Q3,3260,84,3176,3260,-52,72,528,-32,224,0,0,-264,0,2888,-104
1982:Q4,856,0,856,856,-48,16,236,44,-612,0,0,-416,0,1644,-8
1983:Q1,916,28,888,916,0,-156,-16,-52,304,0,0,-592,-44,1156,316
1983:Q2,3328,256,3072,3328,-276,-124,960,-56,1548,0,0,-64,-16,1732,-376
1983:Q3,2944,272,2672,2944,272,-44,280,8,904,0,0,340,0,1260,-76
1983:Q4,2452,284,2168,2452,636,8,564,-32,1052,0,0,-56,0,276,4
1984:Q1,-3004,-120,-2884,-3004,-4384,272,348,0,1088,0,0,-688,0,368,-8
1984:Q2,1476,216,1260,1476,-1972,284,676,44,1368,0,0,100,0,1128,-152
1984:Q3,512,20,492,512,-2392,316,-336,32,732,0,0,192,0,896,1072
1984:Q4,-4180,-652,-3528,-4180,-2900,348,1484,24,-28,0,0,-708,0,-1360,-1040
1985:Q1,1200,460,740,1200,2200,124,760,36,512,0,0,-1844,0,-588,0
1985:Q2,-4572,-276,-4296,-4572,-820,76,600,16,1208,0,0,-1864,0,-3960,172
1985:Q3,-11368,-920,-10448,-11368,-4664,-44,736,4,1716,0,0,-1884,0,-6760,-472
1985:Q4,-58588,-4340,-54248,-58588,-25996,-136,444,0,-3792,0,0,-1888,0,-26888,-332
1986:Q1,-9864,-792,-9072,-9864,-4088,-184,-204,712,1004,0,0,-932,0,-6448,276
1986:Q2,-9976,-724,-9252,-9976,-3884,-104,436,32,1016,0,0,-944,0,-6516,-12
1986:Q3,-10084,-644,-9440,-10084,-3680,96,136,32,1028,0,0,-952,0,-6592,-152
1986:Q4,-10084,-560,-9524,-10084,-3524,264,1032,-88,1024,0,0,-952,0,-6592,-1248
1987:Q1,-8164,-788,-7376,-8164,-3184,28,-408,-48,1336,0,0,-1032,0,-4840,-16
1987:Q2,-8256,-704,-7552,-8256,-3388,28,-292,-8,1348,0,0,-1040,0,-4892,-12
1987:Q3,-8348,-496,-7852,-8348,-2892,28,-780,-56,1360,0,0,-1052,0,-4948,-8
1987:Q4,-8344,-160,-8184,-8344,-3204,28,-548,32,1364,0,0,-1052,0,-4948,-16
1988:Q1,-4952,-720,-4232,-4952,-2528,28,-396,-4,672,0,0,-380,0,-2296,-48
1988:Q2,-4956,-392,-4564,-4956,-2468,28,-472,-16,676,0,0,-380,0,-2296,-28
1988:Q3,-5008,-192,-4816,-5008,-2612,28,-396,-4,680,0,0,-380,0,-2320,-4
1988:Q4,-5008,-88,-4920,-5008,-2580,28,-416,-8,680,0,0,-384,0,-2324,-4
1989:Q1,-2036,-264,-1772,-2036,-1204,28,-392,-4,1044,0,0,20,0,-1520,-8
1989:Q2,-2064,-184,-1880,-2064,-1372,28,-240,-12,1060,0,0,24,0,-1544,-8
1989:Q3,-2084,-56,-2028,-2084,-724,28,-908,-8,1068,0,0,20,0,-1556,-4
1989:Q4,-2088,64,-2152,-2088,-929,28,-692,-20,1068,0,0,20,0,-1556,-7
1990:Q1,-1112,-64,-1048,-1112,-55,-196,-1040,-12,540,0,0,528,0,-868,-9
1990:Q2,-1124,52,-1176,-1124,-594,-68,-648,-12,544,0,0,536,0,-876,-6
1990:Q3,-1140,112,-1252,-1140,-761,-52,-508,-12,548,0,0,536,0,-888,-3
1990:Q4,-1136,72,-1208,-1136,-732,-76,-504,-20,552,0,0,540,0,-884,-12
1991:Q1,-180,232,-412,-180,830,-116,-928,-12,920,0,0,-188,0,-680,-6
1991:Q2,-184,180,-364,-184,247,-108,-355,-12,932,0,0,-192,0,-684,-12
1991:Q3,-184,88,-272,-184,312,-104,-448,4,940,0,0,-192,0,-692,-5
1991:Q4,-184,-48,-136,-184,-224,-76,86,-20,944,0,0,-192,0,-692,-11
1992:Q1,428,168,260,428,983,-52,-1077,-16,1200,0,0,-696,0,92,-6
1992:Q2,424,-28,452,424,496,-48,-602,-12,1200,0,0,-700,0,92,-2
1992:Q3,432,20,412,432,274,8,-430,-12,1212,0,0,-708,0,92,-4
1992:Q4,432,272,160,432,286,24,-458,-16,1212,0,0,-704,0,92,-3
1993:Q1,548,-92,640,548,777,-132,-569,-4,744,0,0,192,0,-452,-8
1993:Q2,552,180,372,552,635,-40,-525,-12,752,0,0,200,0,-456,-2
1993:Q3,556,356,200,556,582,-28,-492,-4,760,0,0,200,0,-460,-2
1993:Q4,560,448,112,560,617,-64,-483,-8,760,0,0,200,0,-460,-2
1994:Q1,1456,360,1096,1456,1011,-80,-548,-8,1320,0,0,36,0,-272,-3
1994:Q2,1476,444,1032,1476,575,144,-331,-4,1332,0,0,36,0,-272,-4
1994:Q3,1492,460,1032,1492,577,20,-205,-4,1344,0,0,36,0,-272,-3
1994:Q4,1492,476,1016,1492,508,72,-187,-8,1348,0,0,36,0,-276,-2
1995:Q1,1784,576,1208,1784,612,-64,-420,-8,1164,0,0,100,0,340,61
1995:Q2,1808,632,1176,1808,569,-28,-432,16,1176,0,0,100,0,340,67
1995:Q3,1824,600,1224,1824,673,-44,-508,-8,1192,0,0,104,0,348,67
1995:Q4,1828,600,1228,1828,686,-28,-531,-4,1188,0,0,104,0,344,70
1996:Q1,2684,620,2064,2684,1192,-32,-584,-308,1056,0,0,400,0,968,-8
1996:Q2,2684,604,2080,2684,788,-44,-484,4,1060,0,0,404,0,964,-8
1996:Q3,2716,688,2028,2716,612,-16,-340,8,1068,0,0,404,0,992,-12
1996:Q4,2712,892,1820,2712,648,-16,-404,4,1068,0,0,408,0,1008,-4
1997:Q1,4036,660,3376,4036,840,-56,-476,4,1972,0,0,288,0,1440,24
1997:Q2,4080,856,3224,4080,1512,-24,-1312,4,1996,0,40,292,0,1548,24
1997:Q3,4124,924,3200,4124,1912,-28,-1620,4,2020,0,52,292,0,1468,24
1997:Q4,4128,784,3344,4128,468,-24,-256,0,2016,0,20,296,0,1580,28
1998:Q1,4524,1312,3212,4524,-104,152,-492,0,1952,0,24,1008,0,1892,92
1998:Q2,4572,1248,3324,4572,-392,148,-340,8,1972,0,52,1020,0,2004,100
1998:Q3,4624,1024,3600,4624,140,152,-260,-532,1996,0,36,1032,0,1960,100
1998:Q4,4624,628,3996,4624,-796,152,-264,296,1992,0,28,1032,0,2080,104
1999:Q1,4052,1352,2700,4052,0,-36,-400,44,2352,0,24,680,0,636,752
1999:Q2,4092,928,3164,4092,-1440,-48,88,16,2380,0,64,688,0,1580,764
1999:Q3,4140,808,3332,4140,-192,-44,-508,16,2408,0,64,696,0,948,752
1999:Q4,4140,1040,3100,4140,-1000,-48,-160,108,2404,0,32,696,0,1348,760
2000:Q1,-2468,148,-2616,-2468,-6744,-16,-264,16,2164,0,36,416,0,1596,328
2000:Q2,-2468,384,-2852,-2468,-6908,-12,-92,-32,2168,0,64,416,0,1600,328
2000:Q3,-2496,564,-3060,-2496,-7096,-12,-48,8,2188,0,48,424,0,1668,324
2000:Q4,-2496,688,-3184,-2496,-7016,-12,-76,-44,2192,0,24,420,0,1688,328
2001:Q1,3764,1072,2692,3764,-616,68,-220,-24,1308,0,24,152,0,3048,24
2001:Q2,3808,1264,2544,3808,-1192,64,-84,48,1320,0,56,152,0,3420,24
2001:Q3,3848,1504,2344,3848,-988,68,-196,-88,1336,0,100,152,0,3440,24
2001:Q4,3848,1988,1860,3848,-944,68,-284,32,1336,0,28,152,0,3432,28
2002:Q1,6788,1932,4856,6788,984,-12,-388,-64,1952,0,64,216,0,5324,-1288
2002:Q2,6864,2304,4560,6864,-924,-12,-152,-64,1972,0,64,212,0,7056,-1288
2002:Q3,6936,2468,4468,6936,1104,-12,-204,-92,1992,0,48,220,0,5168,-1288
2002:Q4,6940,2528,4412,6940,908,-16,-264,0,1996,0,44,216,0,5348,-1292
2003:Q1,-12068,-844,-11224,-12068,-1800,4,-440,-4,-3964,0,-8,-1376,0,-4364,-116
2003:Q2,-12204,-720,-11484,-12204,444,4,-260,-2444,-4008,0,68,-1392,0,-4620,4
2003:Q3,-12336,-880,-11456,-12336,-5152,0,116,44,-4052,0,100,-1404,0,-4748,2760
2003:Q4,-12336,-856,-11480,-12336,-1836,4,-460,48,-4052,0,76,-1408,0,-4604,-104
2004:Q1,12396,3036,9360,12396,2512,88,-208,44,5560,0,44,696,0,3808,-148
2004:Q2,12400,3260,9140,12400,2668,92,-508,48,5556,0,136,696,0,3708,4
2004:Q3,12532,3168,9364,12532,2148,92,136,48,5620,0,80,704,0,3716,-12
2004:Q4,12536,3188,9348,12536,2492,88,-236,48,5620,0,84,704,0,3840,-104
2005:Q1,8992,2808,6184,8992,1236,108,80,-20,3228,0,60,572,0,3952,-224
2005:Q2,9088,2720,6368,9088,1168,108,-72,-16,3268,0,104,580,0,3976,-28
2005:Q3,9192,2316,6876,9192,1124,108,40,-20,3300,0,108,588,0,4104,-160
2005:Q4,9188,2076,7112,9188,1192,104,-120,-20,3300,0,96,584,0,4016,36
2006:Q1,3236,1476,1760,3236,-3668,-28,-96,76,2216,0,60,684,0,2176,1816
2006:Q2,3272,1240,2032,3272,-4200,-32,28,80,2236,0,140,692,0,2268,2060
2006:Q3,3304,1348,1956,3304,-7152,-32,-56,80,2264,0,96,700,0,2228,5176
2006:Q4,3308,1212,2096,3308,-2496,-32,104,84,2264,0,56,700,0,2324,304
2007:Q1,4572,1580,2992,4572,-2080,152,-104,48,1712,0,48,740,0,3180,876
2007:Q2,4620,1756,2864,4620,-6692,148,72,44,1728,0,108,744,0,3360,5108
2007:Q3,4672,1760,2912,4672,-1232,148,0,48,1752,0,120,756,0,3324,-244
2007:Q4,4672,2004,2668,4672,-1548,148,248,48,1748,0,96,756,0,3476,-300
2008:Q1,21864,4908,16956,21864,-1104,-60,-152,40,8632,0,104,2228,0,12536,-360
2008:Q2,21864,5392,16472,21864,2040,-56,172,36,8632,0,172,2228,0,9224,-584
2008:Q3,22108,6080,16028,22108,-1976,-60,756,36,8728,0,96,2256,0,10608,1664
2008:Q4,22236,6956,15280,22236,-264,-60,120,40,8872,40,64,2288,0,11336,-200
2009:Q1,11144,3528,7616,11144,8620,-24,-144,112,-6312,-4,16,-1676,0,10780,-224
2009:Q2,11272,4420,6852,11272,8052,-24,96,116,-6384,-12,28,-1696,0,11288,-192
2009:Q3,11392,4468,6924,11392,6908,-24,1020,120,-6452,-48,24,-1716,0,11820,-260
2009:Q4,11392,3428,7964,11392,7384,-24,580,124,-6452,-36,-4,-1712,0,11604,-72
2010:Q1,7988,2880,5108,7988,2272,84,324,80,6904,72,-12,-888,0,1708,-2556
2010:Q2,8080,2900,5180,8080,-4124,80,8,84,6980,-4,16,-896,0,4016,1920
2010:Q3,8164,2908,5256,8164,-2592,84,872,84,7060,-28,4,-908,0,3688,-100
2010:Q4,8168,3044,5124,8168,-2644,84,324,84,7056,-8,-8,-908,0,4360,-172
2011:Q1,12920,3904,9016,12920,9488,-116,-216,56,1676,4,-4,592,0,3556,-2116
2011:Q2,13064,3980,9084,13064,7012,-116,544,60,1696,12,112,600,0,3248,-104
2011:Q3,13208,4304,8904,13208,13504,-116,348,12,1716,12,128,604,0,3036,-6036
2011:Q4,13208,4796,8412,13208,7520,-116,376,12,1712,-36,36,604,0,3280,-180
2012:Q1,6168,1892,4276,6168,-9148,-48,140,-12,11636,-4,116,-1492,0,5172,-192
2012:Q2,6164,2288,3876,6164,-11332,-48,108,-12,11636,-4,124,-1492,0,5456,1728
2012:Q3,6236,2996,3240,6236,-9032,-48,20,-16,11764,-28,68,-1508,0,5172,-156
2012:Q4,6232,3456,2776,6232,-9704,-48,12,-12,11764,60,172,-1508,0,5780,-284
2013:Q1,11640,3820,7820,11640,2528,20,-440,-40,4240,-64,72,492,0,5068,-236
2013:Q2,11768,3784,7984,11768,1072,20,184,-40,4288,-4,152,500,0,5724,-128
2013:Q3,11896,4124,7772,11896,960,20,212,-36,4336,660,152,504,0,5200,-112
2013:Q4,11896,4096,7800,11896,3504,20,-1348,-40,4336,-652,148,504,0,5576,-152
2014:Q1,11440,4672,6768,11440,1888,-8,264,-12,4340,788,156,396,0,3740,-112
2014:Q2,11568,5148,6420,11568,2236,-8,976,-16,4388,-72,180,396,0,3608,-120
2014:Q3,11696,4348,7348,11696,1216,-8,2080,-16,4436,-84,176,404,0,3604,-112
2014:Q4,11696,2580,9116,11696,2400,-8,460,-12,4436,-16,108,404,0,4100,-176
2015:Q1,11836,5660,6176,11836,-3616,140,692,-32,5820,12,88,100,0,8788,-156
2015:Q2,11968,3908,8060,11968,-3044,144,656,-28,5884,-80,272,100,0,8164,-100
2015:Q3,12096,2388,9708,12096,-6124,140,700,-32,5948,-4,236,100,0,7948,3184
2015:Q4,12100,2184,9916,12100,-3336,140,640,-28,5948,200,184,100,0,8400,-148
2016:Q1,17108,4776,12332,17108,2468,-40,544,24,5172,-92,184,696,0,6744,1408
2016:Q2,17104,4012,13092,17104,4820,-40,-1184,24,5172,-84,316,696,0,7260,124
2016:Q3,17296,4388,12908,17296,1848,-40,2520,24,5228,-8,108,704,0,7124,-212
2016:Q4,17292,4660,12632,17292,3212,-40,508,24,5228,80,140,704,0,7360,76
2017:Q1,10060,2688,7372,10060,124,172,500,32,3944,-152,28,1776,0,3660,-24
2017:Q2,10172,3184,6988,10172,6940,168,-3528,32,3992,-24,160,1796,0,4428,-3792
2017:Q3,10284,3288,6996,10284,-5120,168,4992,32,4032,-4,336,1812,0,4084,-48
2017:Q4,10284,3128,7156,10284,-172,168,568,32,4032,-52,124,1816,0,3804,-36
2018:Q1,9468,3196,6272,9468,-1916,20,580,24,4440,-112,288,888,0,5692,-436
2018:Q2,9576,2456,7120,9576,-3012,20,884,28,4488,-40,268,896,0,5980,64
2018:Q3,9676,2660,7016,9676,-2920,24,788,24,4536,444,140,908,0,5724,8
2018:Q4,9680,2660,7020,9680,-2412,20,796,28,4536,8,60,908,0,6328,-592
2019:Q1,21796,5256,16540,21796,588,32,320,24,4932,-36,156,1872,0,13936,-28
2019:Q2,22040,5856,16184,22040,408,36,1216,28,4984,84,112,1896,0,13284,-8
2019:Q3,22284,6612,15672,22284,508,32,1252,64,5044,16,236,1916,0,13256,-40
2019:Q4,22280,7148,15132,22280,1192,36,1252,68,5040,4,244,1916,0,13868,-1340
2020:Q1,20588,4904,15684,20588,2100,52,1236,204,-1092,68,-12,1392,0,16808,-168
2020:Q2,20584,5828,14756,20584,468,52,1576,220,-1096,-124,244,1392,0,17940,-88
2020:Q3,20816,6344,14472,20816,2688,52,1316,224,-1104,-376,8,1408,0,16884,-284
2020:Q4,20812,7024,13788,20812,1500,56,1436,236,-1108,120,268,1408,0,17052,-156
2021:Q1,35308,11056,24252,35308,11216,-36,1040,-92,3944,-208,56,2072,0,17680,-364
2021:Q2,35704,10664,25040,35704,8608,-36,1612,-92,3992,-68,116,2092,0,19372,108
2021:Q3,36092,11416,24676,36092,9216,-36,1244,-88,4032,536,176,2120,0,18796,96
