row,industry,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
11,        Support activities for mining,22.1,23.4,17.5,20.9,29.2,24.8,29.5,41.7,61,86.9,94.9,110,72.4,82.7,98,126.2,128.2,165.8,135.5,73.1,106.9,132,135.6,79,70.2,87.6,103.8
12,    Utilities,262.1,267.9,314.8,373.3,446.5,325.2,343.2,351.8,416.2,422,451.6,524.9,436.5,494.5,484.9,461.6,484.4,520.7,492.3,470.5,474.1,515.5,518,494.5,594.2,699.3,640.3
13,"        Electric power generation, transmission, and distribution",201,209.9,252.4,285.5,340.6,236.3,233,234,276.8,289.6,317.2,367.6,324.4,379.3,375.4,367,378.9,406.6,402.7,385.1,389.4,422.1,423.1,400.7,482.4,556.6,503.2
14,"        Natural gas distribution and water, sewage and other systems",61,58,62.4,87.7,105.9,88.9,110.2,117.8,139.5,132.4,134.4,157.3,112.1,115.2,109.5,94.6,105.5,114.2,89.6,85.4,84.7,93.4,94.8,93.8,111.7,142.7,137.1
15,    Construction,709.1,779.6,841.6,913.8,956.8,969.9,1039.4,1158,1287.1,1353.6,1338.9,1275.8,1098.7,1016.6,1020.5,1075.5,1158.8,1264.7,1395.5,1508.6,1578,1662,1732.2,1809.8,1990.2,2194.5,2335.9
16,"        Education, hospital, and health structures",60.6,65.3,69.6,77.2,83.3,90.1,96,99.8,106.3,117.7,129.8,138.5,135.5,121.8,118.9,109.8,113.6,111.7,118.6,128.6,139.8,147.6,155,157.4,155.3,171.8,197
17,        Maintenance and repair construction,92.2,101.5,105.9,116.1,123.3,131.9,140.5,159.7,180.6,199,210.2,217.7,211.4,219.2,231,243.5,252.9,263.1,267.8,274.8,281.7,285.7,293.2,300.9,331.3,355.4,364.1
18,        Office and commercial structures,93,104.5,114.9,126.2,130.6,110.8,106.4,115.6,123.7,137.5,156.5,159.4,110.6,82.4,83.9,87.1,90.8,110.2,126.1,150.1,160.2,170.5,181.5,190.9,193.9,229.5,245.4
19,        Other residential construction,121.6,127.7,137.8,146.7,157,169.7,184.8,203.3,227.5,244,241.7,225.7,197.2,179.8,182.9,191.6,211.7,237.9,271.4,305.3,326.2,344.2,363.6,400.5,448.5,484.8,513.9
20,        Other nonresidential structures,99.5,107.9,107.5,112.6,106.7,91.1,95,99.9,106.1,123,147.1,178.1,151.1,120.3,119.3,117.2,130.2,140.7,169.5,179.2,177.7,184.9,200.5,189.9,182.2,234,316.7
21,        Power and communication structures,29.7,32.9,38.8,46.1,48.3,51.1,47.4,44.5,48,50.9,73.3,86.1,89.5,78.3,74.3,92.8,89.3,102.8,108.1,111,102.1,106.7,117.3,120.5,119.1,123.6,132.4
22,        Single-family residential structures,155.1,180.3,203,217.2,229.4,245.2,290,353.5,407.9,387.1,280,166.3,95,105,100,122,158.4,181.3,208.6,231.5,254.6,275.6,266.6,293.5,407.4,432.2,378.6
23,        Transportation structures and highways and streets,57.5,59.4,64.1,71.7,78,80,79.3,81.8,86.9,94.4,100.4,104.1,108.5,109.8,110,111.4,112,116.9,125.4,128.2,135.6,146.7,154.4,156.2,152.5,163.1,187.8
24,    Manufacturing,3897.8,3963.3,4082.2,4290.7,4049.5,3972.2,4050.9,4359.6,4805,5092.3,5405.4,5493,4513.5,5018.9,5595.3,5776.3,5927.8,5998.8,5660,5483.6,5676.6,6043.4,5941.4,5411,6288.2,7161.7,7210.9
25,        Durable goods,2189.6,2279.6,2358.7,2435.6,2243.5,2166.1,2176,2312.9,2496.7,2638.5,2771.4,2686.4,2154.1,2382.2,2600.8,2703.4,2776.6,2875.6,2856,2764.9,2829.6,2998.9,2970.5,2738.6,3083.2,3419.1,3581.5
26,            Wood products,88.6,91.8,98.1,94.5,87.5,90,92.3,105.7,114.6,114.3,102.8,88.8,65.9,71.9,72.9,80.4,90,96.7,99.8,103.2,108.5,120.4,112.4,123.5,162.9,174.2,168.7
27,            Nonmetallic mineral products,85.9,91.7,95.7,97.7,94.4,95.3,96.6,102.4,113.2,125.8,128.5,114.4,90,92.4,94.1,99.3,105.8,113.4,118.9,124.8,127.3,131.4,135.1,133.6,145.4,158,161.8
28,            Primary metals,168.3,166.7,156.7,155.7,137,139.2,137.7,181.9,202.5,233.1,256.4,280.3,167.2,235.7,281.5,269.2,263.4,265.8,228.4,204.4,222.9,254.6,236,199.2,279.5,324.7,318.9
29,                    Iron and steel mills and manufacturing from purchased steel,76.9,75.8,69.7,69.5,60,62.2,63,94.5,102.9,112.6,124.4,152.4,79.4,118.4,144.2,138.8,133.1,134.8,110,96.5,111.1,132,118.8,97.2,150.9,178.9,177.4
30,                    Nonferrous metal production and processing and foundries,91.4,90.8,87,86.3,76.9,77,74.7,87.4,99.6,120.5,132.1,128,87.9,117.3,137.3,130.4,130.3,131,118.4,107.9,111.8,122.6,117.1,102,128.6,145.8,141.4
31,            Fabricated metal products,243.7,254.5,257.2,269.1,252.5,246.8,244.2,260.2,287.9,316.6,342.8,357.8,280.4,295.6,326.9,343.1,350.4,360.6,353,342.9,346.3,373.2,377.5,346.8,391.4,430.2,431.6
32,            Machinery,269.1,277.5,275.9,294.5,264.9,246.8,250.2,265.7,298.9,323.6,346.9,353.9,285.3,318.7,369.1,404.6,397.5,411,381.9,357.7,378.3,389.7,391.1,352.2,390.2,440,452
33,                    Agricultural implement manufacturing,19.8,21.2,16.2,18.1,17.9,17.6,18.6,21.3,24.2,23.6,28.4,29.7,27.5,26.8,32,42.5,47.1,48.2,39.9,32.2,33,36.4,38.7,36.6,44.1,47.6,41
34,                    Construction machinery manufacturing,21,22,21.2,21.8,18.7,17.1,18.8,23.9,31,35.8,33.4,34.3,21.3,28.1,35.8,40.3,35,38.1,30.5,28.7,32.5,31.8,34.4,27.7,31.8,40.9,46.9
35,                    Mining and oil and gas field machinery manufacturing,8.4,8.5,6.7,7.5,7.6,6.9,7.3,8.3,10.3,14.5,20.6,23.9,19.6,20.6,24.9,32.8,32.3,32.5,21.9,16.1,17.6,20.3,18.5,14.7,14.7,17.7,20.5
36,                    Other machinery,219.9,225.8,231.7,247.1,220.7,205.2,205.5,212.2,233.3,249.7,264.4,266,217,243.2,276.3,289,283.2,292.3,289.7,280.7,295.2,301.2,299.5,273.2,299.6,333.9,343.5
37,            Computer and electronic products,461.1,464.7,486.6,548.7,462.7,390.2,387.9,398.2,407.7,426,444.4,423.2,350.2,358.8,361.7,354.3,352.6,347.9,347.5,347.5,354.3,366.6,367.2,367,379.6,408.1,414
38,                    Computer and peripheral equipment manufacturing,106.4,111.8,109.3,113.9,91.3,77.2,72,67.4,70.6,77.1,73.1,71.7,57.1,43.9,35.1,34.7,33.5,32.1,31.9,36.2,33.1,35.1,32.9,33.1,34.3,41.4,43.3
39,                    Communications equipment manufacturing,89.4,92.9,106,133,117.5,77.1,73.4,70.8,69.5,81.5,75.7,66,54.2,56.6,55.1,54.4,56.6,52.5,52.5,45.8,43.1,45,44.8,41.2,42,46.2,46.2
40,                    Semiconductor and other electronic component manufacturing,144.8,138.2,152.9,173.8,131.2,118.3,123.6,127.1,132.2,127.6,134.3,128.5,99.7,115.4,120,107.6,107.4,109.3,111.8,109.1,114.4,115.6,116.7,121.2,130.4,142.1,143.7
41,"                    Navigational, measuring, electromedical, and control instruments manufacturing",100.5,100.2,101.3,109.8,105,99.8,100.7,112.1,114.3,119.9,140,141.9,127.4,134.1,139.8,151.5,149.5,148.6,146,150.4,158.7,166.1,168.3,166.3,166.4,171.4,173.1
42,                    Other computer and electronic product manufacturing,20.1,21.6,17.1,18.2,17.6,17.8,18.2,20.9,21.2,19.9,21.2,15,11.9,8.8,11.7,6,5.6,5.5,5.3,6,5,4.8,4.4,5.2,6.5,7,7.6
43,"            Electrical equipment, appliances, and components",111.2,114.5,116.7,124.9,110.3,100.6,97.7,102.3,108.6,117.1,126.3,126.9,102.8,108.6,117.8,122.8,123.6,127.4,127.2,123,124.3,128.1,131.5,127.1,142.2,156.7,168.1
44,"            Motor vehicles, bodies and trailers, and parts",431.9,449.7,505.4,483.9,460.8,478.9,490.2,507.4,524.5,525.2,514.6,425.1,343.2,434.6,498.8,516.7,554.5,598.9,632.7,626.1,597.2,638,650.2,579.3,664.2,706.5,777.1
45,                    Automobile manufacturing,99.5,101.9,100,100.9,92.7,86.1,82.1,88.6,90.8,99.4,87.8,74.6,45.5,52.9,52.7,58.6,59,59.3,57.1,53.6,40,41,35.7,27.8,27,36,38
46,                    Light truck and utility vehicle manufacturing,111.6,115.3,145.7,127,141.8,146.6,161.9,163.2,164.9,154.8,162.1,117.3,99.6,137.2,170.2,172.4,196.8,213.1,229.6,229.5,212.8,232.2,264.9,257.8,307,297.3,353.9
47,                    Heavy duty truck manufacturing,14.8,18.7,23,20.7,13.4,16.7,16.2,21.6,27.1,30.5,21.6,19.7,19.8,24.9,30,31.7,30.7,31.6,34.8,25,26.2,37.3,34.8,22.6,25.6,29.3,32.8
48,"                    Motor vehicle body, trailer, and parts manufacturing",206.1,213.8,236.8,235.5,212.9,229.6,230.1,234.1,241.8,240.5,243.1,213.6,178.3,219.7,245.9,254,268,294.8,311.2,318,318.1,327.5,314.9,271.1,304.6,344,352.4
49,            Other transportation equipment,155.6,184,180.4,161.8,181.3,175.7,172.1,176.9,206,214,263.7,269.3,248.1,249,258.7,290.8,303.5,321,325.3,301.6,335.6,352.9,328.5,280.5,278.7,349.4,414.8
50,                    Aerospace product and parts manufacturing,121.5,146.8,140.9,119.9,137.8,131.3,126.1,126.9,150.3,153.5,195,191.1,179,185.5,196.9,224.6,234.6,247.8,247.8,229.5,262.7,280,257.2,212.9,206.5,264.7,327.6
51,                    All other transportation equipment manufacturing,34.2,37.2,39.4,42,43.6,44.5,46,50,55.7,60.6,68.6,78.2,69.1,63.5,61.8,66.2,68.9,73.1,77.6,72.1,72.8,72.9,71.3,67.7,72.2,84.7,87.2
52,            Furniture and related products,63.6,68.4,70.8,75.9,73.1,75.6,75.3,78.4,84.2,86.4,85.7,76.9,59.6,57.3,57.3,65.7,67.5,69.7,74.8,75.8,76.3,76.7,74.2,70,75.1,81.9,80.9
53,            Miscellaneous manufacturing,110.6,116.2,115.1,128.8,118.9,126.8,131.8,133.9,148.5,156.3,159.5,169.7,161.3,159.8,162.1,156.6,167.8,163.2,166.5,157.8,158.8,167.3,166.8,159.4,174,189.3,193.6
54,                    Medical equipment and supplies manufacturing,43.8,48.1,47,51.5,55.4,60,64.1,64.7,74.3,77.7,82.6,88.8,90.8,91.4,93,94.4,102.6,96.1,99,93.3,95,99.7,98.6,94.9,102.1,112.7,115
55,                    Other miscellaneous manufacturing,66.8,68,68.1,77.3,63.5,66.8,67.7,69.2,74.2,78.7,77,80.9,70.5,68.4,69.1,62.2,65.2,67.1,67.5,64.5,63.8,67.6,68.2,64.5,71.9,76.7,78.6
56,        Nondurable goods,1708.2,1683.7,1723.5,1855.1,1806,1806.1,1875,2046.8,2308.4,2453.8,2634,2806.6,2359.4,2636.6,2994.5,3072.9,3151.2,3123.2,2804,2718.7,2847,3044.6,2970.9,2672.5,3205.1,3742.6,3629.5
57,            Food and beverage and tobacco products,531.8,540.2,538,557,576.3,568.6,599.7,630,661,667.6,720.5,778.6,772.4,800.3,856,895.9,921.8,953.1,951.6,952.5,953.1,956.4,977.8,1001.1,1086.3,1157.5,1179.8
58,                    Food manufacturing,414.5,419.3,418.4,428.5,442.3,447.8,475.8,500.4,522,525.9,575.6,634.2,615.3,641.6,696.5,731.2,753.4,784,775.3,770.7,776.5,778.9,797.3,824.1,897.7,948,954.3
59,                    Beverage manufacturing,65.4,66.6,65.8,70.9,70.9,70.7,75.7,79.6,85.5,86.7,92.3,91.8,96.4,96.4,100,108.2,112.7,117,120.6,119.6,115.9,118.6,122.1,116.3,126.4,131.9,136
60,                    Tobacco product manufacturing,51.9,54.3,53.9,57.6,63.1,50.1,48.1,49.9,53.5,55,52.6,52.6,60.7,62.3,59.5,56.5,55.7,52.2,55.7,62.2,60.8,58.9,58.4,60.7,62.1,77.6,89.5
61,            Textile mills and textile product mills,89.1,87.7,86.6,85.1,76.7,75.4,72.3,73.7,77.1,71.7,64.4,56.5,46.4,49.8,52.9,51.8,53.6,55.3,52.8,51.5,49.7,50.7,49.9,46,50.7,52.4,49.9
62,            Apparel and leather and allied products,87.2,79,76,75.3,58.8,50.8,44.9,39.2,40.2,39.2,29.8,26.7,24.4,23.3,24.9,19.2,19.4,19,18.5,18.5,15.7,16.9,17.3,17,18.1,19.9,23.8
63,            Paper products,149.3,153.2,155.6,163.7,155,152.4,148.8,153,160.1,167.6,174.2,177.4,160.6,169.4,175.7,179.2,184.8,185.9,184.5,179.3,185.3,190.2,190.9,180.3,196.4,205.1,203.4
64,            Printing and related support activities,98.4,101,103.8,107.2,104.1,99.7,95.5,96.3,99,100.8,103.5,99.2,84,83.8,84.2,83.1,83.4,82.6,82.4,86.1,83.9,83.2,81.2,74.3,78.2,86.8,86.8
65,            Petroleum and coal products,175.8,136.7,160.5,233,218.1,214.2,246,325,462.1,536.9,606.4,733.6,482.4,607.7,817,833.2,833.7,767.4,500.4,431.7,538.8,668.9,597.7,354.3,608.8,924.9,757.7
66,            Chemical products,417.6,422.4,430.5,454.8,446.8,471.4,491.7,546.7,610.8,660.3,728.8,735.8,621.4,715.7,782.8,794,830.1,828.4,779.8,767.7,782.7,825.4,805.7,764.2,892.9,992.7,1029.4
67,                    Basic chemical manufacturing,112.3,107.1,107.9,109.6,101.1,108.6,119.4,145.4,168,192.1,222.8,234.6,168.5,225.6,265.5,272.5,274.2,258.2,216.3,209.5,218.7,230.8,207.2,178.9,249.2,273.9,274.3
68,"                    Resin, rubber, and artificial fibers manufacturing",65.1,63.6,64,68.2,60.2,60.5,64.8,73.9,89,91.5,100.6,98,73.6,96.1,102.3,109.4,112.8,113.5,100.5,97.8,103.9,110.8,98.2,88.5,111.9,123.6,124.3
69,                    Pharmaceutical and medicine manufacturing,99,111.3,118.7,129.1,142.2,156.5,164.3,172.8,183.9,201.3,214.9,211.9,204.3,207.9,215.6,207.6,233.4,245.6,257.3,260.1,255,271.4,288.2,295.9,312.7,353.2,387.9
70,                    Other chemical manufacturing,141.3,140.4,139.9,147.8,143.2,145.8,143.1,154.5,169.8,175.4,190.5,191.2,175,186.2,199.5,204.5,209.6,211,205.6,200.4,205.1,212.3,212.1,201,219.1,242,242.8
71,            Plastics and rubber products,159,163.6,172.6,179.1,170.4,173.4,176.2,183,198.2,209.8,206.3,198.9,167.8,186.6,201,216.5,224.4,231.5,234.1,231.4,237.8,252.8,250.3,235.3,273.8,303.4,298.6
72,    Wholesale trade,747.1,772.1,826.3,880.5,860.4,891.9,929.3,1019.3,1107.8,1196.8,1270.9,1327.1,1154.9,1359.2,1530.8,1655,1753.5,1857.7,1904.9,1923.3,2053.9,2175.1,2232.8,2126.2,2538,2883.9,2840.6
73,        Motor vehicle and motor vehicle parts and supplies merchant wholesalers,42.7,46.4,52.7,56.4,55.4,61.2,59.5,64.5,67.3,74.5,73.5,73.7,60.9,81,93.9,107.7,113.8,125.1,130.3,136.8,138,149.6,157.2,137.8,161.6,193.3,213.3
74,        Professional and commercial equipment and supplies merchant wholesalers,81.6,89.2,96.6,97.3,94.3,95.8,100.5,110.5,122.3,131.6,141,157.8,149.4,175.7,190.5,200,199.9,201.3,203.5,201.7,208.6,218.3,224.2,219.9,247.4,267,259.4
75,        Household appliances and electrical and electronic goods merchant wholesalers,60.1,63.1,71.4,83.1,73.9,74.8,74.8,84.5,87.2,101.4,108.7,103.2,93.5,113.9,128.7,145.1,164.4,184.8,204.9,214,235.7,247.9,245.6,241.7,289.7,326.9,335.8
76,"        Machinery, equipment, and supplies merchant wholesalers",75.3,82.7,84.5,86.8,79.9,79.2,83.6,94.4,104.1,109,114.2,123.5,97.4,120.7,144.6,167.1,170,179.5,172.9,166.9,181.5,201,197.1,182.4,215,256.3,272.4
77,        Other durable goods merchant wholesalers,113.4,113.2,121.7,131.1,124,133.6,139.7,166.1,179.9,199.3,206.9,204.4,149.5,185.7,217.3,231.2,234.8,251.2,247.9,257.1,286.6,313.1,312.9,304.9,392.8,450.5,415.4
78,        Drugs and druggists sundries merchant wholesalers,27.8,31.9,38.2,42.3,52.4,62.7,64.4,69.6,84.3,88.3,88.6,93.1,97.4,109.1,118,131,143.9,161.7,186.3,194.7,214.7,213.4,224.5,232.7,250,280.2,314.6
79,        Grocery and related products merchant wholesalers,68.9,68.3,72.6,75.1,77.1,79.9,92,86.2,90.4,94,104.3,105.7,105.3,112.4,115.4,129.2,139.9,145.8,159.1,164,175.7,179.5,186.2,185.2,205.8,234.4,239.8
80,        Petroleum and petroleum products merchant wholesalers,85.2,84.3,87.1,93.5,91.5,88.1,96.3,106.2,116.8,127.4,132.6,142.9,120,126.2,143.9,156.9,165.7,166.9,150,144.3,150.2,170.9,170.8,148.1,192.9,217.2,200
81,        Other nondurable goods merchant wholesalers,144.4,147.2,154.5,163.9,171.6,174.5,173.8,186.4,197.1,207.9,232.3,241.4,230.6,252.9,273.6,291,322.4,340.6,347.6,352,372.5,382.8,384.3,373.9,433.6,487.3,455.4
82,        Wholesale electronic markets and agents and brokers,28.2,26.1,27.9,29.9,19.8,22.2,23.2,27.7,33.2,36.7,40.1,52.2,27.8,52.9,72.9,62.4,63.3,63.6,64.3,54.3,51.9,45.3,52.3,30.9,60,68.6,52.9
83,        Customs duties,19.6,19.6,19.2,21.1,20.6,19.9,21.5,23.3,25.3,26.7,28.8,29.2,23.1,28.6,31.9,33.5,35.5,37.4,38.1,37.5,38.5,53.3,77.8,68.6,89.1,102.3,81.6
84,    Retail trade,857.3,891.8,953.7,1000,992.3,1045.3,1108,1190.5,1239.7,1302.1,1334,1277.3,1207.9,1299.7,1335.9,1403.7,1491.6,1575.1,1682,1763.1,1846.9,1934.3,1987.9,2071.8,2479,2695.9,2773
85,        Motor vehicle and parts dealers,174.7,174.7,196.4,195.4,176.6,208.9,211.3,217.2,211.9,214.6,215.8,184.5,147.8,196.9,198.8,221.9,246.1,272.2,305.6,335.9,355.7,370.4,371.3,357.8,440.8,524.8,540.8
86,        Food and beverage stores,129.4,133.5,140.4,141.5,152.6,153.9,159,168.2,175.2,185,188.2,194.1,190.7,197.1,203.8,207.7,212,221,231.5,237.3,249.2,253.1,263.5,289.7,308.1,334.9,344.2
87,        General merchandise stores,116.5,123,131.7,136.3,139,139.5,157.1,172.7,181.1,186.5,198.4,200.7,207.4,215.1,212.4,210.8,214.1,221.1,228.8,229.7,233.9,242.5,244.5,255.6,285.3,302.5,311
88,        Other retail,436.7,460.7,485.2,526.9,524.1,543,580.6,632.4,671.5,715.9,731.6,698,662,690.6,721,763.3,819.4,860.9,916.1,960.2,1008,1068.3,1108.7,1168.7,1444.9,1533.7,1576.9
89,            Building material and garden equipment and supplies dealers,71.3,76.4,79.4,86.3,88.9,87.7,96,108.4,119.2,126.4,126.7,113.1,104.6,108.4,111.1,115.7,124.8,128.6,134.2,141.8,143.2,149.4,151.3,176.2,200.8,206.9,200.9
90,            Health and personal care stores,43.4,45.4,47.2,50.5,52.6,56.1,60.9,65.6,68.1,72.7,75,75.9,84.7,82.3,84.9,87.9,95.3,97.4,104.2,105.7,109.9,106.5,110.1,102.8,124.8,139,150.1
91,            Gasoline stations,53.5,53,54.9,60,63,58.4,65.7,72.9,79.9,82.6,82.9,89.3,70.5,75.5,81.8,84.1,89.2,93.2,93.8,98.4,106.6,115.2,119.8,114.6,137.3,170.5,156.3
92,            Clothing and clothing accessories stores,69.1,75,80.6,84.7,81.8,86.8,92.7,101.1,106.5,114.4,115,107.9,105.4,112.3,118,126.5,130.9,133,138.4,140.3,141,146.1,145.7,101.8,169.6,170.3,173.2
93,            Nonstore retailers,61.1,64.4,69.4,81.2,81.5,88.5,95.5,102.9,110.1,124.2,133.4,131.5,130.2,140.2,151.4,167,186.7,209.2,236,261.6,297,335,359.2,456.8,537,579,634.1
94,            All other retail,138.2,146.4,153.6,164.1,156.4,165.6,169.9,181.5,187.8,195.7,198.6,180.2,166.5,171.9,173.9,182.1,192.5,199.5,209.5,212.3,210.2,216.1,222.5,216.5,275.4,268,262.3
95,    Transportation and warehousing,499,527,558.3,600,591.7,595.3,628,692,752.2,820.2,865.5,904.6,781.1,858.7,958.2,1005.9,1047.4,1123.8,1137.5,1145.8,1226.9,1338.9,1398,1211.4,1475.2,1796.6,1750.6
96,        Air transportation,114.1,115.4,120.5,134,118.3,111.4,122,132.1,141.8,152.1,160.7,170.9,146.6,163.5,194.2,195.4,203.7,216.8,220.7,221.8,236.3,253.8,272.3,126.8,195.1,295.9,311.3
97,        Rail transportation,38.2,38.1,38.7,39.3,39.8,40.5,41.4,45.7,51.5,58.1,60.7,68.4,54.7,66.4,75.8,79.1,82.6,88.9,82.5,75.7,79.6,86.5,84.8,74,83.4,95.3,91.8
98,        Water transportation,24.4,24.5,25.7,27.2,26.9,25.9,30,35,37.6,41.9,47,50.7,42.7,46.9,48.9,50,50.6,54.5,51.7,50.8,55,59.8,60.9,39.2,40,66.1,71.5
99,        Truck transportation,162,174,185.7,198.5,199.3,203.1,208.9,231,255.9,272.8,279,283.7,231.3,251.5,278.4,297.8,308.7,336.4,337.2,337.6,367.2,401.3,409.4,413.7,491.1,577.9,529.8
100,        Transit and ground passenger transportation,24.3,26.5,26.3,26,26.8,27.4,28,33.3,37,42.3,44.9,45,44.9,45.1,49.2,51,56.4,63.1,66.9,68.2,78.3,95.4,109.6,73.3,87.9,119.3,145.6
101,        Pipeline transportation,24.2,24.1,24.1,23.2,22.7,22.1,22.4,23,22.8,24.2,25.7,31.2,27.3,31.2,35,36.4,38.9,42.1,44.2,45.2,48.1,55.6,61.6,59.3,64,69.6,71.2
102,        Other transportation and support activities,85.5,95.6,106.1,118.1,121.5,125.2,130.1,142.1,152.3,167.3,178.5,177.8,154.9,165.7,179,187.2,196.1,210.9,222,228.3,238.7,256.6,264.5,287.7,354.7,394.1,349.2
103,            Scenic and sightseeing transportation and support activities,43.4,48,53,57.8,60.7,63.6,64.9,72.2,81.1,89.1,94.7,100.2,87.4,96.9,106.3,113.2,119.5,130,137.8,139.2,141.6,152.1,154,158.3,201.8,236.2,199.2
104,            Couriers and messengers,42.1,47.7,53.1,60.2,60.9,61.7,65.1,69.9,71.3,78.1,83.7,77.6,67.5,68.8,72.7,74.1,76.6,80.9,84.2,89.1,97.1,104.6,110.5,129.4,152.9,158,150
105,        Warehousing and storage,26.3,28.6,31.1,33.8,36.3,39.7,45.3,49.7,53.2,61.5,69,76.9,78.6,88.5,97.6,108.9,110.4,111.2,112.2,118.2,123.8,129.9,134.9,137.5,158.9,178.5,180.3
106,    Information,730.6,808.5,913.6,1008.5,1039.2,1046.2,1049.6,1085.6,1132.3,1184.2,1220.7,1254.9,1219.6,1268.9,1324.7,1382.6,1440.1,1519.8,1587.5,1696.4,1763.3,1877.8,1961.1,2023.6,2264.5,2448.9,2517.4
107,"        Publishing industries, except internet (includes software)",190.8,214.1,238.5,259.4,261.9,264.6,261.7,279.7,292.1,304.5,311,312.9,288.3,289.2,298.1,296.2,310.7,326.2,328.8,357.8,385.3,399.9,418.5,445.1,498.6,553.3,591.8
108,"            Newspaper, periodical, book, and directory publishers",123.9,133.1,144.8,154.5,148.5,151.9,151.4,155.1,158,159.9,162.3,153,132.8,127,121.7,113,109.7,109.7,107.4,103.6,103.2,99.9,97.1,92.2,95.6,99.8,99.9
109,            Software publishers,66.9,80.9,93.7,104.9,113.4,112.7,110.3,124.6,134.1,144.6,148.7,160,155.5,162.2,176.4,183.2,201,216.5,221.3,254.2,282.1,300,321.4,352.8,402.9,453.4,491.9
110,        Motion picture and sound recording industries,89.5,96.9,104.9,115.3,122,124,131.5,130.7,134.3,136.5,137.1,131.1,123.1,129.8,128.3,131.7,135.5,137.2,143.6,149.9,150.7,162.5,166.8,147.1,168.2,195.5,202.1
111,        Broadcasting and telecommunications,404.1,446.8,506,563.1,581.2,576.4,573.8,585.6,609.2,634.2,654.2,672.8,664.8,687.3,709.7,733.1,753.1,794.7,824.6,865.3,862,887,894,893.9,936.6,958.3,937.2
112,            Broadcasting (except Internet),61.4,67.6,78.6,88.6,86.7,92.2,96.6,103.9,111.7,120.1,121.9,127.4,123.4,135.3,142.1,153.9,160,171.7,182.7,197.5,203.6,214.8,211,212.9,229.3,238.5,230.5
113,            Wired telecommunications carriers,283.3,312.2,346.5,380,379.1,355.4,336.8,327.5,326.1,325.5,327.1,326.2,316.6,314.7,316.4,310.7,314,323,335.4,357,347.8,344,347.1,341.3,347.2,345.5,335.1
114,            Wireless telecommunications carriers (except satellites),42.5,47.9,58.7,69.5,89.8,105.9,116.8,130.6,144.2,158.3,171.3,182.8,188.6,200.5,216.7,230.5,237.8,256.1,260.3,263.4,261.5,278.7,284.9,287.8,304.1,317.4,313.8
115,"            Other telecommunications, including satellite",16.9,19,22.3,25.1,25.6,22.8,23.6,23.6,27.2,30.3,33.9,36.3,36.3,36.8,34.4,38,41.2,43.9,46.2,47.4,49,49.4,51,51.9,55.9,56.8,57.7
