Net operating surplus
Net operating surplus
"Last Revised on: September 26, 2024"
Line,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
26,"                Food and beverage and tobacco products",42.5,61.1,57.5,66.5,65.5,65.0,59.6,58.9,71.6,67.8,70.5,100.0,81.4,67.7,73.1,79.6,85.3,106.2,104.9,102.3,92.4,88.9,105.7,111.3,78.8,111.5
27,"                Textile mills and textile product mills",2.8,3.3,3.0,1.9,2.2,-2.2,1.6,1.1,1.3,0.9,0.4,0.3,0.8,0.4,1.1,1.6,2.0,2.1,2.6,1.4,0.4,0.6,1.6,1.3,0.1,-0.2
28,"                Apparel and leather and allied products",3.9,4.0,4.4,3.2,3.6,1.6,0.9,0.7,0.1,-0.6,-0.7,-0.5,0.3,0.3,0.1,0.3,-0.2,-0.2,-0.2,-0.2,-0.2,0.1,1.9,2.6,2.2,2.3
29,"                Paper products",12.0,14.7,17.0,9.2,10.6,7.8,10.0,8.9,15.2,12.3,7.9,18.7,15.7,12.8,12.0,15.0,14.8,17.0,15.8,12.2,15.4,16.4,19.7,17.4,19.4,22.2
30,"                Printing and related support activities",1.6,2.9,3.2,3.2,4.1,4.7,5.0,6.0,7.8,8.0,6.3,5.8,7.2,6.8,6.8,7.7,7.5,8.5,9.3,8.5,9.0,8.9,8.7,10.4,9.0,9.7
31,"                Petroleum and coal products",27.5,22.1,29.2,43.9,27.0,56.2,78.2,113.2,108.9,122.1,119.9,74.3,86.7,120.6,119.2,104.1,103.5,86.0,30.2,64.2,106.0,92.6,10.3,92.8,176.3,160.2
32,"                Chemical products",73.2,75.0,67.0,68.7,81.5,80.1,91.5,81.6,108.1,112.9,103.8,124.9,135.1,130.3,122.0,129.0,124.1,114.8,131.2,122.6,163.8,131.2,139.9,194.2,230.5,224.8
33,"                Plastics and rubber products",16.1,17.8,15.3,14.6,14.1,13.5,14.0,11.9,11.9,11.3,4.2,14.4,14.4,13.5,16.8,16.6,12.1,20.9,20.6,15.9,16.6,18.5,16.5,12.8,17.6,18.1
34,"        Wholesale trade",106.9,107.8,114.5,104.8,103.9,118.2,141.9,161.6,179.7,199.3,219.2,213.4,250.9,257.2,288.1,311.6,330.4,361.6,349.7,347.0,352.5,377.0,428.0,429.9,505.2,536.5
35,"        Retail trade",119.5,117.0,113.6,115.9,121.4,130.2,126.0,134.0,132.9,111.9,99.0,119.3,135.0,126.7,140.6,167.0,174.6,203.3,232.1,243.7,251.7,262.5,340.0,407.1,386.9,470.2
36,"        Transportation and warehousing",32.7,28.4,29.0,30.5,24.5,40.3,53.6,63.5,85.0,68.3,78.7,70.1,96.8,97.8,100.1,109.9,125.4,143.6,145.0,151.7,155.7,148.5,129.8,202.0,229.5,219.1
37,"            Air transportation",-1.9,-4.8,-9.7,-15.7,-18.0,-10.2,-7.2,-4.7,2.1,2.4,-0.9,4.8,17.3,14.3,15.5,15.7,19.9,27.1,30.2,28.0,24.5,28.9,-7.4,18.3,26.5,30.2
38,"            Rail transportation",-2.5,-2.8,-1.7,-1.7,-2.5,-1.3,-0.2,1.6,4.4,3.6,6.9,4.3,5.9,5.6,6.1,8.3,9.7,8.9,6.7,8.9,10.0,9.2,9.3,13.6,15.9,15.5
39,"            Water transportation",-0.5,-0.6,0.8,1.2,0.2,1.3,1.9,1.3,4.8,5.4,6.9,6.4,5.1,4.1,3.2,5.9,5.1,4.1,1.5,0.5,1.5,0.7,-0.8,5.7,6.6,7.0
40,"            Truck transportation",20.3,21.7,24.5,22.9,22.6,25.5,28.9,30.1,32.1,26.2,25.0,21.4,24.9,27.2,28.0,29.6,38.0,43.8,45.5,54.0,57.5,54.3,63.7,80.1,88.9,83.4
41,"            Transit and ground passenger transportation",4.2,4.4,4.5,4.7,4.8,6.5,7.3,7.1,8.5,8.0,9.2,9.9,11.3,13.2,14.6,15.0,16.1,16.0,14.8,14.9,13.9,14.7,11.3,16.6,18.4,25.6
42,"            Pipeline transportation",2.0,2.2,-0.3,6.4,1.3,1.7,1.5,0.1,-0.1,0.9,2.7,0.3,5.2,5.7,7.9,9.5,10.7,15.7,17.3,17.6,19.7,13.0,12.3,15.2,16.0,18.1
43,"            Other transportation and support activities",6.2,2.7,5.7,8.7,11.6,11.6,15.1,19.9,23.2,14.2,18.4,13.0,17.5,18.7,16.1,18.5,20.1,23.9,24.8,24.9,25.4,24.4,41.4,52.3,59.2,41.6
44,"            Warehousing and storage",4.8,5.6,5.0,4.0,4.3,5.1,6.2,8.2,10.0,7.5,10.5,9.9,9.6,9.2,8.7,7.5,5.8,4.2,4.3,2.9,3.1,3.3,0.1,0.3,-2.1,-2.4
45,"        Information",111.7,119.1,59.9,72.9,134.3,145.7,188.6,199.2,193.5,228.8,265.0,247.2,277.4,260.9,239.7,285.6,264.8,295.1,332.2,322.0,295.0,351.7,357.0,371.4,361.2,396.7
46,"            Publishing industries, except internet (includes software)",31.7,50.9,19.5,16.9,41.5,44.1,54.9,62.3,45.5,63.7,57.4,47.5,54.6,53.3,52.4,55.2,51.2,48.5,57.7,64.4,61.5,81.0,96.1,109.0,104.7,122.7
47,"            Motion picture and sound recording industries",8.2,17.6,8.8,14.8,20.9,15.9,18.5,5.0,7.2,13.4,15.9,18.7,26.5,19.2,15.6,17.0,14.1,17.3,21.5,21.7,15.0,6.4,0.7,7.3,17.4,21.0
48,"            Broadcasting and telecommunications",63.5,57.4,56.3,52.6,56.6,69.9,91.6,112.7,114.9,136.1,158.4,143.5,147.6,133.2,133.0,165.4,150.4,179.6,199.2,193.1,194.4,214.4,196.8,197.1,166.7,166.2
49,"            Data processing, internet publishing, and other information services",8.4,-6.8,-24.7,-11.5,15.2,15.8,23.5,19.2,26.0,15.6,33.3,37.5,48.7,55.2,38.7,48.0,49.1,49.7,53.8,42.8,24.1,49.9,63.4,58.0,72.4,86.8
50,"        Finance, insurance, real estate, rental, and leasing",830.2,888.8,944.2,1027.6,1071.9,1100.6,1098.7,1209.5,1226.7,1265.9,1210.9,1378.1,1449.8,1497.2,1659.3,1678.7,1771.1,1838.8,1927.8,1952.9,2051.5,2154.8,2230.2,2387.8,2562.9,2830.5
51,"            Finance and insurance",189.8,190.6,213.5,232.1,237.0,248.9,231.2,288.7,306.8,240.9,81.8,242.3,245.4,237.5,355.8,319.2,405.1,450.5,501.7,478.5,485.1,524.1,509.8,560.7,569.0,584.9
52,"                Federal Reserve banks, credit intermediation, and related activities",86.8,108.9,117.7,113.2,145.1,146.0,108.8,129.5,127.9,97.6,114.0,124.7,135.8,164.7,207.1,184.3,228.2,228.9,244.5,247.9,267.0,292.6,290.3,322.3,351.1,372.5
53,"                Securities, commodity contracts, and investments",6.1,-8.4,-23.7,22.6,13.5,3.7,-3.7,15.8,23.4,-29.5,-138.1,-6.1,-18.4,-52.8,6.1,20.6,-19.7,-21.3,3.0,3.1,2.8,-16.0,1.6,2.0,-27.7,-35.4
54,"                Insurance carriers and related activities",86.8,76.6,107.9,83.8,66.1,84.7,112.0,127.1,139.8,165.0,102.1,124.6,127.1,126.3,135.5,108.7,188.1,237.9,250.7,225.3,219.3,251.1,222.2,221.9,235.5,240.4
55,"                Funds, trusts, and other financial vehicles",10.0,13.6,11.6,12.5,12.3,14.5,14.1,16.2,15.7,7.8,3.7,-0.9,0.9,-0.7,7.2,5.6,8.5,5.0,3.5,2.3,-4.0,-3.5,-4.2,14.5,10.1,7.4
56,"            Real estate and rental and leasing",640.4,698.1,730.7,795.5,835.0,851.6,867.5,920.7,919.8,1024.9,1129.0,1135.8,1204.4,1259.8,1303.5,1359.5,1366.0,1388.2,1426.2,1474.4,1566.4,1630.7,1720.4,1827.1,1993.9,2245.6
57,"                Real estate",582.9,633.2,665.7,720.6,762.0,782.3,805.0,858.7,840.3,955.5,1045.9,1063.4,1133.1,1189.4,1229.8,1283.9,1292.7,1309.6,1342.5,1391.9,1476.1,1533.1,1611.4,1688.0,1834.7,2058.3
58,"                Rental and leasing services and lessors of intangible assets",57.5,65.0,65.0,74.9,73.0,69.3,62.5,62.0,79.5,69.4,83.1,72.4,71.3,70.3,73.7,75.5,73.3,78.7,83.7,82.5,90.3,97.6,109.1,139.1,159.2,187.4
59,"        Professional and business services",162.8,174.6,162.2,181.9,211.6,229.5,246.1,255.2,260.0,288.5,349.5,323.6,347.0,358.7,366.2,354.4,362.4,376.4,394.7,412.2,442.7,452.8,485.5,517.2,524.6,613.4
60,"            Professional, scientific, and technical services",126.3,134.0,121.5,135.2,165.2,172.1,183.9,182.9,188.6,205.3,263.3,239.6,256.3,268.9,278.6,267.2,273.2,289.1,303.0,309.5,331.8,339.7,364.6,381.1,383.4,447.3
61,"                Legal services",41.6,44.6,46.2,50.9,52.7,57.4,63.7,66.1,71.6,81.4,106.5,88.7,82.1,88.9,85.7,84.6,89.6,98.6,109.8,112.5,116.6,122.6,129.3,142.9,148.1,156.9
62,"                Computer systems design and related services",0.9,-3.0,-15.8,-11.1,-7.0,-1.0,-2.4,-2.7,-3.7,-0.8,3.0,11.7,15.5,21.0,28.2,26.5,20.8,18.2,26.0,24.5,32.6,25.1,28.1,9.4,3.0,5.4
63,"                Miscellaneous professional, scientific, and technical services",83.8,92.5,91.1,95.4,119.4,115.7,122.6,119.4,120.6,124.7,153.7,139.2,158.7,159.1,164.7,156.1,162.8,172.3,167.2,172.5,182.6,192.0,207.2,228.8,232.3,284.9
64,"            Management of companies and enterprises",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
65,"            Administrative and waste management services",36.5,40.6,40.7,46.7,46.4,57.4,62.2,72.3,71.5,83.2,86.3,84.0,90.7,89.7,87.6,87.2,89.2,87.3,91.7,102.6,110.9,113.2,120.9,136.1,141.2,166.1
66,"                Administrative and support services",32.2,34.8,34.5,38.8,37.4,47.4,53.9,64.1,66.9,76.2,79.1,74.9,78.8,79.2,77.9,77.7,78.6,76.1,81.3,90.2,98.0,100.6,105.5,118.2,123.3,145.8
67,"                Waste management and remediation services",4.3,5.8,6.2,7.8,9.0,10.0,8.3,8.2,4.6,7.1,7.2,9.1,11.9,10.6,9.7,9.5,10.5,11.2,10.4,12.4,13.0,12.6,15.4,17.9,17.9,20.3
68,"        Educational services, health care, and social assistance",53.5,58.2,62.3,70.6,72.0,76.0,82.5,75.7,80.5,74.6,105.6,132.9,141.9,144.6,138.7,136.5,135.9,146.1,159.1,158.3,154.2,164.6,187.2,205.6,151.1,201.7
69,"            Educational services",4.7,6.2,7.4,8.0,2.2,5.5,8.5,7.0,7.9,6.8,12.5,20.1,24.0,22.6,20.4,18.3,15.9,16.0,16.8,16.4,17.1,17.4,4.4,6.2,5.0,9.0
70,"            Health care and social assistance",48.8,52.0,54.9,62.6,69.8,70.5,74.0,68.8,72.7,67.9,93.1,112.8,117.9,122.0,118.4,118.2,120.0,130.1,142.4,141.8,137.1,147.2,182.7,199.4,146.1,192.7
71,"                Ambulatory health care services",38.6,41.7,45.3,52.2,57.3,56.8,58.7,61.1,64.4,62.9,79.1,89.7,96.3,101.4,99.8,100.7,100.4,105.4,116.9,118.7,115.6,126.5,156.0,163.3,133.6,169.9
72,"                Hospitals and nursing and residential care facilities",3.6,3.4,1.7,1.2,3.6,3.6,5.9,-1.7,-2.6,-5.4,3.2,13.4,13.1,13.4,12.6,10.9,13.0,17.4,17.5,15.2,13.6,12.4,16.2,18.0,2.2,11.1
73,"                Social assistance",6.5,7.0,7.9,9.1,8.8,10.1,9.4,9.4,10.9,10.4,10.8,9.7,8.5,7.2,6.0,6.6,6.6,7.3,7.9,8.0,7.9,8.3,10.5,18.1,10.3,11.8
74,"        Arts, entertainment, recreation, accommodation, and food services",55.7,64.3,75.1,65.5,77.6,78.9,84.7,85.9,92.4,88.1,83.8,86.5,100.4,110.5,121.1,127.9,133.2,150.1,157.0,160.8,165.3,177.6,125.6,263.3,186.2,252.6
75,"            Arts, entertainment, and recreation",18.3,20.0,21.2,14.7,17.0,20.1,21.9,23.0,24.5,24.9,25.8,29.0,35.6,39.1,45.7,46.4,48.2,45.5,48.6,49.2,52.2,54.1,20.1,49.2,50.4,62.7
76,"                Performing arts, spectator sports, museums, and related activities",8.5,9.0,10.3,10.4,13.1,15.8,16.4,17.0,19.0,17.7,21.0,24.7,27.3,30.8,36.7,36.7,39.7,36.2,39.7,42.3,46.5,47.7,23.7,43.5,46.5,56.0
77,"                Amusements, gambling, and recreation industries",9.8,10.9,10.8,4.3,3.9,4.4,5.5,6.0,5.5,7.2,4.8,4.3,8.4,8.3,9.0,9.7,8.5,9.3,8.9,6.9,5.7,6.4,-3.6,5.7,3.9,6.7
78,"            Accommodation and food services",37.4,44.3,54.0,50.8,60.6,58.8,62.8,62.9,67.8,63.2,58.1,57.5,64.7,71.4,75.4,81.5,85.0,104.6,108.4,111.6,113.1,123.5,105.4,214.1,135.8,189.9
79,"                Accommodation",15.3,17.9,22.1,18.2,21.1,20.0,22.7,24.2,26.3,28.1,23.0,13.0,16.2,21.8,24.2,29.5,31.1,42.2,41.9,45.3,47.7,50.2,17.6,52.6,60.5,75.9
80,"                Food services and drinking places",22.1,26.4,31.9,32.6,39.6,38.8,40.1,38.7,41.5,35.2,35.1,44.5,48.6,49.7,51.2,52.0,53.9,62.4,66.5,66.3,65.4,73.4,87.8,161.5,75.2,114.1
81,"        Other services, except government",70.9,74.8,79.2,58.4,64.5,54.5,55.7,62.9,65.0,55.7,44.5,45.2,50.4,46.7,48.6,51.8,58.8,61.1,61.6,65.4,69.4,71.8,66.7,83.9,70.9,87.7
82,"    Government",16.9,16.8,11.5,5.7,7.6,5.1,0.4,-3.4,-5.9,-12.9,-16.7,-14.6,-18.5,-17.8,-13.6,-13.6,-8.5,-2.8,-2.2,-4.3,-4.6,-12.1,-2.4,-11.0,-7.9,-32.8
83,"            Federal",7.6,7.2,5.3,2.8,6.8,6.6,5.1,2.0,3.0,3.4,2.6,2.5,-0.9,-4.7,-6.0,-7.8,-4.6,-0.9,0.7,3.1,3.3,1.4,5.9,7.1,4.8,-2.9
84,"                Federal general government",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
85,"                Federal government enterprises",7.6,7.2,5.3,2.8,6.8,6.6,5.1,2.0,3.0,3.4,2.6,2.5,-0.9,-4.7,-6.0,-7.8,-4.6,-0.9,0.7,3.1,3.3,1.4,5.9,7.1,4.8,-2.9
86,"            State and local",9.3,9.6,6.1,2.9,0.8,-1.5,-4.8,-5.5,-8.9,-16.3,-19.3,-17.0,-17.7,-13.1,-7.6,-5.8,-3.9,-1.9,-2.8,-7.3,-7.9,-13.5,-8.2,-18.2,-12.7,-29.9
87,"                State and local general government",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,"                State and local government enterprises",9.3,9.6,6.1,2.9,0.8,-1.5,-4.8,-5.5,-8.9,-16.3,-19.3,-17.0,-17.7,-13.1,-7.6,-5.8,-3.9,-1.9,-2.8,-7.3,-7.9,-13.5,-8.2,-18.2,-12.7,-29.9
,Addenda:,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"    Private goods-producing industries1",466.6,486.5,519.2,478.3,478.8,593.2,712.0,818.2,881.6,922.9,848.1,700.3,802.3,879.5,861.4,943.7,918.9,795.2,742.4,838.1,975.1,921.3,881.4,1189.7,1413.2,1433.2
90,"    Private services-producing industries2",1590.8,1690.6,1691.8,1783.1,1922.7,2020.2,2132.0,2294.1,2378.9,2439.8,2513.7,2685.3,2934.6,2986.0,3177.2,3299.3,3438.8,3653.9,3832.1,3890.2,4012.0,4234.2,4424.8,4972.7,5111.8,5732.6

Legend/Footnotes
"Note. Please see the <a href=""https://apps.bea.gov/industry/Docs/ComponentsofVaInfo.xlsx"">Components of Value Added Information</a> document for definitions, descriptions, and hierarchical relationships among value added components and for information on the relationships among BEA industry and commodity codes and the North America Industry Classification System (NAICS)."
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"Cautionary note on the use of these data: these data include detailed estimates underlying the GDP-by-industry accounts published elsewhere on this website and in the Survey of Current Business. The Bureau of Economic Analysis does not include these detailed estimates in the published tables because their quality is significantly less than that of the higher-level aggregates in which they are included. Compared to these aggregates, the more detailed estimates are more likely to be either based on judgmental trends, on trends in the higher-level aggregate, or on less reliable source data."
